"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",1,3.010039568,2.519272327,2.159376144,2.977321625,3.319386482,3.010039568,1.537737727,1.766762376,3.075475454,2.192094088,2.12665844,1.570455551,1.701326728,2.388401031,2.682861328
"PRE",2,2.584707975,2.911885977,2.159376144,2.617425919,3.093797207,3.042757511,1.668608904,1.832198024,2.748296976,2.388401031,2.12665844,1.570455551,1.734044552,2.813732624,2.519272327
"PRE",3,3.500806808,2.911885977,2.028505087,2.748296976,3.496635199,3.075475454,1.668608904,1.734044552,2.846450567,2.290247679,2.093940496,1.603173375,1.734044552,2.781014919,2.453836679
"PRE",4,3.140911102,2.355683088,2.12665844,2.748296976,3.77056551,3.27178216,1.668608904,1.7994802,2.879168272,2.192094088,2.159376144,1.603173375,1.766762376,2.519272327,2.453836679
"PRE",5,3.337217808,2.257529736,2.322965384,2.846450567,3.44829464,2.748296976,1.668608904,1.7994802,3.468089104,2.290247679,2.028505087,1.406866312,2.061222792,2.617425919,2.584707975
"PRE",6,3.20634675,2.257529736,2.093940496,2.846450567,3.512748718,2.977321625,1.570455551,1.603173375,2.879168272,2.486554384,2.061222792,1.47230196,1.505019784,2.813732624,2.94460392
"PRE",7,3.20634675,2.388401031,2.192094088,3.140911102,3.303272963,3.27178216,1.537737727,1.897633791,3.304500103,2.061222792,2.093940496,1.668608904,1.7994802,2.94460392,2.781014919
"PRE",8,3.27178216,2.388401031,2.093940496,3.140911102,3.319386482,3.20634675,1.439584136,1.7994802,3.369935751,2.388401031,2.192094088,1.603173375,1.603173375,2.519272327,2.322965384
"PRE",9,3.566242456,2.388401031,2.355683088,3.010039568,3.480521679,3.664396048,1.63589108,1.734044552,3.108193159,2.781014919,2.061222792,1.603173375,1.734044552,2.715579271,2.650143623
"PRE",10,3.369935751,2.159376144,2.061222792,2.813732624,3.093797207,3.27178216,1.63589108,2.12665844,3.239064455,2.192094088,2.355683088,1.47230196,1.766762376,2.617425919,2.584707975
"PRE",11,3.795267582,2.159376144,2.453836679,3.173628807,3.480521679,2.879168272,1.537737727,1.930351615,3.075475454,2.453836679,2.093940496,1.406866312,2.388401031,2.421118736,2.453836679
"PRE",12,3.337217808,1.995787144,2.12665844,3.20634675,3.383840561,2.551990271,1.668608904,1.864915967,3.5989604,2.192094088,2.388401031,1.701326728,1.96306932,2.650143623,2.650143623
"PRE",13,4.122445583,2.192094088,2.290247679,3.20634675,3.351613522,3.631678104,1.668608904,1.897633791,2.846450567,2.028505087,1.930351615,1.63589108,1.832198024,2.617425919,2.715579271
"PRE",14,3.108193159,1.7994802,2.290247679,2.911885977,3.480521679,2.682861328,1.63589108,1.897633791,3.664396048,2.224812031,2.290247679,1.341430664,1.701326728,2.519272327,2.388401031
"PRE",15,3.27178216,2.192094088,2.224812031,2.911885977,3.593316317,2.911885977,1.603173375,1.701326728,3.664396048,2.322965384,2.421118736,1.47230196,2.12665844,2.813732624,2.355683088
"PRE",16,3.337217808,2.584707975,2.159376144,2.911885977,3.657770634,3.533524752,1.668608904,1.7994802,2.748296976,2.290247679,2.257529736,1.734044552,2.192094088,2.650143623,2.813732624
"PRE",17,3.304500103,2.355683088,2.12665844,3.108193159,3.367727041,3.173628807,1.570455551,1.930351615,3.468089104,2.257529736,2.093940496,1.570455551,1.766762376,2.813732624,2.682861328
"PRE",18,3.140911102,2.355683088,2.028505087,3.108193159,3.174364805,3.075475454,1.63589108,1.701326728,3.468089104,2.192094088,2.257529736,1.537737727,1.832198024,2.551990271,2.650143623
"PRE",19,3.729831934,1.995787144,2.224812031,2.584707975,3.206591845,2.911885977,1.63589108,2.028505087,3.304500103,1.930351615,2.061222792,1.439584136,1.864915967,2.879168272,2.846450567
"PRE",20,3.958856583,2.224812031,2.224812031,2.715579271,3.126024246,3.435371399,1.668608904,1.864915967,3.86070323,2.028505087,2.192094088,1.505019784,1.864915967,2.519272327,2.846450567
"PRE",21,3.239064455,2.192094088,1.96306932,2.715579271,3.351613522,2.977321625,1.570455551,1.766762376,2.94460392,2.224812031,2.061222792,1.537737727,1.668608904,2.453836679,2.748296976
"PRE",22,3.5989604,2.192094088,2.421118736,2.846450567,2.900434732,3.435371399,1.63589108,1.930351615,3.042757511,2.257529736,2.12665844,1.766762376,1.603173375,2.748296976,2.551990271
"PRE",23,3.500806808,2.257529736,2.12665844,2.879168272,3.4160676,2.911885977,1.701326728,2.028505087,3.010039568,2.421118736,1.864915967,1.570455551,1.832198024,2.846450567,2.682861328
"PRE",24,2.977321625,2.257529736,2.290247679,3.075475454,3.287159443,3.533524752,1.668608904,1.668608904,2.781014919,2.290247679,2.12665844,1.832198024,1.63589108,2.813732624,2.748296976
"PRE",25,3.566242456,2.486554384,1.96306932,3.075475454,3.174364805,3.108193159,1.603173375,1.897633791,3.108193159,2.290247679,1.897633791,1.668608904,1.63589108,2.584707975,2.682861328
"PRE",26,3.402653456,2.486554384,2.355683088,3.140911102,3.222705364,3.337217808,1.603173375,1.7994802,3.468089104,2.290247679,2.093940496,1.897633791,1.63589108,2.94460392,2.355683088
"PRE",27,3.108193159,2.12665844,2.355683088,3.140911102,3.399954081,3.042757511,1.603173375,1.832198024,3.075475454,2.192094088,2.028505087,1.439584136,1.570455551,2.879168272,2.322965384
"PRE",28,3.664396048,2.192094088,2.12665844,2.584707975,3.641656876,3.239064455,1.603173375,1.96306932,3.337217808,2.486554384,2.322965384,1.505019784,1.701326728,2.682861328,2.748296976
"PRE",29,3.5989604,2.486554384,2.12665844,2.846450567,3.673884392,3.108193159,1.668608904,2.061222792,3.337217808,2.322965384,2.028505087,1.864915967,1.603173375,2.453836679,2.551990271
