"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",1,-1231.174918,-252.0515724,-353.8416327,-576.8103115,-1250.9028,-441.0902473,-319.9116023,-353.8416128,-1109.996295,-382.9244645,-770.6960922,-402.3130337,-794.9318115,-392.6187778,-373.2301953
"PRE",2,-906.416205,-247.2044179,-256.8987357,-363.5359306,-1293.872688,-407.1602235,-329.6058979,-426.5487795,-765.8489554,-431.395945,-814.320447,-300.5229933,-673.7531886,-281.1344461,-508.9502507
"PRE",3,-1008.206254,-247.2044179,-164.8029512,-455.6316179,-1274.774945,-412.0073603,-324.7587302,-567.1160026,-945.1933612,-431.395945,-746.4604083,-533.1860185,-494.4088182,-431.3959251,-339.3001936
"PRE",4,-1061.524838,-193.8858161,-169.6500968,-479.867399,-888.0454971,-426.5488016,-305.3701478,-344.1473017,-610.7403485,-426.5487795,-833.7090118,-470.1731078,-373.2301953,-237.5101179,-402.3130823
"PRE",5,-1071.219094,-281.1344285,-198.7329529,-479.867399,-1296.259941,-441.0902164,-329.6058692,-329.6058803,-746.4603906,-426.5487795,-751.3075716,-450.7845606,-562.2688934,-431.3959428,-324.7587567
"PRE",6,-1347.506448,-305.3701654,-261.745846,-542.8802745,-1131.541833,-363.5358864,-358.6887408,-329.6058841,-945.19337,-426.5487442,-794.9318204,-334.453101,-731.9189361,-407.1601926,-479.8674078
"PRE",7,-1274.799246,-305.3701654,-261.745846,-542.8802745,-1160.188448,-407.1602147,-281.1344285,-470.1731166,-1071.219165,-426.5487442,-731.9189537,-494.4088359,-731.9189361,-576.8102938,-421.7016295
"PRE",8,-591.3517307,-193.8858084,-247.2043738,-523.4917096,-1250.90273,-484.714527,-334.4530215,-319.9115758,-1129.384842,-475.0202357,-678.6003519,-489.5617256,-475.0202368,-542.8802745,-382.9244711
"PRE",9,-727.0718258,-198.7329573,-504.1031183,-576.8102585,-1606.598415,-504.1031183,-339.3001848,-358.6888114,-736.766064,-475.0202357,-819.1675396,-324.7587391,-552.574548,-271.4401549,-605.8931675
"PRE",10,-688.2946431,-271.4401549,-504.1031183,-455.6316709,-969.2109424,-445.9373797,-339.3001892,-397.4659058,-1095.454875,-479.867399,-761.0018098,-557.4216937,-484.7145446,-353.8415946,-634.9760325
