"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",1,7.623252869,2.813732624,2.453836679,7.197920799,3.190478325,1.63589108,1.734044552,4.122445583,6.739871502,5.529312134,8.473916054,9.65175724,7.426946163,2.192094088,3.566242456
"PRE",2,6.052796841,2.813732624,2.322965384,7.197920799,3.73833847,1.406866312,1.374148488,4.678648472,8.310326576,5.529312134,8.899248123,7.95043087,7.426946163,2.846450567,2.879168272
"PRE",3,7.525099277,2.355683088,2.519272327,6.445411205,4.350652218,1.537737727,1.406866312,4.874955654,7.884995461,5.005826473,9.062836647,9.488168716,5.823771954,2.224812031,3.140911102
"PRE",4,7.72140646,2.584707975,2.650143623,6.118233204,3.045456648,1.864915967,1.406866312,4.973108768,6.412693501,5.758336544,9.488168716,9.978935242,4.187880993,2.061222792,2.224812031
"PRE",5,6.838024616,2.584707975,2.584707975,5.660182953,3.786678791,1.766762376,1.177841544,4.318752289,8.212173462,5.758336544,9.030118942,7.557816982,8.931965828,2.453836679,3.239064455
"PRE",6,8.506633759,1.766762376,2.682861328,6.968895912,4.237857342,1.439584136,1.47230196,4.384188175,8.310326576,6.314539909,7.754124165,8.179455757,8.931965828,1.897633791,3.140911102
"PRE",7,6.739871502,1.766762376,2.846450567,6.968895912,3.512748718,1.537737727,1.243277192,4.515059471,9.422732353,6.314539909,8.801094055,10.07708931,7.328792095,2.093940496,2.879168272
"PRE",8,10.17524338,1.701326728,2.748296976,6.2491045,5.688075066,1.668608904,1.406866312,4.711366177,8.506633759,5.725618839,7.099767208,8.637504578,6.150950909,2.813732624,2.388401031
"PRE",9,8.931965828,1.864915967,3.108193159,6.445411205,4.479560375,1.537737727,1.374148488,4.449624062,8.670222282,5.725618839,8.441198349,7.884995461,6.510846615,4.842237473,4.286034584
"PRE",10,8.997401237,2.192094088,3.075475454,5.300287247,4.2539711,1.341430664,1.275995135,4.253316879,9.12827301,5.136698246,7.786841869,8.408480644,6.739871502,2.224812031,3.926138639
"PRE",11,9.19370842,2.192094088,2.748296976,5.95464325,5.107988358,1.537737727,1.341430664,4.809519768,8.01586628,4.515059471,8.702939987,8.702939987,6.739871502,2.192094088,2.355683088
"PRE",12,9.913499832,1.734044552,2.551990271,7.655970573,5.865323544,2.257529736,1.47230196,4.645930767,9.520886421,5.529312134,8.997401237,8.506633759,5.300287247,2.257529736,2.846450567
"PRE",13,8.866530418,2.421118736,2.977321625,9.030118942,3.963927746,1.930351615,1.374148488,4.874955654,8.473916054,5.529312134,8.343044281,9.422732353,7.623252869,2.584707975,3.468089104
"PRE",14,9.291861534,2.224812031,2.977321625,9.030118942,3.963927746,1.47230196,1.210559368,4.482341766,8.997401237,4.645930767,7.067049503,9.19370842,8.702939987,2.486554384,3.991574287
"PRE",15,8.670222282,2.257529736,3.140911102,5.856490135,3.802792549,1.505019784,1.406866312,5.005826473,8.801094055,4.907673359,8.343044281,8.01586628,4.547777176,3.173628807,3.435371399
"PRE",16,8.01586628,2.682861328,2.879168272,7.655970573,3.689997673,1.341430664,1.308712959,4.613213062,7.099767208,4.907673359,8.277608871,7.263356209,6.085515022,2.911885977,4.351469994
"PRE",17,8.408480644,2.12665844,3.140911102,7.655970573,3.206591845,1.570455551,1.210559368,5.234851837,8.670222282,4.416906357,8.801094055,7.197920799,9.749911308,2.322965384,3.337217808
"PRE",18,8.572069168,2.322965384,3.140911102,5.95464325,4.882398605,1.603173375,1.406866312,3.697113752,8.604786873,4.678648472,6.641717911,7.590535164,8.637504578,2.682861328,3.337217808
"PRE",19,9.324579239,1.864915967,2.846450567,7.688688278,3.980041027,1.537737727,1.210559368,4.711366177,7.95043087,4.678648472,7.034331799,9.848064423,6.609000206,2.617425919,4.547777176
"PRE",20,10.07708931,2.355683088,3.173628807,7.688688278,4.044495106,1.603173375,1.112406015,4.744084358,9.815346718,4.187880993,8.081301689,9.553604126,5.398440838,2.748296976,4.057010174
"PRE",21,10.10980701,2.355683088,3.173628807,7.655970573,3.399954081,1.537737727,1.243277192,4.286034584,7.688688278,4.187880993,8.572069168,7.852277279,6.183668613,2.879168272,4.547777176
"PRE",22,8.637504578,1.766762376,3.402653456,6.838024616,4.463447094,1.406866312,1.275995135,4.482341766,7.557816982,4.187880993,6.674435616,7.459663868,6.609000206,2.224812031,3.566242456
"PRE",23,8.01586628,2.028505087,3.402653456,6.838024616,4.834057808,1.570455551,1.308712959,4.613213062,8.212173462,5.463876247,7.001613617,8.081301689,6.609000206,3.042757511,2.977321625
"PRE",24,8.801094055,2.355683088,2.748296976,5.758336544,3.722224712,1.406866312,1.243277192,5.038544655,7.557816982,5.921925545,6.47812891,8.866530418,6.216386318,2.911885977,3.533524752
"PRE",25,9.880782127,2.224812031,2.813732624,6.47812891,4.592355251,1.766762376,1.210559368,5.103980541,8.081301689,5.921925545,6.183668613,10.27339649,4.318752289,2.453836679,4.515059471
"PRE",26,9.095554352,2.061222792,4.057010174,6.47812891,4.044495106,1.701326728,1.406866312,4.482341766,7.884995461,5.333004951,7.525099277,9.815346718,4.907673359,4.155163288,2.879168272
"PRE",27,9.095554352,1.63589108,4.057010174,7.557816982,4.640695572,1.766762376,1.275995135,4.973108768,8.244891167,5.333004951,8.01586628,6.838024616,4.874955654,2.322965384,3.239064455
"PRE",28,8.801094055,2.388401031,3.337217808,7.557816982,5.49471283,1.63589108,1.308712959,4.973108768,8.506633759,4.940391064,8.604786873,7.426946163,4.973108768,2.748296976,4.024291992
"PRE",29,8.146738052,2.388401031,3.337217808,6.903460503,6.010345936,1.63589108,1.210559368,5.496593952,8.539351463,5.398440838,9.062836647,9.71719265,7.426946163,2.748296976,2.715579271
"PRE",30,9.030118942,2.682861328,2.748296976,6.903460503,6.284275532,1.668608904,1.308712959,4.024291992,8.310326576,5.496593952,7.197920799,7.72140646,6.347257614,2.322965384,3.533524752
"PRE",31,9.357296944,2.682861328,2.748296976,6.445411205,4.705149651,1.701326728,1.243277192,4.678648472,6.54356432,5.496593952,8.670222282,8.604786873,6.216386318,2.846450567,5.660182953
"PRE",32,9.913499832,2.486554384,2.813732624,6.281822205,4.447333336,1.701326728,1.177841544,4.678648472,7.3615098,5.496593952,9.226426125,9.12827301,7.132484913,2.813732624,3.827985287
"PRE",33,9.390014648,2.12665844,2.617425919,6.739871502,5.075760841,1.734044552,1.243277192,5.234851837,6.903460503,5.823771954,6.936178207,7.394227505,6.707153797,2.846450567,3.631678104
"PRE",34,9.226426125,2.388401031,2.617425919,6.739871502,3.931700706,1.668608904,1.275995135,3.566242456,9.12827301,5.88920784,8.539351463,7.296073914,7.688688278,2.682861328,3.566242456
"PRE",35,9.291861534,2.388401031,2.486554384,6.347257614,4.576241493,1.570455551,1.243277192,4.744084358,8.899248123,5.921925545,8.408480644,10.07708931,7.197920799,4.384188175,3.729831934
"PRE",36,8.702939987,2.388401031,2.846450567,6.347257614,4.447333336,1.701326728,1.308712959,4.874955654,8.964683533,5.921925545,7.197920799,9.913499832,6.412693501,2.584707975,4.253316879
"PRE",37,8.179455757,2.388401031,2.421118736,8.081301689,4.012268066,1.897633791,1.341430664,4.384188175,8.931965828,5.136698246,7.557816982,8.899248123,6.445411205,2.584707975,3.140911102
"PRE",38,8.441198349,2.192094088,2.94460392,8.081301689,4.028381824,1.864915967,1.210559368,NA,8.572069168,5.398440838,8.833812714,8.833812714,4.482341766,2.650143623,3.827985287
"PRE",39,7.819559574,2.192094088,2.846450567,7.197920799,4.350652218,2.290247679,1.406866312,NA,9.782629013,6.707153797,7.492381573,8.539351463,6.707153797,2.421118736,2.748296976
"PRE",40,9.619039536,2.192094088,2.584707975,7.197920799,3.577202797,1.570455551,1.079688072,NA,8.441198349,6.707153797,7.72140646,7.525099277,8.277608871,2.486554384,2.551990271
"PRE",41,9.815346718,2.257529736,2.388401031,6.314539909,4.592355251,1.766762376,1.47230196,NA,9.291861534,5.431158543,6.739871502,9.880782127,7.165203094,2.682861328,2.028505087
"PRE",42,8.702939987,2.257529736,3.337217808,6.772589207,4.028381824,1.603173375,1.308712959,NA,9.12827301,5.431158543,9.19370842,8.76837635,7.099767208,2.061222792,2.94460392
"PRE",43,8.735658646,1.96306932,3.20634675,7.067049503,4.141176224,1.864915967,1.275995135,NA,8.277608871,6.412693501,7.590535164,7.525099277,9.978935242,3.27178216,3.042757511
"PRE",44,9.848064423,2.486554384,2.748296976,7.067049503,3.85113287,1.701326728,1.406866312,NA,7.197920799,6.739871502,7.263356209,7.852277279,6.379975319,2.061222792,3.697113752
"PRE",45,8.441198349,2.486554384,2.846450567,6.772589207,5.849209785,1.668608904,1.145123839,NA,8.277608871,6.739871502,7.655970573,9.520886421,6.54356432,3.500806808,3.173628807
"PRE",46,8.670222282,2.584707975,2.94460392,7.525099277,2.868207693,1.603173375,1.308712959,NA,9.553604126,6.183668613,8.735658646,10.0443716,5.594747543,3.304500103,2.453836679
"PRE",47,9.062836647,2.584707975,2.682861328,7.525099277,4.592355251,1.864915967,1.275995135,NA,7.296073914,7.132484913,6.609000206,8.048583984,5.562029839,2.715579271,4.253316879
