"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",1,5.823771954,2.290247679,2.453836679,7.754124165,5.05964756,3.500806808,2.519272327,3.402653456,5.103980541,6.805306911,11.45123768,10.17524338,10.89503479,4.711366177,5.267569542
"PRE",2,8.277608871,2.322965384,2.388401031,8.833812714,6.268162251,3.140911102,2.551990271,3.27178216,6.281822205,9.226426125,11.51667309,10.89503479,7.099767208,4.286034584,5.07126236
"PRE",3,4.809519768,2.355683088,3.042757511,7.165203094,5.94589138,3.173628807,2.748296976,3.5989604,5.692901134,9.422732353,10.79688168,10.24067879,10.92775249,4.318752289,4.024291992
"PRE",4,6.968895912,2.813732624,2.355683088,8.964683533,6.542091846,3.697113752,2.584707975,3.86070323,6.314539909,7.459663868,11.45123768,10.14252472,9.259143829,4.220599174,4.842237473
"PRE",5,6.641717911,2.093940496,2.322965384,7.296073914,5.784755707,3.108193159,3.533524752,3.337217808,5.463876247,7.459663868,11.41851997,10.14252472,9.978935242,3.991574287,5.103980541
"PRE",6,7.3615098,2.322965384,2.879168272,6.2491045,6.445410728,3.337217808,3.010039568,3.369935751,5.038544655,9.095554352,11.64754391,8.572069168,8.081301689,4.351469994,4.580495358
"PRE",7,9.226426125,2.781014919,2.879168272,7.034331799,6.590432644,3.435371399,3.27178216,3.762549639,5.202133656,6.903460503,11.64754391,10.86231709,10.43698502,4.384188175,5.202133656
"PRE",8,8.637504578,3.20634675,2.093940496,7.917713165,6.107027054,3.239064455,2.94460392,4.286034584,5.038544655,8.179455757,11.09134197,10.92775249,9.390014648,4.318752289,4.122445583
"PRE",9,8.277608871,2.781014919,3.140911102,9.520886421,5.784755707,3.304500103,3.337217808,3.533524752,5.627465248,8.506633759,10.82959938,10.14252472,10.50242138,5.038544655,4.547777176
"PRE",10,8.048583984,2.388401031,2.94460392,6.674435616,6.123140335,3.402653456,3.337217808,3.5989604,5.267569542,7.688688278,11.18949509,10.40426731,10.53513908,4.253316879,5.692901134
"PRE",11,5.758336544,3.042757511,2.519272327,8.604786873,6.86436224,3.435371399,2.846450567,3.5989604,5.234851837,8.408480644,10.53513908,11.2876482,10.69872761,4.057010174,4.515059471
"PRE",12,5.758336544,2.813732624,2.290247679,7.099767208,5.688075066,3.27178216,4.384188175,4.645930767,4.842237473,9.324579239,10.56785679,10.73144531,9.160990715,4.449624062,4.155163288
"PRE",13,7.72140646,2.093940496,2.257529736,7.525099277,6.316502571,3.27178216,2.879168272,4.318752289,5.562029839,8.506633759,11.32036591,10.86231709,10.14252472,4.351469994,5.529312134
"PRE",14,6.412693501,2.519272327,2.257529736,8.048583984,7.58947134,3.108193159,3.827985287,4.515059471,5.562029839,7.296073914,10.9604702,11.22221279,9.782629013,4.416906357,5.88920784
"PRE",15,5.627465248,2.322965384,2.257529736,7.230638504,4.076722145,3.27178216,2.682861328,4.547777176,5.921925545,6.936178207,11.38580227,11.09134197,9.848064423,3.958856583,4.089727879
"PRE",16,7.034331799,2.781014919,2.322965384,8.179455757,5.398031235,3.468089104,4.187880993,3.566242456,5.791054249,7.819559574,10.92775249,11.12405968,10.82959938,4.613213062,4.613213062
"PRE",17,8.244891167,1.897633791,2.257529736,6.54356432,6.429297447,3.468089104,3.042757511,4.645930767,5.725618839,9.520886421,11.2549305,11.32036591,7.230638504,4.286034584,5.431158543
"PRE",18,7.884995461,2.977321625,2.290247679,7.459663868,4.753490448,3.337217808,4.187880993,3.631678104,5.791054249,7.786841869,10.86231709,11.18949509,10.53513908,4.286034584,3.533524752
"PRE",19,8.244891167,3.20634675,2.290247679,9.946217537,6.219821453,3.239064455,2.682861328,4.057010174,6.674435616,6.609000206,10.53513908,10.53513908,9.815346718,4.286034584,5.987361431
"PRE",20,8.081301689,2.911885977,2.388401031,7.230638504,5.269123077,3.108193159,4.089727879,3.991574287,5.758336544,6.936178207,11.51667309,10.89503479,10.43698502,4.482341766,7.328792095
"PRE",21,7.95043087,3.468089104,2.322965384,7.001613617,6.332616329,3.27178216,2.617425919,3.664396048,5.529312134,7.95043087,11.54939079,11.2549305,11.02590561,4.253316879,5.07126236
"PRE",22,5.431158543,3.140911102,2.257529736,6.510846615,6.86436224,3.239064455,4.416906357,4.220599174,6.379975319,8.539351463,11.12405968,11.38580227,10.79688168,4.482341766,6.510846615
