"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",1,218.1215398,271.4401527,373.2302086,348.9944672,200.526404,426.5487972,67.86004755,159.9557967,189.0386605,232.6629546,140.5672142,159.9557923,164.8029335,116.3314994,412.0073515
"PRE",2,232.6629722,431.3959516,363.5358864,441.090234,205.300831,174.4972424,63.01289531,266.5929872,295.6758477,208.4272265,155.1086423,126.0257752,121.1786494,164.8029379,242.3572679
"PRE",3,261.7458504,542.8802921,339.3001715,465.3259401,219.6241475,344.1473039,92.09575911,174.4972468,179.3443748,169.650099,169.6500968,164.8029556,218.1215354,150.2615011,348.9944584
"PRE",4,189.0386627,256.898718,445.9373438,407.1601959,190.9775234,247.2044179,87.24861238,159.95581,189.0386616,169.6500791,130.8729329,213.274403,150.2615011,140.5672142,203.5801029
"PRE",5,145.4143599,581.6574218,339.3001671,363.5359129,250.6579984,150.2615055,82.40146731,208.427243,189.0386705,169.6500836,135.7200686,203.5800985,179.3443869,155.1086423,465.3259798
"PRE",6,179.3443704,373.23016,373.2301865,363.5359129,198.1391772,208.4272441,67.86003762,193.8858117,189.0386705,179.344388,164.8029335,96.94289921,155.1086423,164.8029379,450.7845076
"PRE",7,276.2872917,450.7845253,285.9815653,382.9245042,233.9474529,198.7329573,87.24860797,227.8158443,150.2614967,198.7329794,96.94291246,111.4843317,140.5672142,150.2614967,407.1602147
"PRE",8,252.0515547,416.8545015,305.3701566,315.064439,181.4286406,232.6629855,77.55433218,218.1215354,222.9686987,198.7329794,121.1786494,130.872923,130.872923,145.414351,348.9944319
"PRE",9,281.1344274,625.2817324,407.160197,319.9115802,229.1730104,145.414351,82.40147118,319.9116023,145.4143599,198.7329529,101.7900575,198.7329705,198.7329573,169.6500858,334.4530303
"PRE",10,256.8987004,542.8802921,363.5359173,324.7587302,190.9775411,334.4530215,77.55432445,203.5801029,184.1915204,164.8029379,145.4143599,87.24861293,213.2743897,140.5672142,319.9116023
"PRE",11,203.5801117,300.523011,460.4788298,576.8102673,214.8497205,164.8029401,67.8600321,203.5801162,174.4972336,159.9557967,159.95581,145.4143554,203.5800985,150.2615099,266.5929828
"PRE",12,334.4530303,426.5488148,378.0773409,412.0073603,202.9136197,310.2173022,101.7900559,281.1344373,193.8858161,189.0386661,164.8029424,145.4143681,179.3443748,150.2615011,334.4530215
"PRE",13,247.2044268,339.3001583,567.1160202,392.618769,169.4925576,717.3775169,82.40146897,184.1915348,174.4972513,150.2615055,101.7900669,121.1786317,193.8858073,140.5672098,290.8287219
"PRE",14,213.2743897,198.7329573,382.9244645,528.3388376,214.8497116,232.6629811,82.40147007,247.2044091,198.7329441,150.2615143,140.5672142,184.1915315,169.6500924,135.7200642,198.7329529
"PRE",15,237.5101344,276.2872806,368.3830491,557.421729,233.9474551,513.7974007,77.55432776,130.8729186,276.2872823,203.5801029,135.7200686,126.0257685,189.0386749,164.8029401,382.9244689
"PRE",16,305.3701566,344.1473216,373.2301953,358.688754,212.4624937,242.3572767,96.94290804,189.0386771,179.3443704,198.7329441,150.2615011,145.4143599,169.6500802,159.9557967,252.0515591
"PRE",17,281.1344285,567.1160202,339.3001594,426.5488148,274.5301866,586.5045851,77.5543388,184.1915182,242.357264,198.7329441,116.3314817,198.7329507,169.6501012,174.4972336,281.1344329
"PRE",18,281.1344461,339.3001583,397.465919,450.7845076,217.2369384,348.9944672,101.7900493,295.6758565,242.3572679,198.7329529,121.1786229,145.4143687,179.3443748,130.8729318,416.8544971
"PRE",19,290.8287462,334.4530215,382.9244689,591.3517483,248.2707893,324.7587523,77.55434763,344.1473039,295.6758653,198.7329529,92.09577567,106.6372026,179.3443748,179.344388,445.9373708
"PRE",20,266.5930093,450.7845076,382.9244689,552.5745569,198.1391772,237.5101179,77.55432445,213.2744118,319.9115935,150.261532,101.7900625,159.9557923,179.3443892,150.2615099,382.9244954
"PRE",21,222.968681,237.5101355,348.9944584,426.5487624,245.8835581,276.2872784,77.55432334,237.5101157,193.8858249,145.4143681,159.95581,189.0386749,174.4972402,145.4143577,392.6187822
"PRE",22,310.2172934,591.3517483,368.383032,436.2430707,179.0414161,339.3001671,96.94290363,276.2872784,208.4272436,135.7200642,126.0257685,256.8987092,155.1086467,145.4143692,382.9244777
"PRE",23,344.1473436,353.8415952,281.1344196,436.2430707,224.3985834,407.1602147,87.24861459,266.5930048,295.6758786,184.191516,101.7900581,130.8729318,150.2615011,150.2615132,271.4401416
"PRE",24,329.6059024,295.6758609,310.2173022,523.4916743,186.2030787,242.3572811,87.24863004,193.8858062,242.3572635,222.968681,159.9557879,179.3443726,203.580125,150.2615055,232.6630076
