"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",1,465.3259621,247.2044356,242.3572679,664.058968,656.4851804,295.6758477,174.4972248,285.9815741,450.7845606,528.3388906,804.6261381,586.504638,780.3904276,237.5101355,436.2431061
"PRE",2,683.4474799,324.7587612,213.2744074,872.4862828,654.0980265,198.7329573,198.7329727,247.2044086,731.9190067,925.804761,969.4291246,664.058862,620.4345779,266.5930004,402.3130867
"PRE",3,673.7532239,315.0644611,310.2173022,605.8931852,522.8009759,198.7329705,237.5101134,358.6887584,460.4787459,756.1546377,930.6519596,654.3647474,828.8618485,295.6758742,285.9815918
"PRE",4,644.6703502,397.465908,256.8987136,930.6519596,623.0641646,227.8158487,140.5672054,363.5358908,591.3517307,746.4604613,906.4162138,615.5874411,799.7789748,290.8287374,475.0202622
"PRE",5,639.8231869,416.854486,189.0386616,562.2688746,866.560518,227.8158443,237.5101311,290.8287285,562.2688393,731.9189008,887.0276137,673.7531886,877.3332695,305.3701478,339.3001848
"PRE",6,654.3646238,319.9115758,290.8287374,673.7532769,675.5829593,232.6629634,227.8158288,266.5930093,576.8102938,843.4032324,945.1933258,445.9373267,489.5616196,232.6629546,290.8287374
"PRE",7,969.4290716,421.7016295,184.191516,673.7532239,735.2634784,193.8858271,276.2872828,329.605867,441.090234,591.351766,964.5819613,533.1859832,794.9318115,271.4401284,363.5359306
"PRE",8,1114.843493,392.6187955,208.4272596,751.3075539,704.2296629,252.0515547,213.2744074,329.605867,504.1031095,761.0018451,930.6519066,659.2117341,731.9190067,290.8287021,300.523011
"PRE",9,896.7218519,455.6316886,271.4401549,751.3075186,429.6993703,213.2743892,281.1344285,324.7587391,475.020249,659.2117341,824.0147206,625.2817677,765.8490438,436.2431061,256.8986959
"PRE",10,741.6132604,368.3830497,276.2872674,644.6703149,658.872416,247.2044047,285.9815697,315.0644346,601.0460396,756.1547039,872.4861945,557.4216937,916.1104698,218.121553,416.8544927
"PRE",11,848.250431,373.2302041,213.2743942,664.0588974,725.7146066,218.121553,159.9558056,324.7587214,455.6317239,693.1418064,988.8176718,654.3646768,906.4161785,203.5800808,426.5487707
"PRE",12,756.1546642,315.064439,208.427253,707.6831903,821.2033507,227.8158443,324.7587479,489.5616903,610.7402955,930.6518536,964.581926,639.8231516,814.3205,222.9686987,382.9244645
"PRE",13,533.1860053,363.5359063,237.5101399,615.5874765,651.7107799,198.7329507,174.4972248,426.5487618,499.2559638,668.906096,877.3333224,634.9760943,736.7660994,237.5101046,436.2430972
"PRE",14,576.8103468,368.3830629,222.9686987,814.3203587,756.7484752,247.2044268,285.9815918,441.0902164,615.5874765,683.4474931,940.3461449,707.6832256,746.4603906,247.2044091,397.4658704
"PRE",15,659.2117694,261.7458416,208.4272353,567.1160202,551.4476132,329.6058869,266.5929916,441.0901987,664.058915,649.5174428,775.5432997,601.0460572,804.6260674,281.1344461,334.4530127
"PRE",16,727.0718081,382.9244667,208.427253,659.2117694,560.9964894,164.8029424,290.8287374,373.2301776,475.0202357,639.8232266,867.6390135,596.1989646,697.9889344,290.8287175,358.6887452
"PRE",17,974.2762172,450.7845341,150.2615231,712.5303536,780.620606,222.9686898,315.0644434,407.160197,596.1988763,877.3333136,1027.594837,756.1546465,620.4346397,222.9686987,664.0589106
"PRE",18,702.8360977,431.3959229,237.5101267,615.5874411,422.5377518,193.8858073,285.9815388,295.675883,707.683208,824.0147206,906.4161785,571.9631129,896.7219226,252.0515724,281.1344285
"PRE",19,887.027596,334.453048,218.121531,707.683155,735.2634607,232.6629811,184.1915513,334.4530656,770.6961364,756.1546995,983.9705085,576.8103468,882.1804327,285.9815918,465.3259445
"PRE",20,1046.983349,290.8287109,242.3572856,727.0717728,661.2596605,179.3443704,290.8287374,382.9244733,625.2817324,683.4474799,872.4861945,547.7274377,809.4732307,276.2872828,664.0588974
"PRE",21,945.1933788,407.1602058,261.745846,785.2375556,608.740857,208.4272441,222.9686854,252.0515371,702.8360977,901.5690329,911.2632712,601.0459954,727.0717551,193.8858337,523.4916831
"PRE",22,741.6132803,310.2173022,203.5801029,591.3517307,706.6168455,237.5101179,329.6058803,310.2173199,654.3646061,891.8747968,804.6261381,649.5174958,693.1417888,218.1215354,557.4217472
"PRE",23,819.1675573,310.2172857,315.0644655,770.6961364,728.1018069,179.3443792,232.6629744,305.3701433,552.5745745,620.4346044,940.3462155,625.281803,775.5432997,276.2872873,518.6445684
"PRE",24,954.8876347,310.2172934,295.675883,727.0717728,658.872469,174.4972248,436.2430707,310.2173287,722.2246625,882.1804416,1032.442,639.8231516,605.8931322,276.2872873,358.6887408
"PRE",25,722.2246625,402.313069,169.650088,673.7532063,685.1318664,232.6629722,310.2173155,455.6316886,794.9318468,770.6961375,930.651889,649.5174958,746.4604613,295.6758918,344.1473481
"PRE",26,741.6132627,252.0515591,208.4272618,770.6960657,606.3536037,237.5101355,242.3572282,324.7587612,513.7974184,896.7218784,945.1932729,634.9760236,664.0589327,237.5101399,416.8544971
"PRE",27,659.2117562,290.8287021,271.4401416,697.988952,890.4326444,198.7329485,174.4972292,402.3130426,683.4475152,950.0404582,930.651889,620.4345691,824.0147912,324.7587391,853.0975767
"PRE",28,828.8618839,431.3959207,266.5929739,727.0718081,613.5152929,198.7329485,315.0644125,315.0644832,727.0717905,664.0589327,867.6390312,620.4346574,736.766064,252.0515724,271.4401461
"PRE",29,799.7789748,295.6758918,222.9686987,644.6702796,778.2333836,218.1215177,222.968681,368.383032,591.3517483,770.6961011,993.6647644,625.2817677,751.3074479,392.6187778,431.3959417
"PRE",30,935.4990523,256.8987004,290.8287197,785.2375556,477.4438174,198.7329705,150.2614967,305.3701566,465.3259357,887.0276313,954.8876347,586.5046734,925.8048316,319.9115758,387.7716498
"PRE",31,785.2375379,290.8287241,213.2743897,775.543282,482.2182356,203.5801073,256.898718,334.4530127,596.1988586,882.1804416,1013.053382,688.2946431,770.6961364,281.134455,494.4088094
"PRE",32,630.128931,402.3130867,203.5801162,664.0588974,630.2258184,193.8858271,184.191516,324.7587302,538.0331112,959.7347495,940.3461714,722.2246802,853.0976296,242.3572723,373.2302086
"PRE",33,659.2117871,295.6758742,189.0386616,484.7144917,627.8385564,174.4972336,222.9686799,334.4530303,557.421729,678.6003166,853.0976296,542.8801685,751.3075539,285.9815564,368.3830502
"PRE",34,693.1417888,387.7716057,193.8858161,552.5745657,749.5868037,232.6629767,184.191516,315.0644302,630.128878,1027.594846,974.2762526,644.6702796,925.8047963,285.9815586,344.1473039
"PRE",35,794.9318822,353.8416139,208.4272441,630.1289663,761.5228757,227.815809,184.1915204,310.2173066,523.4916743,688.2946431,969.4291246,571.9631482,925.8046904,329.6059024,324.7587391
"PRE",36,833.7089588,353.841615,334.4530215,644.6702796,747.1996034,222.9687163,300.5229933,382.9244777,523.4917229,920.9576066,925.8047963,610.7403308,882.1804681,315.0644434,426.5488148
