"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",1,-1328.117795,-397.4659146,-164.80296,-882.1804504,-723.3273534,-348.9944672,-363.5358952,-479.8674167,-964.5819282,-833.7090074,-838.5561751,-1294.187767,-668.9060077,-378.0773189,-334.452995
"PRE",2,-988.81761,-392.6187557,-164.80296,-882.1804504,-529.9626297,-218.1215343,-198.7329573,-392.6187866,-979.1233275,-833.7090074,-697.9888991,-1022.747691,-668.9060077,-504.1031271,-533.1860031
"PRE",3,-1420.213579,-392.6187557,-213.274403,-857.9447576,-642.1619081,-247.204429,-222.9687163,-523.4917096,-1221.480644,-790.0846394,-668.9060606,-1114.843476,-625.2817854,-407.1602235,-353.8415952
"PRE",4,-1376.589216,-319.9115846,-159.9557967,-761.0018893,-577.7069885,-266.5930104,-169.6501056,-571.9631261,-794.9318292,-790.0846394,-809.4733367,-930.6518536,-625.2817854,-281.1344196,-261.7458636
"PRE",5,-935.4990523,-353.8416128,-218.1215354,-644.6703679,-489.3798927,-256.8987004,-184.191516,-479.8674078,-1197.244881,-542.8802921,-683.4474975,-1017.900537,-678.6003166,-319.9115935,-285.9815918
"PRE",6,-1037.289163,-353.8416128,-218.1215354,-644.6703679,-766.2972763,-227.8158222,-193.8858073,-412.0073603,-1085.760575,-644.6703149,-857.9447753,-1090.607739,-678.6003166,-315.0644478,-252.0515901
"PRE",7,-1013.0534,-373.2301865,-213.2743897,-615.5874411,-615.9024843,-290.8287109,-276.2873182,-494.4088359,-1284.493572,-804.6261204,-712.5303668,-1013.053418,-615.5874765,-455.6316703,-285.9815564
"PRE",8,-906.4161785,-373.2301865,-150.2615011,-688.2946961,-606.3536391,-242.35729,-179.3443704,-460.4787989,-1105.149167,-804.6261204,-712.5303668,-736.7660287,-620.4346596,-392.6187778,-140.5672098
"PRE",9,-857.9447223,-339.3001936,-237.5101344,-688.2946961,-599.1919852,-208.427253,-174.4972159,-455.6316356,-1299.034921,-693.1417799,-751.3075186,-1042.1363,-649.5174605,-576.8103115,-460.4787989
"PRE",10,-1391.130688,-421.7016515,-271.4401367,-678.6003607,-778.2334013,-252.0515702,-252.0515459,-518.6445375,-950.0404715,-843.4032589,-727.0717905,-761.0018805,-649.5174605,-261.7458283,-276.2872917
