"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",1,8.112897633,3.499622481,6.14313312,7.935979227,10.10817068,5.904700903,4.766231935,6.03280975,8.040840693,7.836356466,8.553716159,9.078789265,7.634654107,4.744470634,4.462210639
"PRE",2,7.337205,4.297761983,6.14313312,7.935979227,10.80501418,5.626389097,4.477279917,5.929847856,8.979311141,7.362268222,8.871081853,7.794767742,7.634654107,6.094940879,5.240876213
"PRE",3,8.413981486,4.297761983,5.870742494,7.775454208,10.06453854,6.391911524,4.980205835,5.701485106,8.316138019,7.097842537,8.913500122,8.830875613,7.125752925,5.443999407,4.661317666
"PRE",4,8.329686689,3.520272392,5.669060688,7.775454208,9.763004091,5.24113343,4.683020849,5.754625882,6.898084824,7.822899482,9.388720321,9.75262105,7.2542339,4.817243583,4.656399513
"PRE",5,7.773807151,3.520272392,5.976341821,7.83290314,10.32290324,5.446490377,4.683020849,6.086487106,8.473660114,7.822899482,8.901561295,7.462539574,8.831801249,5.142155892,4.885571612
"PRE",6,9.153495142,4.331097832,6.026414496,7.968145405,10.87630339,5.647034099,4.787541366,6.295780906,9.229591893,8.203076502,8.300325201,8.011963689,8.831801249,5.309197171,5.0732777
"PRE",7,8.153567336,4.331097832,6.026414496,7.968145405,9.473953762,6.233673335,4.398539728,6.111367365,9.24778353,8.203076502,8.690718368,10.44749807,7.370712557,5.391290852,4.302912202
"PRE",8,11.01047207,3.242481168,5.916163826,7.806505495,10.92729746,5.486055597,4.398341456,6.0096362,8.539980867,7.677689603,8.190912938,8.225787292,7.247227784,5.696611711,4.26594336
"PRE",9,8.873033589,3.242481168,6.174385077,8.102907105,10.69638976,6.120318182,5.064811189,5.889180358,8.741233109,7.677689603,8.431192603,7.931546306,7.316314227,6.965563378,5.368975945
"PRE",10,10.0709107,3.365714938,6.174385077,7.96110023,10.96705784,6.033494705,5.064811189,6.046571614,8.674910042,7.319982142,8.02288471,8.084131761,7.35400766,5.03011753,4.838916822
"PRE",11,9.322459833,3.412541438,6.390897516,7.856684418,11.27276451,6.111819314,4.449162788,6.313732563,8.535996149,7.143123381,9.049484989,8.074816777,7.35400766,5.042087997,4.589770698
"PRE",12,10.77177949,3.412541438,6.536328751,8.595976165,10.35045605,5.628488474,4.640860032,6.289983213,9.07438029,7.228646224,8.905128235,7.991271784,7.511351189,5.395392431,5.023811911
"PRE",13,9.440112778,3.236294686,6.536328751,9.675540109,10.20262209,5.70348178,4.640860032,6.147852136,8.393206228,7.552378697,8.961112477,10.21820572,7.511351189,5.607866404,5.221636242
"PRE",14,9.377327917,3.536346908,6.452341705,9.675540109,10.20726799,5.77551234,4.779952792,5.639702797,8.978774985,7.552378697,7.961936711,8.675960905,8.159879363,4.886117109,4.690644412
"PRE",15,9.575247771,3.536346908,5.885838699,7.664541656,10.69574568,6.214928844,4.750244344,5.961672757,9.843675491,7.401348253,8.380091492,7.886849427,7.168520699,5.822430755,4.504573213
"PRE",16,9.285787995,3.828068564,6.287780163,7.915951593,10.46047897,6.405800313,4.750244344,5.881795463,8.009884654,7.263760388,8.203599482,7.145489304,7.102798402,5.58222075,4.907085007
"PRE",17,9.545142736,3.302611307,6.561003041,7.915951593,11.63931371,5.773300567,4.478061798,5.841311506,8.168056284,6.80400656,8.649594451,7.936458365,10.18806043,5.818663904,5.698609479
"PRE",18,9.033548993,3.302611307,6.561003041,8.106728343,10.73245175,5.710903102,4.296448424,6.221306089,8.128096148,7.706199634,7.690447558,7.544364414,8.431021701,4.860144882,4.85054687
"PRE",19,10.30304864,3.298504284,6.223825188,8.292495034,10.70421213,5.58051321,4.758429559,5.759061884,9.163032372,7.706199634,7.554694097,9.044477924,7.152648385,5.78277599,5.552964027
"PRE",20,10.28916587,3.396866215,6.284474738,8.292495034,9.723936494,6.304285647,4.758429559,6.056818248,9.52893882,7.225523335,7.645618388,9.217865471,7.074676136,5.036681871,5.556393369
"PRE",21,10.7665042,3.396866215,6.284474738,7.723580258,10.48451415,5.636155194,4.349339016,6.347901212,7.188742165,7.219469924,8.157717674,7.668988133,7.274245888,5.038277722,5.303680687
"PRE",22,9.451795027,3.398448503,6.039884437,8.070864735,10.5124358,6.068867376,4.657345874,6.195615222,8.706005221,7.241125316,7.772404123,8.07658709,7.274245888,4.916862317,4.805915549
"PRE",23,8.913499764,3.501406207,5.793815094,8.070864735,10.39765228,5.39313297,4.442774546,6.359328923,8.565305958,7.91355029,7.706691399,8.961165957,7.413570914,5.484817499,5.43959569
"PRE",24,8.655804772,3.501406207,5.71050429,7.84053487,11.68532719,5.496609436,4.791516686,6.083238269,7.812398258,7.91355029,7.706691399,8.576155578,7.413570914,5.498750925,5.455036492
"PRE",25,9.956172123,3.520627589,6.016810151,8.102260333,10.61653428,6.453131256,4.791516686,6.346663105,7.625909321,7.512294205,7.325383878,10.28978248,7.54793385,5.24610567,5.012072226
"PRE",26,9.248776016,3.520627589,6.617352881,8.102260333,10.80096649,6.148076512,4.537050552,6.117912167,7.548873534,7.475936605,8.234891575,10.49494939,7.937476358,5.762703243,4.973041663
"PRE",27,9.908584838,3.679563651,6.617352881,8.173309657,12.15646505,5.375695339,4.357237247,5.853427124,8.553267979,7.475936605,7.33900189,8.331923504,7.937476358,5.501056668,4.316016877
"PRE",28,9.340591788,3.679563651,6.368414255,8.173309657,10.43543982,5.608837821,4.665098509,5.75969537,7.871900665,7.058486716,8.096142655,8.359413202,7.34054212,5.32199433,6.225381485
"PRE",29,9.328162352,3.377468445,6.368414255,8.35031619,10.63809453,5.544464313,4.447885885,5.56781237,8.704185559,7.82726613,8.642547659,10.67150653,7.580993876,5.043947961,5.353831287
"PRE",30,9.234457083,4.776711053,6.072046687,8.35031619,10.60552103,5.750821035,4.639816148,6.219675266,8.860882267,7.883958399,7.562948318,7.578934973,6.776318192,4.686598637,4.435886673
"PRE",31,9.471747597,4.776711053,6.039732303,8.245839205,11.17745572,6.078098463,4.7810644,6.554983656,6.914332414,7.953272531,8.305042378,8.969974814,7.452983577,6.181394196,5.504266984
