"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",1,465.8867599,198.698208,586.1064461,637.2440141,591.7709022,342.312113,227.697372,349.5873021,367.2811975,442.4817278,844.4651713,620.0659478,668.1192812,389.9505657,437.2981157
"PRE",2,771.9329825,248.6416074,418.5623094,822.7186526,474.0189714,383.8664557,197.98844,486.8913643,404.8659217,848.4815658,936.0427558,704.3182318,618.6856825,461.0946389,323.779762
"PRE",3,434.601862,132.7797336,374.7668774,424.3839014,565.2214498,540.5149733,306.4245928,419.4514061,377.8807017,616.7335923,825.8516352,632.466614,730.1753902,483.7946533,353.7487731
"PRE",4,450.8695375,281.7819275,404.6658077,954.9761635,682.3326319,547.9726291,240.9877613,482.6735712,415.1413761,513.8783659,917.426441,661.8886398,689.2386028,438.7519609,285.9704693
"PRE",5,451.26637,189.5169014,521.0239499,346.4672454,602.1044494,360.7429642,206.3218876,402.5641987,345.7239403,520.9853303,965.4013484,742.1286432,881.5135153,512.9158059,353.0540891
"PRE",6,471.8954067,231.2698506,356.8649501,601.8080815,537.6269288,338.7865798,228.2803518,401.2530117,473.0756071,621.4993589,933.8535403,496.3129942,417.2259046,650.2721654,334.5221891
"PRE",7,726.2786922,297.5268098,426.9240327,625.3693379,652.8806248,307.7375978,244.83386,491.3174426,362.3435813,576.2216567,900.0641566,612.3558834,639.2965027,482.9120394,410.0028536
"PRE",8,1154.248394,173.6370779,609.9810751,788.641103,592.2455792,499.2856768,204.9586413,570.5889137,519.4188833,536.3769103,794.050354,685.8754037,652.641954,403.1619733,303.3992978
"PRE",9,970.8369962,339.2035159,397.5158967,578.792437,600.0344906,506.2398526,182.5819306,468.5468794,508.5943462,558.9675637,864.3135931,733.0452901,594.8283852,450.4541548,251.4498296
"PRE",10,767.4613724,249.9678137,455.1050256,518.5856087,619.0974107,653.4292675,245.9310071,641.5326567,360.4118235,649.4840265,880.454905,616.8778353,663.4175633,355.3138608,439.7232775
"PRE",11,476.8776385,226.8422378,498.0431515,614.6651422,615.1494168,552.8268452,237.6133743,463.8533775,357.8640561,570.4021622,826.4567426,693.3864554,734.0487515,459.1487024,279.5674804
"PRE",12,303.7111064,319.1090775,533.782228,630.8602016,794.6534282,442.6052307,367.8010278,550.8874455,540.3113876,708.3602427,814.3772512,708.5848046,759.4422632,429.5729798,327.1858549
"PRE",13,656.8705479,285.180662,557.4403176,679.1692823,726.1168135,445.7443499,168.2020481,553.3717973,279.5220881,564.8786919,852.9406977,706.0419454,669.9165295,432.9412542,379.0425469
"PRE",14,354.1050189,217.8966947,474.2764989,501.9963026,634.4707308,466.2719495,220.639496,444.6610079,411.0867145,566.0504297,826.3093456,712.1881241,625.1911082,415.585749,415.9881729
"PRE",15,366.8795151,237.7324629,521.224757,565.737514,771.8522429,388.074967,202.5525063,578.0105701,566.7879697,495.4934192,812.4829147,728.9447002,618.5769892,538.8803027,358.3051401
"PRE",16,553.7289823,317.2629581,593.9199286,615.5138588,755.173906,400.5607128,316.7619358,425.6014195,443.6319416,573.1474601,832.6349076,712.634543,589.4310187,528.9414225,267.5342216
"PRE",17,839.7344883,338.8866915,542.4679127,675.5094874,727.5016382,292.6795096,207.1784223,659.9624986,654.4493777,830.0276868,831.6397864,691.4208645,630.4020525,364.2167056,338.908001
"PRE",18,637.0358686,449.5807825,546.6039149,480.7878104,596.0258996,396.4460224,269.9056409,553.6170418,464.4398821,533.1380756,868.480802,720.5362868,707.5151315,477.5561904,358.7788088
"PRE",19,562.6560941,243.3376986,365.9047812,559.296309,707.8366208,398.0929597,200.0687471,635.4676201,396.0656454,532.7480634,873.3006526,589.6300712,866.6420808,475.947038,509.0892352
"PRE",20,1136.453512,349.2792744,542.1693671,673.9694867,870.7283048,475.4800405,240.9011051,474.7589233,288.0646265,519.6233815,944.7697934,723.2968012,685.8870252,404.0767185,721.5597226
"PRE",21,598.8155546,238.902706,598.1705209,554.1223983,647.0313744,386.5748712,227.2635666,450.3770707,595.4495532,641.5104235,934.820721,727.7554524,775.2452707,497.493668,360.2340373
"PRE",22,362.4803163,299.5403292,522.0140035,676.9914389,740.2151451,390.8804548,323.8262278,673.5192625,557.1266415,740.689191,873.7397016,713.3341245,595.5226961,463.3071358,572.7869138
"PRE",23,413.5302319,222.0379087,333.3249731,709.8917448,698.3954593,375.1625541,269.4144525,569.2020532,491.2341904,497.730182,919.6557613,676.6245994,631.0138593,290.7337394,592.2086936
"PRE",24,429.7079358,225.9348746,403.2894876,603.7101428,467.3869883,446.3467858,423.6484381,685.749491,475.6918994,748.2089344,811.9637242,662.1221903,491.6552041,539.9431199,346.9235985
"PRE",25,466.2495239,235.6787667,407.5778924,496.9505146,565.8877471,476.0144607,154.7777866,610.9246468,374.3127669,653.6747191,804.623864,751.5393413,612.7213938,468.9815679,353.8500925
"PRE",26,468.969911,308.6578514,558.2906396,780.1323939,520.0090863,309.6772342,214.4263603,489.7655802,424.2676651,761.3386379,856.6050846,682.3813228,606.940262,522.4532674,453.0817568
"PRE",27,771.1961664,188.8327874,454.5129161,584.7757693,768.9268879,443.0684912,262.2094405,431.2719301,554.7451219,724.9407235,958.7173088,665.9866245,554.148536,489.9622921,813.801476
"PRE",28,472.9863857,190.262444,468.6924648,693.5407392,593.6557238,519.3990918,325.2667069,570.2615344,348.2493268,533.7975926,864.9705871,682.8376999,671.878869,518.3802372,368.1879447
"PRE",29,409.4486246,184.6806844,496.3960756,522.7228906,519.3890994,391.2386044,284.3125365,469.1029276,361.8445883,572.9717339,874.4343594,759.9602938,722.9278837,399.7569631,450.9592133
"PRE",30,555.9682318,308.5749237,484.7290166,636.2257767,651.0151445,398.7411776,274.2656643,598.8977102,480.166794,612.193226,831.1333285,829.6429704,747.0994733,551.978516,400.4231344
"PRE",31,822.8524188,318.3283287,535.0352669,689.467807,753.6742229,457.184853,319.605579,765.8351033,392.4366407,826.4386875,908.9422034,665.8572899,646.8948965,472.7632932,604.1599202
"PRE",32,701.3650913,191.451356,507.1285687,899.712398,739.5740207,351.1689235,200.7636348,719.7743427,594.8023431,785.2977809,870.5948727,690.6221399,686.8378247,422.6888817,378.7070468
"PRE",33,376.5715037,243.6069036,446.0206991,718.0226642,759.3299389,425.8111917,200.7636348,564.2751886,541.5153643,570.7167349,754.8753475,759.7326737,733.2717961,570.3256049,347.4546541
"PRE",34,747.5679263,296.0118324,493.6766484,421.3433488,732.4330032,569.4453476,234.2406529,485.6816962,351.4315935,793.8443614,909.3675904,855.5756484,775.3747734,544.7386064,410.8253751
"PRE",35,674.3632394,262.174668,484.949433,563.4832384,528.1883039,418.6206552,263.2363293,658.7625912,373.5607637,576.4893882,822.7506692,703.1597833,990.9775612,489.0834044,369.6168809
"PRE",36,575.1242314,275.5998933,426.6804432,663.6087544,658.905766,401.8788413,369.4864991,373.5746528,358.5524687,813.5732041,821.5618169,758.2932283,776.0908818,683.0102609,494.9584384
"PRE",37,894.7250928,171.4279175,424.1589584,700.29877,759.3497831,403.6947758,269.179159,416.3904188,426.9758226,556.2684094,887.664659,698.7799886,662.2884226,649.9886604,398.9226071
"PRE",38,722.1421542,229.9666892,460.2107515,751.7908964,629.6302061,416.4667291,271.6172913,NA,585.8593404,642.6977074,863.8417073,740.0853781,758.1704979,298.2660043,449.594173
"PRE",39,446.7701424,189.423428,430.7477945,656.9995137,678.6545502,522.0360003,225.67845,NA,530.5738978,785.8990121,805.2983864,742.6296863,514.2015879,568.5514338,408.1344607
"PRE",40,425.7630546,244.7014166,456.8285543,751.3621448,421.5640191,447.6978599,225.5529334,NA,594.2829417,758.4919613,805.4299862,695.6962795,750.8569405,502.8729034,425.3149827
