"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",1,462.4798033,225.0675464,592.4245803,669.9444369,502.2972668,577.6980343,261.0378381,451.1028295,379.7575443,463.4376296,641.993711,631.3620928,775.6313922,173.411487,252.0985012
"PRE",2,468.4528625,242.1996154,592.4245803,583.2867134,447.0224547,817.3963343,272.6286601,331.3999042,421.5001365,505.9947259,849.5674654,537.2493263,775.6313922,295.0695993,425.6169285
"PRE",3,460.5635662,242.1996154,514.5794145,595.9278094,440.5723074,531.7365929,172.4630309,345.4160121,423.727105,505.9947259,845.7561184,780.9930238,532.3470039,288.5855128,386.9427877
"PRE",4,452.0250217,340.0170234,514.5794145,645.9425193,335.5787745,824.331006,153.6188613,497.9551754,346.4573358,492.9364053,816.8805029,762.830562,561.2688369,269.1628882,263.7162512
"PRE",5,351.7890974,340.0170234,500.5517561,674.9321793,395.8407694,740.7603959,272.7434952,315.210459,362.4259366,492.9364053,697.2879253,661.8770677,632.1105998,330.9344661,304.1801031
"PRE",6,548.762903,330.4151435,542.4931236,744.6837565,420.859991,725.5830839,284.8681907,458.0516093,452.0932704,533.6532057,571.9562238,501.1013911,632.1105998,341.3330444,346.766931
"PRE",7,525.5716879,262.1530177,542.4931236,816.4947525,530.327396,500.4386033,204.4653671,306.8800574,414.1127737,533.6532057,816.2686128,735.6133221,498.9355528,245.8966968,307.1844365
"PRE",8,545.4372758,177.0155306,534.8462039,816.4947525,541.246424,783.4082882,204.6597044,318.63608,449.7620175,489.1352924,578.0133938,790.1840898,578.2007877,286.9975001,263.8634509
"PRE",9,411.7148743,308.7421696,534.8462039,796.5057619,482.4839875,856.6156278,133.4508766,288.6227142,391.5996068,417.9820528,749.2166012,502.279018,578.2007877,367.7083362,355.5988712
"PRE",10,479.0752366,308.7421696,560.1957567,756.4864725,708.4550998,784.9964575,307.2813051,327.9880747,417.9850854,486.7371821,645.635722,816.1911946,544.6041691,343.5524798,281.3021997
"PRE",11,443.2635802,198.5431186,560.1957567,885.8745276,359.9377333,571.0087496,168.4863837,329.0364918,506.2728973,486.7371821,945.3885925,716.9264849,592.3804516,298.625047,412.6814684
"PRE",12,490.4103958,344.0498549,541.7370492,885.8745276,609.1527348,627.5718706,230.2743876,362.1294767,411.7581232,457.6173487,785.425338,795.1550018,592.3804516,249.1182663,295.8742898
