"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",1,238.1357129,342.1261285,293.2995263,259.3448331,327.6915482,288.4448373,185.7904823,94.1220792,215.5867296,455.5478353,155.6131088,118.0002346,384.4718471,144.5552124,75.38274898
"PRE",2,189.5651325,307.6983585,315.2938016,238.6277456,329.6129127,294.1287225,157.1688758,100.9715439,212.6405172,455.5478353,136.5441231,176.9795675,259.7293786,149.2662385,94.82866702
"PRE",3,207.5706892,460.4700064,268.7128506,291.5141142,385.046028,282.7108045,166.3813835,99.67502944,242.7762114,425.4248586,121.764324,206.3930912,291.1679035,145.095308,105.4331065
"PRE",4,140.1457442,272.6559498,327.9231078,250.4794532,426.023612,346.1116593,244.1358738,72.01689441,215.4754684,474.0015085,203.7288269,152.2658983,272.6285502,121.7775315,97.00160023
"PRE",5,173.207315,415.2680798,257.2534056,267.6296726,366.4125824,263.7154082,188.406754,77.9878056,275.9292825,313.4349306,108.3100879,150.4879628,317.7103332,130.5319487,120.9932918
"PRE",6,246.63058,310.0873113,329.1379915,249.9988914,406.4186415,329.5079435,226.3424912,100.2969778,248.6557914,450.2322309,159.907097,201.3051665,271.2464094,159.8072467,84.87889264
"PRE",7,164.7427434,355.1807732,290.1141376,214.2203296,341.494822,280.0432716,160.5030649,100.735278,231.8618073,333.9853059,147.4546026,200.3584686,348.8555569,127.2522004,85.5519929
"PRE",8,191.39206,429.2898668,285.0894318,361.0853606,412.4466178,301.9442211,245.7961157,112.1456528,193.6535794,368.8179572,223.1802452,166.3934585,252.7165775,120.1904617,119.3026255
"PRE",9,178.6537596,330.1504927,314.6632708,265.3830129,408.6882009,493.8907098,208.1736139,98.42918636,234.0138183,323.0356916,171.106536,164.1742906,405.404753,122.7894633,83.09216132
"PRE",10,201.851032,474.4533104,302.2603444,260.174159,319.8734875,360.0090153,167.9897176,114.608846,186.7981252,339.2574041,141.9526089,140.3643484,280.929578,141.5793474,140.8016952
"PRE",11,276.3772277,308.6533654,295.3309737,260.0520606,370.5675954,375.3230032,243.9694924,126.989439,228.3842898,374.4521922,128.1901749,181.2724771,297.2218673,134.7322017,138.1481785
"PRE",12,281.474581,574.9487418,331.8567279,290.3715731,415.6290049,277.704458,184.5786957,85.31876156,157.3439703,399.5854094,138.5673448,176.7124837,307.2882306,153.9766697,125.2802442
"PRE",13,425.9418731,278.3715508,257.8218369,223.1850147,375.7650127,346.7556059,207.2007455,98.24877201,241.0608044,399.5854094,164.2248166,150.9632881,303.1235642,144.1666783,109.3735055
"PRE",14,173.6988806,345.3379517,295.0133944,265.2889616,219.3276038,299.9975891,163.3663646,103.1799162,190.1629379,447.0899602,155.2534469,129.9736876,248.0384834,166.0010416,95.68850969
"PRE",15,312.0146738,252.8137267,288.3795962,283.4107433,375.3183869,319.9708023,188.2565443,78.38481738,292.2078618,304.88028,207.8556396,170.1563256,233.3232399,175.5476896,102.3487257
"PRE",16,273.945833,422.589271,351.2997998,215.0011634,439.2420645,355.3530536,207.0173942,98.14338161,167.3627879,500.1701965,128.4948844,166.569296,245.2028572,153.853543,109.696531
"PRE",17,202.2396668,408.2614369,225.9783966,237.1465624,436.2450981,271.8128199,209.1359652,89.06236491,212.697934,297.0229585,150.5221165,271.0957948,282.033754,120.4473435,133.0637741
"PRE",18,209.6470935,322.6868825,246.3534933,203.4457262,375.9543233,296.6519083,202.6920553,95.65485739,153.1306963,305.000429,203.8930148,172.0346474,364.105181,149.4783168,78.08721298
"PRE",19,190.2232948,311.959435,283.347686,278.507311,401.1025812,364.2171422,165.3617214,121.9470832,153.1634596,312.0696469,129.9984521,135.7872729,309.267374,162.0877407,105.7264597
"PRE",20,204.7850087,375.7880177,313.0462188,220.3286433,342.2218984,337.77132,200.7239351,87.5007399,238.1148863,312.0696469,134.1636995,160.6999229,220.8383978,172.3702459,102.3530267
"PRE",21,347.96312,603.0835334,343.8402534,220.3286433,358.2577099,376.1546396,220.8037849,97.87022571,254.5260955,271.9635037,145.2386457,172.4138062,302.4763301,146.5442428,107.223712
"PRE",22,270.9117362,359.7274956,303.8858364,368.1120203,341.4470255,461.6371179,196.5692664,101.9051823,225.7298744,403.4982768,176.1728342,238.8143989,252.1537479,160.5738992,112.9755352
"PRE",23,232.0626068,320.6191821,380.2250075,309.4183475,407.5781699,330.7567975,224.1508044,96.17618276,192.7173435,352.7311576,141.5543381,138.1881888,282.2736241,142.479076,156.2490517
"PRE",24,232.1095937,245.1093229,264.6585121,224.0017635,435.6924001,361.9950606,210.173898,107.116458,211.3880575,352.7311576,190.3305215,158.8957207,220.7671376,121.9966679,112.8638292
"PRE",25,178.6970494,504.2711844,264.6585121,260.4019383,410.839251,306.9810579,187.7731361,100.2567357,215.3732611,367.0421506,152.8292831,208.4665282,340.3853792,130.9283715,88.5607021
"PRE",26,257.3652679,330.5945899,339.5640205,248.1746888,363.1154501,320.2186574,217.7053634,95.37697106,173.9830501,383.3989034,178.4518637,174.6986901,284.0567387,174.9292006,125.9590059
"PRE",27,172.0725827,506.50144,283.2366837,261.0187068,380.2712038,326.5232539,231.2919997,90.13332135,301.1141752,383.3989034,171.6787273,162.8791823,293.6362396,123.0416296,102.8677409
"PRE",28,214.6814067,348.877106,318.5605241,280.4007059,395.1822874,346.6015862,212.37684,113.6959986,219.3147613,450.6384121,120.6418175,176.4431082,501.5777777,179.8747113,129.3887335
"PRE",29,255.3905588,574.0636094,318.5605241,275.5579103,517.0632202,326.4888739,198.4132008,114.430979,169.8943978,341.1736532,192.4132944,196.4866006,194.728498,196.2370185,115.9700097
"PRE",30,196.8959279,254.7167837,302.5997646,347.6134762,431.9582496,345.5200925,204.0191095,131.7430002,149.5896877,370.4156824,132.0415657,201.0514212,417.662399,149.6831989,133.2893235
"PRE",31,191.4273499,394.9669584,317.4346692,218.1570378,411.7326868,276.9442956,230.6442366,95.66268901,220.9623801,451.4483285,209.0439392,170.1579108,270.5676796,167.2000515,56.59140338
