"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",1,-3.5989604,-4.515059471,-4.515059471,-5.398440838,-6.429297447,-4.024291992,-2.224812031,-1.570455551,-2.94460392,-5.823771954,-2.224812031,-2.781014919,-5.365722656,-2.781014919,-1.537737727
"PRE",2,-3.140911102,-4.187880993,-4.155163288,-5.398440838,-6.397070408,-4.449624062,-2.715579271,-1.668608904,-3.239064455,-5.627465248,-2.224812031,-3.304500103,-4.744084358,-3.337217808,-2.061222792
"PRE",3,-3.402653456,-4.351469994,-4.057010174,-5.202133656,-5.768642426,-4.318752289,-3.337217808,-1.505019784,-3.20634675,-6.609000206,-2.322965384,-3.566242456,-4.547777176,-2.977321625,-1.734044552
"PRE",4,-2.584707975,-4.384188175,-3.991574287,-5.88920784,-6.977157116,-4.645930767,-3.402653456,-1.603173375,-3.173628807,-6.216386318,-2.650143623,-3.173628807,-4.973108768,-2.715579271,-2.192094088
"PRE",5,-2.911885977,-4.711366177,-3.631678104,-5.202133656,-6.832135201,-4.057010174,-3.239064455,-1.537737727,-3.86070323,-5.921925545,-2.388401031,-2.911885977,-5.823771954,-2.879168272,-1.734044552
"PRE",6,-3.86070323,-4.253316879,-4.187880993,-5.202133656,-7.057724476,-4.711366177,-2.846450567,-1.537737727,-3.631678104,-5.365722656,-2.486554384,-3.27178216,-4.220599174,-3.140911102,-1.96306932
"PRE",7,-2.748296976,-5.431158543,-3.795267582,-4.744084358,-6.203708172,-4.187880993,-3.010039568,-1.603173375,-3.926138639,-4.776802063,-2.388401031,-2.846450567,-4.940391064,-2.748296976,-1.537737727
"PRE",8,-2.682861328,-5.627465248,-3.697113752,-4.318752289,-6.622659683,-4.515059471,-2.879168272,-1.570455551,-3.173628807,-6.347257614,-2.650143623,-2.813732624,-4.449624062,-2.813732624,-2.290247679
"PRE",9,-3.304500103,-5.660182953,-3.958856583,-5.07126236,-6.816021919,-5.431158543,-3.140911102,-1.505019784,-3.500806808,-6.281822205,-2.421118736,-3.20634675,-5.791054249,-2.650143623,-1.734044552
"PRE",10,-3.435371399,-4.874955654,-4.220599174,-5.103980541,-6.38095665,-4.220599174,-2.846450567,-1.864915967,-2.879168272,-5.823771954,-2.322965384,-2.617425919,-5.07126236,-2.781014919,-2.846450567
"PRE",11,-3.893420935,-4.384188175,-4.122445583,-4.809519768,-6.799908161,-4.907673359,-3.239064455,-2.061222792,-3.27178216,-6.118233204,-2.12665844,-3.337217808,-5.07126236,-2.94460392,-2.322965384
"PRE",12,-3.86070323,-4.842237473,-4.155163288,-5.038544655,-6.542091846,-3.926138639,-3.108193159,-1.701326728,-2.682861328,-5.725618839,-2.159376144,-3.140911102,-5.725618839,-3.173628807,-1.96306932
"PRE",13,-4.416906357,-5.005826473,-3.795267582,-5.038544655,-6.429297447,-4.809519768,-2.977321625,-1.537737727,-3.402653456,-5.823771954,-2.093940496,-3.140911102,-4.842237473,-2.388401031,-1.7994802
"PRE",14,-2.650143623,-4.744084358,-4.155163288,-4.940391064,-4.415106297,-3.827985287,-2.911885977,-1.7994802,-3.304500103,-5.300287247,-2.486554384,-2.977321625,-4.449624062,-3.010039568,-2.224812031
"PRE",15,-3.664396048,-4.384188175,-4.187880993,-5.038544655,-5.671961308,-4.318752289,-3.239064455,-1.537737727,-4.122445583,-5.267569542,-2.748296976,-2.911885977,-4.776802063,-3.402653456,-1.995787144
