"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",1,-5.169415951,-3.795267582,-7.525099277,-4.973108768,-7.831173897,-7.034331799,-4.449624062,-7.001613617,-5.136698246,-7.230638504,-7.557816982,-6.510846615,-6.412693501,-7.263356209,-6.085515022
"PRE",2,-6.903460503,-3.762549639,-6.968895912,-6.609000206,-7.782833576,-7.099767208,-4.318752289,-7.099767208,-5.333004951,-7.328792095,-7.394227505,-7.655970573,-7.067049503,-7.230638504,-6.674435616
"PRE",3,-6.805306911,-3.762549639,-7.3615098,-6.674435616,-7.927855492,-6.739871502,-4.776802063,-6.54356432,-5.921925545,-7.328792095,-7.852277279,-7.525099277,-7.067049503,-7.165203094,-6.739871502
"PRE",4,-6.936178207,-4.122445583,-6.936178207,-6.903460503,-7.831173897,-6.772589207,-4.416906357,-6.314539909,-6.216386318,-7.197920799,-7.72140646,-7.296073914,-7.001613617,-7.034331799,-7.263356209
"PRE",5,-5.823771954,-4.089727879,-7.296073914,-6.510846615,-7.976195812,-7.067049503,-4.416906357,-6.118233204,-5.103980541,-6.968895912,-7.754124165,-7.230638504,-7.590535164,-6.936178207,-7.067049503
"PRE",6,-5.660182953,-4.220599174,-7.132484913,-6.412693501,-8.07287693,-7.165203094,-4.220599174,-6.968895912,-6.805306911,-7.557816982,-7.459663868,-7.459663868,-5.725618839,-6.707153797,-6.609000206
"PRE",7,-5.921925545,-4.089727879,-7.132484913,-6.216386318,-8.105104446,-6.47812891,-4.122445583,-7.034331799,-5.562029839,-7.328792095,-7.525099277,-7.197920799,-6.085515022,-6.968895912,-7.034331799
"PRE",8,-6.805306911,-4.024291992,-7.067049503,-6.903460503,-8.07287693,-6.674435616,-4.515059471,-7.099767208,-6.739871502,-7.394227505,-7.95043087,-7.884995461,-6.936178207,-7.034331799,-6.838024616
"PRE",9,-5.88920784,-4.253316879,-7.328792095,-5.823771954,-8.137331009,-7.132484913,-4.449624062,-6.641717911,-6.347257614,-7.557816982,-7.557816982,-7.819559574,-6.412693501,-6.54356432,-6.674435616
"PRE",10,-5.88920784,-4.580495358,-7.263356209,-6.150950909,-8.056763649,-6.772589207,-4.351469994,-7.132484913,-5.202133656,-7.099767208,-7.95043087,-6.870742798,-6.968895912,-7.230638504,-7.165203094
"PRE",11,-7.034331799,-4.253316879,-7.557816982,-7.001613617,-8.056763649,-6.805306911,-4.286034584,-7.296073914,-6.936178207,-7.296073914,-7.819559574,-7.852277279,-6.118233204,-6.805306911,-6.772589207
"PRE",12,-5.758336544,-4.253316879,-7.067049503,-6.445411205,-8.105104446,-6.641717911,-4.645930767,-6.118233204,-5.791054249,-7.263356209,-7.754124165,-7.590535164,-7.296073914,-6.968895912,-7.067049503
"PRE",13,-5.594747543,-4.057010174,-7.197920799,-5.496593952,-8.15344429,-6.707153797,-4.286034584,-6.707153797,-5.169415951,-6.838024616,-7.754124165,-7.590535164,-6.968895912,-6.739871502,-7.034331799
"PRE",14,-5.038544655,-4.057010174,-7.197920799,-5.921925545,-8.169557571,-7.034331799,-4.515059471,-7.263356209,-6.085515022,-7.165203094,-7.884995461,-7.426946163,-6.2491045,-7.263356209,-6.870742798
"PRE",15,-5.398440838,-3.86070323,-7.165203094,-6.412693501,-8.024536133,-7.132484913,-4.384188175,-6.707153797,-6.216386318,-7.459663868,-7.099767208,-7.034331799,-6.118233204,-7.165203094,-6.347257614
"PRE",16,-5.463876247,-3.795267582,-7.3615098,-5.758336544,-8.105104446,-7.394227505,-4.187880993,-7.099767208,-6.281822205,-7.328792095,-7.786841869,-7.394227505,-7.197920799,-6.674435616,-6.805306911
"PRE",17,-6.412693501,-4.776802063,-7.328792095,-6.47812891,-8.024536133,-7.099767208,-4.318752289,-7.263356209,-7.165203094,-6.870742798,-7.72140646,-7.688688278,-6.936178207,-6.903460503,-6.54356432
"PRE",18,-5.627465248,-3.958856583,-7.099767208,-6.54356432,-8.121217728,-7.296073914,-4.318752289,-7.132484913,-6.510846615,-7.099767208,-7.852277279,-7.557816982,-5.987361431,-6.870742798,-6.936178207
"PRE",19,-6.281822205,-3.958856583,-7.099767208,-6.052796841,-8.105104446,-6.805306911,-4.384188175,-7.459663868,-5.791054249,-6.347257614,-7.72140646,-7.197920799,-7.492381573,-7.328792095,-7.197920799
"PRE",20,-6.412693501,-4.187880993,-7.034331799,-6.379975319,-8.088990211,-7.197920799,-4.547777176,-6.347257614,-5.005826473,-6.870742798,-7.688688278,-7.557816982,-7.525099277,-7.034331799,-6.707153797
"PRE",21,-6.281822205,-4.187880993,-7.394227505,-7.001613617,-8.008422852,-7.132484913,-4.286034584,-7.132484913,-7.099767208,-6.968895912,-7.328792095,-7.852277279,-7.132484913,-6.510846615,-7.067049503
"PRE",22,-6.445411205,-4.024291992,-7.426946163,-5.627465248,-8.056763649,-6.739871502,-4.416906357,-7.197920799,-7.296073914,-6.936178207,-7.819559574,-7.917713165,-6.707153797,-7.099767208,-7.263356209
"PRE",23,-5.987361431,-4.286034584,-7.034331799,-6.674435616,-8.121217728,-7.034331799,-4.449624062,-6.707153797,-5.725618839,-7.426946163,-7.3615098,-7.786841869,-6.576282501,-7.72140646,-7.296073914
"PRE",24,-5.823771954,-4.286034584,-7.165203094,-6.2491045,-8.15344429,-7.132484913,-4.711366177,-6.739871502,-6.903460503,-7.394227505,-7.884995461,-7.754124165,-6.379975319,-7.001613617,-6.838024616
"PRE",25,-5.463876247,-4.155163288,-7.296073914,-6.707153797,-8.121217728,-6.968895912,-4.416906357,-7.099767208,-5.921925545,-6.641717911,-7.852277279,-7.917713165,-6.674435616,-7.3615098,-7.067049503
"PRE",26,-6.609000206,-4.155163288,-6.772589207,-6.674435616,-8.169557571,-7.197920799,-4.384188175,-7.034331799,-5.529312134,-7.132484913,-7.819559574,-7.230638504,-6.150950909,-7.230638504,-7.296073914
"PRE",27,-5.725618839,-4.122445583,-6.968895912,-6.674435616,-8.169557571,-7.067049503,-4.416906357,-6.707153797,-7.197920799,-6.968895912,-7.328792095,-7.001613617,-6.150950909,-7.296073914,-7.3615098
"PRE",28,-5.758336544,-4.253316879,-7.001613617,-6.183668613,-8.15344429,-7.165203094,-4.449624062,-6.870742798,-6.150950909,-7.525099277,-7.819559574,-7.917713165,-7.001613617,-7.197920799,-6.412693501
"PRE",29,-6.739871502,-4.253316879,-6.674435616,-6.870742798,-8.105104446,-7.067049503,-4.482341766,-6.47812891,-5.496593952,-7.197920799,-7.590535164,-7.623252869,-6.281822205,-7.328792095,-6.936178207
"PRE",30,-6.052796841,-4.122445583,-7.263356209,-6.281822205,-8.137331009,-7.034331799,-4.744084358,-7.165203094,-6.968895912,-6.903460503,-7.394227505,-7.72140646,-6.510846615,-7.426946163,-6.216386318
"PRE",31,-6.216386318,-4.122445583,-7.165203094,-6.870742798,-8.121217728,-7.132484913,-4.482341766,-7.099767208,-5.987361431,-7.3615098,-7.492381573,-7.263356209,-7.197920799,-7.263356209,-7.132484913
"PRE",32,-5.856490135,-4.024291992,-7.230638504,-6.838024616,-8.024536133,-6.379975319,-4.482341766,-7.067049503,-7.001613617,-7.328792095,-7.72140646,-7.655970573,-7.426946163,-6.805306911,-7.165203094
"PRE",33,-5.987361431,-4.187880993,-7.394227505,-6.609000206,-8.088990211,-7.328792095,-4.220599174,-6.609000206,-5.136698246,-7.426946163,-7.590535164,-7.786841869,-6.936178207,-7.034331799,-6.870742798
"PRE",34,-5.823771954,-4.155163288,-7.099767208,-6.674435616,-8.105104446,-7.099767208,-4.776802063,-7.3615098,-5.594747543,-6.739871502,-7.296073914,-7.590535164,-7.328792095,-7.3615098,-6.609000206
"PRE",35,-5.856490135,-4.384188175,-7.197920799,-6.085515022,-7.976195812,-7.328792095,-4.351469994,-7.328792095,-5.725618839,-7.394227505,-7.819559574,-7.623252869,-7.3615098,-7.197920799,-7.263356209
"PRE",36,-6.47812891,-4.384188175,-7.230638504,-6.641717911,-7.99230957,-6.838024616,-4.384188175,-6.2491045,-6.379975319,-7.230638504,-7.296073914,-7.688688278,-6.314539909,-7.001613617,-7.165203094
"PRE",37,-6.510846615,-4.253316879,-7.197920799,-5.987361431,-8.105104446,-7.165203094,-4.678648472,-7.165203094,-5.758336544,-7.3615098,-7.230638504,-7.819559574,-6.47812891,-7.067049503,-6.641717911
"PRE",38,-6.576282501,-4.122445583,-7.590535164,-6.739871502,-7.943968773,-7.328792095,-4.253316879,NA,-7.099767208,-7.296073914,-7.688688278,-7.525099277,-6.838024616,-7.590535164,-6.968895912
"PRE",39,-6.314539909,-4.351469994,-7.328792095,-6.772589207,-8.056763649,-6.772589207,-4.187880993,NA,-5.169415951,-7.296073914,-7.852277279,-7.099767208,-7.132484913,-6.903460503,-6.968895912
"PRE",40,-6.183668613,-4.351469994,-7.263356209,-6.183668613,-8.121217728,-7.296073914,-4.351469994,NA,-6.870742798,-7.197920799,-7.819559574,-7.099767208,-6.870742798,-6.707153797,-7.165203094
"PRE",41,-6.674435616,-4.351469994,-6.936178207,-6.838024616,-8.105104446,-6.968895912,-4.220599174,NA,-5.987361431,-7.067049503,-7.786841869,-7.525099277,-7.590535164,-6.772589207,-7.001613617
"PRE",42,-6.314539909,-4.351469994,-7.3615098,-5.758336544,-8.15344429,-7.165203094,-4.449624062,NA,-5.169415951,-7.590535164,-7.819559574,-7.197920799,-6.838024616,-6.510846615,-6.968895912
"PRE",43,-6.510846615,-4.122445583,-7.3615098,-5.562029839,-8.088990211,-7.3615098,-4.318752289,NA,-6.445411205,-7.492381573,-7.917713165,-7.590535164,-7.459663868,-6.838024616,-7.197920799
"PRE",44,-5.88920784,-4.122445583,-6.805306911,-6.870742798,-8.15344429,-7.328792095,-4.384188175,NA,-6.314539909,-7.394227505,-7.557816982,-7.099767208,-7.067049503,-7.230638504,-7.132484913
"PRE",45,-5.725618839,-4.024291992,-7.197920799,-6.314539909,-8.137331009,-7.197920799,-4.613213062,NA,-6.739871502,-7.263356209,-7.263356209,-7.754124165,-6.576282501,-7.132484913,-7.263356209
"PRE",46,-6.183668613,-4.220599174,-6.903460503,-5.463876247,-8.137331009,-6.936178207,-4.286034584,NA,-6.54356432,-7.3615098,-7.786841869,-7.426946163,-7.263356209,-7.263356209,-7.230638504
"PRE",47,-6.150950909,-4.384188175,-6.936178207,-6.085515022,-8.137331009,-7.394227505,-4.416906357,NA,-5.725618839,-7.296073914,-7.688688278,-7.394227505,-7.394227505,-6.968895912,-6.674435616
"PRE",48,-6.412693501,-4.384188175,-7.263356209,-5.987361431,-8.088990211,-7.197920799,-4.547777176,NA,-6.085515022,-6.968895912,-7.492381573,-7.492381573,-6.314539909,-6.47812891,-7.230638504
"PRE",49,NA,NA,-7.230638504,NA,-8.105104446,-7.132484913,NA,NA,NA,-7.525099277,-7.852277279,-6.870742798,-7.394227505,-7.230638504,-7.3615098
"POST",1,-7.960082054,-5.234851837,-7.459663868,-6.772589207,-8.137331009,-7.394227505,-5.365722656,-7.394227505,-5.791054249,-7.492381573,-7.72140646,-7.623252869,-7.426946163,-7.328792095,-6.870742798
"POST",2,-8.07287693,-4.842237473,-7.3615098,-6.020079136,-8.15344429,-7.394227505,-5.692901134,-7.165203094,-7.557816982,-7.525099277,-7.525099277,-7.72140646,-7.001613617,-7.557816982,-6.805306911
"POST",3,-7.879514694,-4.122445583,-7.165203094,-7.230638504,-8.137331009,-7.328792095,-5.300287247,-7.132484913,-6.2491045,-7.688688278,-7.655970573,-7.590535164,-6.805306911,-7.263356209,-6.576282501
"POST",4,-8.040649414,-4.220599174,-6.870742798,-7.132484913,-8.137331009,-7.459663868,-5.463876247,-7.459663868,-6.2491045,-7.623252869,-7.754124165,-7.296073914,-6.772589207,-7.459663868,-7.132484913
