"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",1,-266.5929872,-426.5487795,-649.5174428,-761.0017877,-556.2219917,-499.2560521,-310.2172934,-450.7844546,-305.3701566,-601.0460043,-1114.843405,-625.28175,-412.0074309,-441.0901987,-615.5874588
"PRE",2,-504.1031448,-450.784512,-421.7016515,-896.7218519,-534.7370302,-533.1860009,-353.8416481,-489.5616903,-368.3830409,-571.9631835,-727.0717728,-567.1159849,-547.7274024,-475.0202004,-576.8102762
"PRE",3,-494.4088535,-281.1344638,-605.8931499,-857.9447135,-596.8047673,-508.9503081,-353.8416128,-562.2688569,-407.1601617,-508.9502374,-1240.869209,-596.1988057,-450.7845253,-489.5616549,-562.2688923
"PRE",4,-455.6316753,-407.1601926,-678.6003519,-848.2504487,-453.5716203,-528.3388552,-353.8415598,-518.6444934,-455.6316179,-571.9631482,-1046.983432,-702.8360535,-499.2559462,-508.9502021,-571.9631129
"PRE",5,-232.6629899,-441.0901987,-431.3958721,-819.1675661,-627.8386005,-542.8802745,-271.4401549,-518.6444934,-339.3001936,-479.8673814,-1061.524852,-436.2430707,-494.4088889,-504.1031448,-528.3388552
"PRE",6,-315.0644655,-455.6316356,-688.2946078,-702.836133,-537.1242129,-557.4216583,-358.6887584,-450.78449,-494.4088535,-697.9889432,-1027.594804,-455.6316886,-363.5359041,-513.797436,-436.2431237
"PRE",7,-387.7716498,-315.0644478,-382.9244866,-634.9760766,-560.9964982,-479.8674343,-368.3830497,-508.9502728,-358.6887408,-407.1602323,-746.4603906,-455.6317239,-460.4788518,-475.0202357,-436.2430707
"PRE",8,-382.9244866,-416.8544927,-571.9630952,-785.2375379,-527.5753588,-513.797436,-315.0644655,-504.1031095,-455.6316886,-630.1288957,-1260.257774,-484.7144563,-470.1730724,-625.281803,-455.6316179
"PRE",9,-475.0201827,-368.3830497,-484.7144917,-857.9447135,-627.8386115,-518.6445508,-353.8416305,-523.491692,-387.7715792,-727.0718258,-1109.996259,-634.9759883,-441.090234,-673.7531886,-489.5616549
"PRE",10,-397.4659058,-441.0902075,-678.6003166,-765.8489466,-510.8648685,-499.2559815,-266.5930093,-528.3388906,-276.2873005,-770.6960834,-1250.5635,-562.2688923,-542.8802568,-412.0073956,-416.8545589
