"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",1,-4.122445583,-4.940391064,-7.230638504,-7.296073914,-7.58947134,-6.772589207,-2.617425919,-7.197920799,-4.351469994,-6.150950909,-6.707153797,-4.547777176,-6.47812891,-3.108193159,-6.118233204
"PRE",2,-5.627465248,-6.150950909,-7.230638504,-7.296073914,-7.766719818,-7.165203094,-2.682861328,-6.936178207,-4.678648472,-6.510846615,-6.903460503,-3.5989604,-6.020079136,-2.879168272,-7.099767208
"PRE",3,-4.384188175,-6.150950909,-7.230638504,-6.609000206,-7.798947334,-6.772589207,-2.94460392,-7.230638504,-3.926138639,-5.202133656,-7.001613617,-3.729831934,-6.838024616,-3.500806808,-7.132484913
"PRE",4,-4.515059471,-4.416906357,-7.034331799,-6.838024616,-7.750606537,-7.230638504,-2.781014919,-7.132484913,-5.234851837,-6.118233204,-7.067049503,-4.613213062,-5.823771954,-3.533524752,-6.805306911
"PRE",5,-4.155163288,-5.529312134,-6.968895912,-6.739871502,-7.653925419,-6.47812891,-2.813732624,-7.067049503,-5.365722656,-5.333004951,-6.870742798,-3.697113752,-5.692901134,-5.038544655,-7.067049503
"PRE",6,-4.449624062,-5.627465248,-7.230638504,-6.805306911,-8.040649414,-6.576282501,-3.010039568,-7.230638504,-5.594747543,-5.038544655,-6.739871502,-3.893420935,-6.085515022,-3.27178216,-6.379975319
"PRE",7,-3.010039568,-5.365722656,-6.870742798,-7.132484913,-7.750606537,-7.3615098,-2.682861328,-7.001613617,-4.645930767,-5.88920784,-6.641717911,-3.631678104,-5.365722656,-3.27178216,-6.870742798
"PRE",8,-4.515059471,-5.234851837,-6.674435616,-7.001613617,-7.186632633,-6.903460503,-2.519272327,-7.034331799,-6.183668613,-5.005826473,-6.445411205,-3.926138639,-5.300287247,-4.122445583,-7.034331799
"PRE",9,-4.678648472,-6.020079136,-6.772589207,-7.132484913,-7.251086712,-6.903460503,-2.682861328,-6.707153797,-5.038544655,-4.580495358,-6.445411205,-3.893420935,-6.838024616,-3.631678104,-7.132484913
"PRE",10,-6.314539909,-5.529312134,-6.739871502,-7.067049503,-7.508903503,-7.001613617,-2.584707975,-7.067049503,-4.678648472,-5.921925545,-6.707153797,-3.795267582,-5.398440838,-3.991574287,-6.47812891
"PRE",11,-4.842237473,-5.365722656,-6.903460503,-7.067049503,-7.815060616,-7.132484913,-2.551990271,-7.296073914,-3.369935751,-5.660182953,-5.921925545,-4.024291992,-6.576282501,-3.075475454,-6.936178207
"PRE",12,-4.384188175,-4.711366177,-6.936178207,-7.132484913,-6.622659683,-7.165203094,-2.519272327,-6.870742798,-6.118233204,-5.169415951,-6.216386318,-3.762549639,-6.118233204,-3.795267582,-6.510846615
"PRE",13,-4.318752289,-5.823771954,-7.132484913,-7.263356209,-7.99230957,-5.725618839,-2.617425919,-7.034331799,-5.431158543,-5.627465248,-6.510846615,-3.86070323,-5.758336544,-3.402653456,-6.838024616
"PRE",14,-3.173628807,-4.024291992,-7.263356209,-7.263356209,-7.234973431,-7.132484913,-3.075475454,-6.609000206,-5.398440838,-4.842237473,-6.445411205,-4.318752289,-6.118233204,-3.140911102,-6.510846615
"PRE",15,-3.958856583,-4.842237473,-6.314539909,-7.165203094,-7.154405594,-6.968895912,-3.075475454,-7.132484913,-6.347257614,-5.398440838,-6.47812891,-3.5989604,-5.005826473,-3.86070323,-7.034331799
"PRE",16,-5.136698246,-5.267569542,-7.230638504,-7.3615098,-7.106065273,-7.132484913,-2.551990271,-7.197920799,-5.038544655,-6.118233204,-7.001613617,-3.173628807,-6.47812891,-3.435371399,-6.772589207
"PRE",17,-4.809519768,-6.085515022,-7.165203094,-7.3615098,-8.008422852,-7.263356209,-2.551990271,-7.099767208,-4.842237473,-5.431158543,-5.660182953,-3.958856583,-5.529312134,-3.337217808,-6.805306911
"PRE",18,-4.253316879,-5.038544655,-7.230638504,-7.099767208,-6.912703037,-7.296073914,-3.075475454,-6.870742798,-5.496593952,-4.318752289,-6.54356432,-3.468089104,-6.903460503,-3.173628807,-6.772589207
"PRE",19,-4.711366177,-5.333004951,-7.230638504,-7.067049503,-6.848248959,-7.197920799,-3.010039568,-6.707153797,-5.725618839,-4.318752289,-5.987361431,-4.155163288,-5.921925545,-3.729831934,-7.001613617
"PRE",20,-5.594747543,-5.103980541,-7.099767208,-7.165203094,-7.508903503,-6.936178207,-2.486554384,-7.067049503,-5.660182953,-5.333004951,-7.230638504,-3.566242456,-6.281822205,-3.304500103,-6.903460503
"PRE",21,-3.795267582,-4.711366177,-7.230638504,-7.165203094,-7.911741734,-7.296073914,-2.421118736,-7.165203094,-4.711366177,-5.529312134,-6.216386318,-3.304500103,-5.103980541,-3.075475454,-6.47812891
"PRE",22,-5.987361431,-5.365722656,-7.230638504,-7.263356209,-7.218859673,-6.968895912,-2.290247679,-6.772589207,-5.365722656,-5.103980541,-6.609000206,-3.566242456,-5.95464325,-3.566242456,-6.903460503
"PRE",23,-4.580495358,-4.744084358,-6.707153797,-7.263356209,-6.86436224,-6.347257614,-2.551990271,-6.739871502,-4.711366177,-5.660182953,-7.067049503,-3.435371399,-4.907673359,-3.369935751,-6.968895912
"PRE",24,-4.940391064,-5.95464325,-6.707153797,-7.165203094,-7.186632633,-7.263356209,-2.617425919,-7.132484913,-4.024291992,-4.645930767,-6.968895912,-3.140911102,-6.412693501,-3.369935751,-6.183668613
"PRE",25,-5.660182953,-5.496593952,-7.197920799,-7.165203094,-6.525978565,-7.067049503,-2.846450567,-7.001613617,-5.823771954,-4.057010174,-6.707153797,-3.86070323,-4.809519768,-2.879168272,-6.2491045
"PRE",26,-4.351469994,-5.496593952,-7.197920799,-7.099767208,-6.944930077,-7.263356209,-2.715579271,-6.968895912,-5.07126236,-5.921925545,-6.936178207,-3.697113752,-5.038544655,-2.977321625,-5.95464325
"PRE",27,-4.351469994,-4.973108768,-7.165203094,-7.099767208,-6.413183689,-6.870742798,-3.27178216,-7.067049503,-4.874955654,-5.856490135,-6.085515022,-3.795267582,-4.973108768,-3.402653456,-6.903460503
"PRE",28,-4.416906357,-5.660182953,-6.54356432,-6.936178207,-7.186632633,-7.328792095,-2.650143623,-6.903460503,-5.627465248,-5.333004951,-6.510846615,-3.86070323,-4.515059471,-3.566242456,-5.88920784
"PRE",29,-3.958856583,-6.183668613,-7.296073914,-6.772589207,-7.428336143,-7.230638504,-2.94460392,-7.165203094,-4.940391064,-4.089727879,-6.805306911,-3.108193159,-5.431158543,-3.173628807,-6.052796841
"PRE",30,-5.234851837,-6.183668613,-7.296073914,-7.230638504,-7.073838234,-7.263356209,-2.748296976,-6.805306911,-5.529312134,-4.547777176,-7.001613617,-3.5989604,-5.038544655,-2.94460392,-6.2491045
"PRE",31,-4.940391064,-4.874955654,-7.165203094,-7.230638504,-6.574318886,-6.838024616,-2.682861328,-7.034331799,-3.697113752,-6.020079136,-6.445411205,-3.762549639,-4.940391064,-3.86070323,-6.674435616
"PRE",32,-3.729831934,-5.234851837,-7.165203094,-7.034331799,-7.557244301,-7.230638504,-2.584707975,-7.034331799,-4.351469994,-4.645930767,-7.034331799,-3.402653456,-6.739871502,-3.337217808,-6.54356432
"PRE",33,-3.827985287,-4.809519768,-7.197920799,-7.001613617,-6.896589279,-6.54356432,-2.421118736,-7.099767208,-4.547777176,-5.627465248,-6.347257614,-3.239064455,-4.940391064,-3.435371399,-5.791054249
"PRE",34,-4.678648472,-5.856490135,-7.132484913,-7.230638504,-6.542091846,-7.165203094,-2.682861328,-7.034331799,-5.823771954,-5.07126236,-6.870742798,-3.697113752,-4.809519768,-3.566242456,-5.758336544
"PRE",35,-4.122445583,-5.856490135,-6.347257614,-7.230638504,-6.719340801,-6.576282501,-2.453836679,-6.903460503,-3.697113752,-5.005826473,-6.281822205,-3.337217808,-5.169415951,-4.057010174,-5.823771954
"PRE",36,-3.86070323,-5.88920784,-7.165203094,-6.47812891,-7.106065273,-6.838024616,-2.584707975,-7.165203094,-5.431158543,-4.645930767,-7.034331799,-3.762549639,-5.88920784,-3.369935751,-5.692901134
