item,SE_LTibX,SE_LTibY,SE_LTibZ,SE_RTibX,SE_RTibY,SE_RTibZ,SE_PelvisX,SE_PelvisY,SE_PelvisZ,SE_ThorX,SE_ThorY,SE_ThorZ
Pt_1,0.7,0.62,0.33,0.7,0.62,0.33,0.55,0.7,0.57,0.47,0.48,0.29
Pt_2,0.65,0.83,0.4,0.65,0.83,0.4,0.37,0.67,0.54,0.21,0.53,0.39
Pt_3,0.52,0.77,0.32,0.52,0.77,0.32,0.48,0.45,0.59,0.31,0.71,0.32
Pt_4,0.57,0.49,0.35,0.57,0.49,0.35,0.27,0.7,0.54,0.31,0.44,0.29
Pt_5,0.57,0.76,0.35,0.57,0.76,0.35,0.4,0.66,0.5,0.28,0.59,0.23
Pt_6,0.53,0.76,0.32,0.53,0.76,0.32,0.3,0.49,0.65,0.3,0.44,0.15
Pt_7,0.64,0.75,0.24,0.64,0.75,0.24,0.44,0.61,0.82,0.36,0.72,0.34
Pt_8,0.62,0.77,0.4,0.62,0.77,0.4,0.39,0.64,0.66,0.4,0.6,0.29
Pt_9,0.69,0.59,0.31,0.69,0.59,0.31,0.5,0.68,0.61,0.5,0.47,0.32
Pt_10,0.64,0.65,0.43,0.64,0.65,0.43,0.35,0.7,0.58,0.43,0.5,0.38
Pt_11,0.46,0.49,0.29,0.46,0.49,0.29,0.31,0.89,0.67,0.57,0.75,0.41
Pt_12,0.67,0.42,0.42,0.67,0.42,0.42,0.39,0.84,0.7,0.5,0.68,0.3
Pt_13,0.49,0.46,0.41,0.49,0.46,0.41,0.35,0.79,0.55,0.51,0.65,0.21
Pt_14,0.51,0.52,0.35,0.51,0.52,0.35,0.44,0.7,0.54,0.46,0.59,0.33
Pt_15,0.67,0.75,0.35,0.67,0.75,0.35,0.29,0.61,0.57,0.58,0.47,0.27
AR,0.64,0.52,0.31,10.71,13.02,8.77,0.64,0.52,0.31,10.71,13.02,8.77
JS,0.63,0.44,0.28,12.44,13.36,9.98,0.63,0.44,0.28,12.44,13.36,9.98
