"Stride","Phase","Stride.Time","Time","RTx","RTy","RTz","LTx","LTy","LTz","Px","Py","Pz","Tx","Ty","Tz"
1,1,0,0,0.145021737,-1.079606295,-7.234973431,-6.171481133,-0.193362325,1.869169235,0.145021737,1.176287413,0.290043473,0.628427565,0,-0.177248791
1,1,0.00675,0.00675,-1.192400932,-0.83790338,-6.235935211,-5.978117943,-0.016113527,1.901396275,0.370611101,1.466330886,0.43506521,0.612313986,0.193362325,-0.128908217
1,1,0.0135,0.0135,-2.852094173,-0.290043473,-2.51371026,-6.042572975,0.145021737,2.030304432,0.483405828,1.385763288,0.902357459,0.612313986,0.338384062,-0.048340581
1,1,0.02025,0.02025,-3.287159443,-2.497596741,1.981963873,-5.849209785,0.161135271,2.159212589,0.273929954,1.031265736,1.482444406,0.499519348,0.370611101,0.096681163
1,1,0.027,0.027,-5.253009796,-6.832135201,6.042572975,-5.220782757,-0.257816434,2.12698555,-0.306156993,0.596200466,2.868207693,0.370611101,0.322270542,0.354497582
1,1,0.03375,0.03375,-7.62169838,-6.461524487,-5.365804672,-4.511787415,-0.676768124,1.933623314,-1.224627972,-0.128908217,3.963927746,0.177248791,0.145021737,0.43506521
1,1,0.0405,0.0405,-8.137331009,-1.353536248,-7.782833576,-4.028381824,-0.8540169,1.417990327,-1.853055716,-0.83790338,3.383840561,-0.177248791,-0.096681163,0.692881644
1,1,0.04725,0.04725,-8.217898369,6.574318886,-5.172442436,-3.689997673,-0.966811657,0.934584618,-1.933623314,-0.016113527,2.255893707,-1.385763288,-0.290043473,1.579125643
1,1,0.054,0.054,-5.043534279,3.512748718,-6.397070408,-3.351613522,-0.918471098,0.467292309,-2.481482983,1.385763288,1.498558044,-4.817944527,-0.805676341,2.658731937
1,1,0.06075,0.06075,-1.417990327,0.725108683,-2.578164339,-2.964888811,-0.708995163,-0.032227054,-3.544975758,2.835980654,0.483405828,-7.702265739,0.128908217,3.931700706
1,1,0.0675,0.0675,3.4160676,-2.723186016,-3.44829464,-2.223666668,-0.8540169,-0.402838171,-4.608468533,2.868207693,0.048340581,-6.606545925,2.674845457,3.657770634
1,1,0.07425,0.07425,5.05964756,-3.271045923,-4.2539711,-1.482444406,-1.160173893,-0.692881644,-5.285236835,1.482444406,0.563973427,-4.092835903,2.304234266,2.755413055
1,1,0.081,0.081,1.240741491,0.128908217,-3.561089277,-0.547859907,-1.756374359,-0.789562821,-5.994232178,-0.660654604,1.176287413,-1.466330886,1.27296865,3.190478325
1,1,0.08775,0.08775,-1.546898603,-2.400915384,-3.254932404,1.514671564,-1.804714918,-0.8540169,-6.558205605,-2.320347786,1.385763288,0.241702914,0.354497582,3.673884392
1,1,0.0945,0.0945,-4.350652218,-1.353536248,-2.658731937,3.174364805,-1.981963873,-1.160173893,-5.607507229,-2.578164339,1.224627972,0.45117873,0.016113527,4.076722145
1,1,0.10125,0.10125,-7.041611195,-0.531746387,-3.093797207,3.561089277,-1.675806761,-1.417990327,-4.785717487,-1.659693241,0.805676341,-0.628427565,0.290043473,3.609429836
1,1,0.108,0.108,-3.577202797,-2.497596741,-4.092835903,2.384801865,-0.741222203,-1.305195689,-4.447333336,-0.708995163,0.41895169,-2.352574825,0.692881644,3.287159443
1,1,0.11475,0.11475,-2.304234266,-0.757335782,-4.527901173,1.015152216,-0.692881644,-1.353536248,-4.366765976,-0.193362325,0.402838171,-4.624582291,0.950698137,3.126024246
1,1,0.1215,0.1215,-4.415106297,-0.177248791,-3.915586948,0.370611101,-0.902357459,-1.498558044,-4.237857342,0.128908217,0.402838171,-6.203708172,0.966811657,2.755413055
1,1,0.12825,0.12825,-6.010345936,-0.821789861,-3.158251286,0.177248791,-0.805676341,-1.563012123,-4.189517021,0.225589365,0.402838171,-5.49471283,0.757335782,2.078644991
1,1,0.135,0.135,-7.331655025,-1.675806761,-2.336461306,0.080567636,-0.676768124,-1.434103847,-4.157289982,0.290043473,0.338384062,-4.012268066,0.660654604,1.836942196
1,1,0.14175,0.14175,-7.605585098,-0.789562821,-1.25685513,-0.241702914,-0.483405828,-1.305195689,-4.028381824,0.41895169,0.290043473,-3.045456648,0.773449302,1.853055716
1,1,0.1485,0.1485,-8.07287693,-0.193362325,-0.547859907,-0.757335782,-0.386724651,-1.192400932,-3.722224712,0.628427565,0.338384062,-2.52982378,0.821789861,1.7080338
1,1,0.15525,0.15525,-8.201785088,0.41895169,0.032227054,-1.111833334,-0.354497582,-1.417990327,-3.174364805,0.83790338,0.402838171,-2.320347786,0.886243939,1.305195689
1,1,0.162,0.162,-8.217898369,1.530785084,0.918471098,-1.015152216,-0.612313986,-1.031265736,-2.787640095,0.982925177,0.515632868,-2.175326109,0.886243939,0.886243939
1,1,0.16875,0.16875,-7.960082054,2.433142424,1.756374359,-1.127946854,-0.225589365,-0.676768124,-2.481482983,1.015152216,0.386724651,-1.901396275,0.821789861,0.612313986
1,1,0.1755,0.1755,-6.719340801,2.400915384,2.433142424,-1.401876807,-0.161135271,-0.950698137,-2.207553148,0.83790338,0.338384062,-1.627466202,0.676768124,0.41895169
1,1,0.18225,0.18225,-5.14021492,1.885282755,2.51371026,-1.563012123,-0.45117873,-1.095719814,-1.853055716,0.628427565,0.45117873,-1.353536248,0.531746387,0.225589365
1,1,0.189,0.189,-3.754451752,1.047379255,2.368688345,-1.788601398,-0.257816434,-1.28908217,-1.385763288,0.306156993,0.596200466,-1.079606295,0.41895169,0.080567636
1,1,0.19575,0.19575,-3.577202797,-0.145021737,2.352574825,-1.804714918,0,-1.756374359,-0.789562821,-0.016113527,0.580086946,-0.741222203,0.338384062,0
1,1,0.2025,0.2025,-3.44829464,-2.288120747,1.72414732,-1.72414732,0.354497582,-2.288120747,-0.209475845,-0.193362325,0.596200466,-0.386724651,0.322270542,-0.016113527
1,1,0.20925,0.20925,-3.351613522,-4.141176224,-0.032227054,-1.627466202,0.257816434,-2.884321213,0.386724651,-0.257816434,0.531746387,-0.064454108,0.306156993,0.032227054
1,1,0.216,0.216,-3.657770634,-5.349690914,-1.530785084,-1.369649768,0.032227054,-3.399954081,0.87013042,-0.322270542,0.8540169,0.161135271,0.306156993,0.096681163
1,1,0.22275,0.22275,-2.272007227,-3.4160676,-1.885282755,-1.25685513,-0.128908217,-4.044495106,1.224627972,-0.257816434,1.063492775,0.290043473,0.354497582,0.096681163
1,1,0.2295,0.2295,-2.336461306,-1.627466202,-2.320347786,-1.546898603,-0.145021737,-4.608468533,1.466330886,-0.145021737,1.095719814,0.306156993,0.41895169,0.032227054
1,1,0.23625,0.23625,-4.157289982,-1.127946854,-0.934584618,-2.336461306,0.241702914,-5.075760841,1.643579721,0.016113527,1.047379255,0.209475845,0.515632868,-0.128908217
1,1,0.243,0.243,-5.94589138,0.982925177,0.692881644,-3.44829464,0.8540169,-5.446372032,1.627466202,0.225589365,1.127946854,0.032227054,0.660654604,-0.193362325
1,1,0.24975,0.24975,-6.816021919,1.417990327,1.514671564,-4.141176224,1.305195689,-5.849209785,1.72414732,0.41895169,0.757335782,-0.145021737,0.805676341,-0.145021737
1,1,0.2565,0.2565,-6.703227043,0.805676341,1.643579721,-4.447333336,0.725108683,-6.542091846,1.885282755,0.563973427,0.290043473,-0.225589365,0.8540169,-0.048340581
1,1,0.26325,0.26325,-6.34872961,-0.032227054,1.353536248,-5.253009796,-0.902357459,-7.58947134,2.094758511,0.596200466,0.096681163,-0.145021737,0.773449302,0.064454108
1,1,0.27,0.27,-6.38095665,-0.789562821,1.127946854,-5.14021492,-2.272007227,-8.105104446,2.191439629,0.612313986,0.128908217,0.032227054,0.644541085,0.080567636
1,1,0.27675,0.27675,-6.654886723,-1.27296865,1.095719814,-4.898511887,-0.531746387,-8.185671806,1.998077393,0.628427565,0.096681163,0.273929954,0.547859907,0.032227054
1,1,0.2835,0.2835,-7.170519352,-1.305195689,1.369649768,-4.221744061,0.563973427,-8.201785088,1.563012123,0.531746387,0.048340581,0.515632868,0.515632868,-0.064454108
1,1,0.29025,0.29025,-7.895627975,-1.015152216,1.595239162,-2.14309907,-0.096681163,-7.782833576,1.031265736,0.467292309,0.112794682,0.676768124,0.483405828,-0.177248791
1,1,0.297,0.297,-8.185671806,-0.725108683,1.820828438,-1.530785084,-0.096681163,-7.251086712,0.676768124,0.370611101,0.161135271,0.741222203,0.43506521,-0.225589365
1,1,0.30375,0.30375,-8.217898369,-0.080567636,1.853055716,-1.772487879,-0.064454108,-7.847287655,0.402838171,0.338384062,0.241702914,0.708995163,0.386724651,-0.273929954
1,1,0.3105,0.3105,-7.798947334,0.531746387,1.836942196,-1.28908217,-0.43506521,-8.169557571,0.257816434,0.354497582,0.322270542,0.612313986,0.338384062,-0.322270542
1,1,0.31725,0.31725,-7.106065273,0.982925177,1.72414732,0.209475845,0.402838171,-8.185671806,0.161135271,0.43506521,0.483405828,0.499519348,0.322270542,-0.306156993
1,2,0.324,0.324,-6.880475998,1.192400932,1.7080338,1.031265736,0.531746387,-7.99230957,0.032227054,0.43506521,0.45117873,0.402838171,0.322270542,-0.273929954
1,2,0.33075,0.33075,-6.687113762,1.176287413,1.740260839,0.161135271,0.676768124,-7.218859673,-0.145021737,0.43506521,0.241702914,0.354497582,0.306156993,-0.193362325
1,2,0.3375,0.3375,-6.364843369,0.966811657,1.820828438,-0.660654604,0.789562821,-6.38095665,-0.41895169,0.257816434,0.177248791,0.338384062,0.241702914,-0.193362325
1,2,0.34425,0.34425,-5.929777622,0.692881644,1.933623314,-1.321309209,0.773449302,-5.54305315,-0.789562821,-0.386724651,0.161135271,0.306156993,0.161135271,-0.145021737
1,2,0.351,0.351,-5.559166908,0.467292309,1.981963873,-2.449255943,0.45117873,-3.335500002,-0.805676341,-0.660654604,0.322270542,0.209475845,0.177248791,0
1,2,0.35775,0.35775,-5.075760841,0.41895169,1.981963873,-1.675806761,-2.642618418,-2.014190912,-0.741222203,-0.096681163,0.8540169,0.096681163,0.209475845,0.225589365
1,2,0.3645,0.3645,-4.624582291,0.483405828,1.836942196,-2.51371026,-6.993270397,3.335500002,-1.095719814,0.467292309,1.369649768,-0.048340581,0.193362325,0.322270542
1,2,0.37125,0.37125,-4.125062943,0.467292309,1.611352682,-5.623620987,-7.976195812,-4.527901173,-1.627466202,0.805676341,2.207553148,-0.338384062,0.273929954,0.563973427
1,2,0.378,0.378,-3.577202797,0.322270542,1.240741491,-7.798947334,-2.481482983,-7.702265739,-2.014190912,1.466330886,3.029343128,-0.660654604,0.370611101,0.8540169
1,2,0.38475,0.38475,-2.900434732,0.209475845,0.87013042,-8.121217728,5.57528019,-6.235935211,-2.239780188,1.321309209,2.739299536,-1.176287413,0.386724651,1.321309209
1,2,0.3915,0.3915,-2.288120747,0.225589365,0.805676341,-6.123140335,7.379995346,-1.27296865,-2.159212589,0.290043473,1.981963873,-2.433142424,0.096681163,2.014190912
1,2,0.39825,0.39825,-1.836942196,0.064454108,0.757335782,-2.787640095,2.336461306,-5.381917953,-2.159212589,-0.402838171,1.369649768,-4.866284847,-0.45117873,2.578164339
1,2,0.405,0.405,-1.28908217,-0.306156993,0.547859907,1.466330886,-2.320347786,-3.835019588,-2.658731937,-1.25685513,0.499519348,-7.283313751,-1.047379255,2.852094173
1,2,0.41175,0.41175,-0.257816434,-0.660654604,0.273929954,1.788601398,1.321309209,-4.495674133,-3.303272963,-0.43506521,0.547859907,-6.638772964,-0.87013042,2.819867134
1,2,0.4185,0.4185,3.142137766,-0.966811657,0,-1.176287413,-1.015152216,-5.269123077,-3.883359909,0.628427565,0.725108683,-3.931700706,-0.209475845,2.707072496
1,2,0.42525,0.42525,6.751567841,-1.321309209,-0.225589365,-1.514671564,0.966811657,-1.579125643,-4.495674133,1.530785084,0.821789861,-1.836942196,0.145021737,2.852094173
1,2,0.432,0.432,5.607507229,-1.498558044,-0.128908217,-3.899473667,-1.063492775,-2.014190912,-5.381917953,2.51371026,0.87013042,-0.644541085,0.177248791,3.142137766
1,2,0.43875,0.43875,2.674845457,-0.628427565,-0.161135271,-4.801830769,-1.675806761,-4.30231142,-6.654886723,2.981002331,0.483405828,-0.757335782,-0.032227054,3.351613522
1,2,0.4455,0.4455,1.514671564,0.338384062,-0.193362325,-3.657770634,0.112794682,-2.852094173,-7.26720047,3.061570168,0.145021737,-2.191439629,-0.257816434,3.43218112
1,2,0.45225,0.45225,1.369649768,0.547859907,-0.306156993,-2.852094173,-0.886243939,-3.722224712,-5.623620987,2.626504898,0.096681163,-3.963927746,-0.483405828,3.174364805
1,2,0.459,0.459,1.482444406,-0.064454108,-0.499519348,-2.868207693,-1.224627972,-4.108949184,-3.980041027,1.981963873,0.161135271,-5.220782757,-0.580086946,2.755413055
1,2,0.46575,0.46575,1.240741491,-0.708995163,-0.467292309,-4.334538937,-0.676768124,-3.81890583,-3.689997673,1.337422729,0.177248791,-5.156328678,-0.467292309,2.207553148
1,2,0.4725,0.4725,0.805676341,-0.83790338,-0.483405828,-6.203708172,-0.531746387,-2.852094173,-3.673884392,0.918471098,0.177248791,-4.044495106,-0.193362325,1.885282755
1,2,0.47925,0.47925,0.386724651,-0.692881644,-0.386724651,-7.718379498,-0.902357459,-1.998077393,-3.528862238,0.547859907,0.193362325,-3.029343128,-0.016113527,1.788601398
