Time,RTx,RTy,RTz,LTx,LTy,LTz,Px,Py,Pz,Tx,Ty,Tz
0,0.392613888,0.458049506,-2.355683088,-3.369935751,0.130871281,0.883381188,0.65435648,0.948816895,0.196306944,0.81794554,0.261742562,0.098153472
0.00675,-0.16358912,0.130871281,-1.7994802,-3.108193159,-0.03271782,0.883381188,0.65435648,0.719792068,0.229024753,0.785227776,0.294460386,0.130871281
0.0135,-0.81794554,-0.03271782,-1.243277192,-2.879168272,-0.130871281,0.948816895,0.588920772,0.49076733,0.32717824,0.719792068,0.32717824,0.16358912
0.02025,-1.406866312,-0.588920772,-0.752509892,-2.781014919,-0.229024753,0.948816895,0.425331682,0.392613888,0.588920772,0.65435648,0.261742562,0.196306944
0.027,-1.96306932,-2.061222792,1.864915967,-2.650143623,-0.196306944,1.014252543,0.130871281,0.359896034,0.719792068,0.49076733,0.16358912,0.196306944
0.03375,-2.846450567,-1.734044552,1.96306932,-2.453836679,-0.065435641,1.079688072,-0.294460386,0.16358912,1.406866312,0.196306944,0.03271782,0.294460386
0.0405,-4.547777176,-2.781014919,-3.664396048,-2.355683088,0.130871281,1.079688072,-0.785227776,-0.098153472,2.486554384,-0.294460386,-0.03271782,0.588920772
0.04725,-5.88920784,-0.196306944,-5.627465248,-2.257529736,0.359896034,1.145123839,-1.537737727,-0.130871281,3.304500103,-0.916099012,0,1.014252543
0.054,-5.627465248,4.024291992,0.556203008,-1.995787144,0.49076733,1.112406015,-4.155163288,1.145123839,1.766762376,-1.63589108,0.261742562,1.406866312
0.06075,-2.94460392,7.230638504,0.16358912,-1.47230196,0.458049506,1.112406015,-4.809519768,1.210559368,0.098153472,-2.224812031,0.65435648,1.603173375
0.0675,0.49076733,1.112406015,-1.47230196,-1.341430664,0.458049506,1.145123839,-1.668608904,0.65435648,0.458049506,-2.061222792,1.210559368,1.406866312
0.07425,0.294460386,-1.897633791,-1.96306932,-0.621638596,0.458049506,1.210559368,-0.948816895,-0.196306944,0.621638596,-1.112406015,1.668608904,1.374148488
0.081,0.588920772,0.719792068,-0.588920772,1.145123839,-0.261742562,1.275995135,-0.883381188,-1.341430664,0.523485124,-0.229024753,1.864915967,1.766762376
0.08775,1.177841544,-0.687074244,0,3.533524752,-0.32717824,1.210559368,-1.014252543,-1.96306932,0.32717824,0.065435641,1.7994802,2.12665844
0.0945,0.65435648,-3.239064455,-0.523485124,5.562029839,-0.196306944,1.210559368,-1.112406015,-1.7994802,0.392613888,-0.130871281,1.63589108,2.093940496
0.10125,-0.03271782,-0.98153466,0.32717824,4.580495358,0.098153472,1.374148488,-1.374148488,-1.210559368,0.392613888,-0.556203008,1.505019784,2.093940496
0.108,-1.832198024,0,-0.196306944,1.668608904,-0.196306944,1.505019784,-1.96306932,-0.588920772,0.261742562,-1.014252543,1.537737727,2.159376144
0.11475,-0.687074244,-0.098153472,-0.523485124,0.32717824,-0.621638596,1.406866312,-2.617425919,0.03271782,0.16358912,-1.439584136,1.603173375,2.093940496
0.1215,0.719792068,-0.719792068,-0.850663364,0.392613888,-0.261742562,1.210559368,-2.715579271,0.49076733,0.03271782,-1.63589108,1.570455551,1.96306932
0.12825,0.130871281,-1.177841544,-0.719792068,0.916099012,0.458049506,1.112406015,-2.093940496,0.81794554,-0.065435641,-1.603173375,1.47230196,1.995787144
0.135,-0.883381188,-1.406866312,-0.425331682,1.079688072,0.883381188,1.046970248,-1.96306932,0.916099012,-0.065435641,-1.406866312,1.374148488,2.061222792
0.14175,-1.734044552,-1.308712959,-0.16358912,0.621638596,1.046970248,1.046970248,-2.093940496,0.719792068,-0.065435641,-1.145123839,1.243277192,2.061222792
0.1485,-2.650143623,-1.145123839,0.03271782,0.065435641,0.98153466,1.046970248,-1.96306932,0.523485124,-0.03271782,-0.948816895,1.145123839,1.995787144
0.15525,-3.468089104,-0.621638596,0.065435641,-0.392613888,0.916099012,0.948816895,-1.832198024,0.425331682,0,-0.81794554,1.046970248,1.897633791
0.162,-3.468089104,-0.458049506,0,-0.687074244,0.883381188,0.785227776,-1.63589108,0.32717824,0.03271782,-0.719792068,1.014252543,1.7994802
0.16875,-3.795267582,-0.392613888,-0.196306944,-0.850663364,0.883381188,0.621638596,-1.537737727,0.065435641,0.03271782,-0.621638596,0.98153466,1.63589108
0.1755,-4.187880993,0.03271782,-0.130871281,-0.948816895,0.81794554,0.392613888,-1.406866312,-0.196306944,0.130871281,-0.523485124,0.916099012,1.439584136
0.18225,-4.122445583,0.49076733,0.261742562,-0.948816895,0.81794554,0.16358912,-1.145123839,-0.098153472,0.16358912,-0.392613888,0.850663364,1.243277192
0.189,-3.991574287,0.98153466,0.883381188,-0.883381188,0.81794554,-0.065435641,-0.883381188,0.065435641,0.130871281,-0.261742562,0.752509892,1.046970248
0.19575,-4.286034584,1.439584136,1.766762376,-0.785227776,0.850663364,-0.32717824,-0.687074244,0.294460386,0.196306944,-0.098153472,0.65435648,0.785227776
0.2025,-4.318752289,1.47230196,2.879168272,-0.588920772,0.948816895,-0.49076733,-0.556203008,0.49076733,0.196306944,0.03271782,0.588920772,0.556203008
0.20925,-4.057010174,1.603173375,3.304500103,-0.16358912,0.98153466,-0.719792068,-0.392613888,0.687074244,0.261742562,0.16358912,0.523485124,0.32717824
0.216,-2.911885977,1.112406015,2.486554384,0.16358912,1.046970248,-0.785227776,-0.261742562,0.850663364,0.392613888,0.294460386,0.458049506,0.130871281
0.22275,-1.406866312,0.294460386,1.668608904,0.229024753,1.243277192,-0.883381188,-0.196306944,0.883381188,0.687074244,0.425331682,0.392613888,-0.03271782
0.2295,-0.556203008,-0.621638596,0.458049506,0.16358912,1.439584136,-0.883381188,-0.130871281,0.883381188,0.98153466,0.556203008,0.359896034,-0.098153472
0.23625,-0.556203008,-1.701326728,-0.850663364,-0.065435641,1.832198024,-0.883381188,0.03271782,0.850663364,1.275995135,0.588920772,0.32717824,-0.130871281
0.243,-0.359896034,-2.682861328,-1.341430664,-0.458049506,2.159376144,-0.785227776,0.16358912,0.785227776,1.275995135,0.588920772,0.294460386,-0.098153472
0.24975,-0.425331682,-1.832198024,-1.374148488,-0.785227776,2.290247679,-0.719792068,0.49076733,0.785227776,0.948816895,0.49076733,0.229024753,0
0.2565,-1.406866312,-0.556203008,-0.752509892,-0.916099012,2.12665844,-0.752509892,0.719792068,0.850663364,0.719792068,0.261742562,0.16358912,0.03271782
0.26325,-2.224812031,0.948816895,0.294460386,-2.159376144,2.093940496,-0.785227776,1.210559368,0.850663364,0.621638596,0.065435641,0.16358912,0
0.27,-3.173628807,1.766762376,1.014252543,-3.795267582,2.781014919,-1.537737727,1.439584136,0.916099012,0.65435648,-0.130871281,0.229024753,-0.098153472
0.27675,-3.631678104,1.537737727,1.374148488,-4.449624062,4.155163288,-2.617425919,1.930351615,0.916099012,0.523485124,-0.229024753,0.261742562,-0.16358912
0.2835,-3.566242456,1.505019784,1.014252543,-2.977321625,5.496593952,-3.729831934,1.930351615,1.014252543,0.359896034,-0.130871281,0.32717824,-0.130871281
0.29025,-3.369935751,1.210559368,0.785227776,-2.355683088,4.416906357,-3.827985287,1.96306932,1.112406015,0.294460386,0.16358912,0.392613888,-0.065435641
0.297,-3.304500103,1.47230196,0.687074244,-2.028505087,1.603173375,-3.631678104,2.028505087,1.112406015,0.229024753,0.458049506,0.458049506,-0.03271782
0.30375,-3.304500103,1.995787144,0.719792068,-1.668608904,0.556203008,-3.402653456,2.028505087,1.014252543,0.261742562,0.752509892,0.523485124,0.03271782
0.3105,-3.337217808,2.159376144,0.81794554,-2.453836679,0.785227776,-3.075475454,1.995787144,0.785227776,0.392613888,0.98153466,0.556203008,0.065435641
0.31725,-3.664396048,2.159376144,0.916099012,-1.537737727,3.075475454,-2.715579271,1.7994802,0.556203008,0.458049506,1.210559368,0.621638596,0.130871281
0.324,-3.86070323,1.930351615,1.046970248,-0.523485124,4.416906357,-2.748296976,1.537737727,0.32717824,0.523485124,1.374148488,0.588920772,0.130871281
0.33075,-3.664396048,1.570455551,1.145123839,0,4.351469994,-3.173628807,1.308712959,0.196306944,0.687074244,1.374148488,0.523485124,0.065435641
0.3375,-3.304500103,1.341430664,1.145123839,0.687074244,4.187880993,-3.239064455,1.210559368,0.130871281,0.523485124,1.210559368,0.425331682,0
0.34425,-3.010039568,1.308712959,1.112406015,1.734044552,3.631678104,-3.239064455,1.145123839,-0.03271782,0.523485124,1.046970248,0.359896034,-0.065435641
0.351,-2.879168272,1.406866312,1.079688072,1.570455551,2.322965384,-3.108193159,0.883381188,-0.32717824,0.425331682,0.850663364,0.32717824,-0.065435641
0.35775,-2.813732624,1.766762376,0.883381188,0.523485124,1.570455551,-2.94460392,0.621638596,-0.588920772,0.32717824,0.687074244,0.261742562,-0.03271782
0.3645,-2.682861328,1.96306932,0.883381188,-0.196306944,1.47230196,-2.846450567,0.458049506,-0.523485124,0.294460386,0.621638596,0.229024753,0.03271782
0.37125,-2.551990271,1.96306932,1.046970248,-0.621638596,1.537737727,-2.617425919,0.359896034,-0.294460386,0.359896034,0.556203008,0.196306944,0.098153472
0.378,-2.453836679,1.864915967,1.275995135,-1.145123839,1.570455551,-2.192094088,0.261742562,-0.03271782,0.425331682,0.49076733,0.229024753,0.196306944
0.38475,-2.421118736,1.603173375,1.537737727,-1.308712959,1.701326728,-0.752509892,0.098153472,0.16358912,0.556203008,0.425331682,0.32717824,0.229024753
0.3915,-2.453836679,1.47230196,1.832198024,-0.948816895,5.038544655,1.930351615,-0.130871281,0.458049506,0.81794554,0.294460386,0.458049506,0.294460386
0.39825,-2.421118736,1.308712959,1.96306932,-1.570455551,8.997401237,-1.406866312,-0.294460386,0.916099012,1.177841544,0.03271782,0.588920772,0.49076733
0.405,-2.257529736,0.785227776,1.930351615,-4.122445583,4.515059471,-2.028505087,-0.556203008,1.570455551,1.995787144,-0.556203008,0.556203008,0.850663364
0.41175,-1.766762376,0.425331682,1.995787144,-7.3615098,-3.435371399,-1.570455551,-0.850663364,1.603173375,2.061222792,-1.406866312,0.49076733,1.47230196
0.4185,-1.308712959,0.425331682,2.028505087,-5.791054249,-4.940391064,-2.290247679,-1.210559368,0.392613888,1.897633791,-2.159376144,0.359896034,1.930351615
0.42525,-1.079688072,0.916099012,2.093940496,-3.010039568,0.32717824,-4.089727879,-2.453836679,-0.850663364,1.570455551,-2.322965384,0.03271782,1.7994802
0.432,-0.556203008,1.308712959,2.224812031,-0.850663364,1.374148488,-1.96306932,-2.977321625,-0.948816895,0.948816895,-1.374148488,-0.261742562,1.864915967
0.43875,1.701326728,2.715579271,2.388401031,2.617425919,0.523485124,-1.079688072,-1.668608904,0.065435641,0.883381188,-0.294460386,-0.359896034,1.995787144
