Time,RTx,RTy,RTz,LTx,LTy,LTz,Px,Py,Pz,Tx,Ty,Tz
0,0.098153472,0.425331682,-3.042757511,-3.20634675,-0.229024753,1.570455551,0.32717824,0.16358912,0.588920772,0.65435648,0.523485124,0.294460386
0.00675,-0.16358912,-2.290247679,-0.948816895,-2.94460392,-0.196306944,1.47230196,0.261742562,-0.130871281,0.785227776,0.392613888,0.49076733,0.359896034
0.0135,-1.995787144,-2.224812031,-0.130871281,-2.682861328,-0.065435641,1.308712959,0.16358912,-0.687074244,1.864915967,-0.065435641,0.556203008,0.65435648
0.02025,-5.300287247,-1.308712959,-2.781014919,-2.486554384,0.03271782,1.145123839,0.03271782,-1.112406015,2.486554384,-0.523485124,0.752509892,1.046970248
0.027,-5.496593952,1.930351615,-2.322965384,-2.224812031,0.196306944,0.916099012,-0.098153472,-0.425331682,2.290247679,-0.883381188,0.948816895,1.406866312
0.03375,-2.159376144,1.668608904,-1.210559368,-1.864915967,0.32717824,0.719792068,-0.16358912,0.49076733,1.766762376,-1.341430664,1.112406015,1.701326728
0.0405,-1.63589108,1.341430664,-1.47230196,-1.439584136,0.425331682,0.523485124,-0.392613888,1.145123839,1.046970248,-2.093940496,1.341430664,1.7994802
0.04725,-0.196306944,0.81794554,-1.995787144,-1.079688072,0.425331682,0.425331682,-1.046970248,1.406866312,0.556203008,-2.421118736,1.570455551,1.7994802
0.054,1.766762376,0.196306944,-1.210559368,-0.752509892,0.392613888,0.359896034,-2.028505087,0.719792068,0.523485124,-1.897633791,1.7994802,1.7994802
0.06075,2.322965384,0.261742562,-1.668608904,-0.458049506,0.359896034,0.261742562,-2.977321625,-0.458049506,0.752509892,-1.046970248,1.864915967,1.864915967
0.0675,1.537737727,0.392613888,-1.47230196,0.359896034,0.556203008,0.196306944,-3.042757511,-1.439584136,0.98153466,-0.359896034,1.734044552,1.897633791
0.07425,-0.16358912,0.03271782,-1.243277192,1.832198024,0.916099012,0.196306944,-2.453836679,-1.701326728,1.046970248,-0.065435641,1.341430664,1.930351615
0.081,-1.570455551,-0.130871281,-1.439584136,3.27178216,1.046970248,0.294460386,-1.832198024,-1.341430664,1.046970248,-0.261742562,0.883381188,1.995787144
0.08775,-2.551990271,0.294460386,-1.505019784,3.795267582,1.112406015,0.392613888,-1.864915967,-0.719792068,0.785227776,-0.850663364,0.588920772,2.061222792
0.0945,-1.505019784,0.752509892,-1.864915967,2.748296976,1.079688072,0.49076733,-1.832198024,-0.098153472,0.523485124,-1.734044552,0.588920772,1.766762376
0.10125,-0.523485124,0.81794554,-1.63589108,1.63589108,1.046970248,0.523485124,-1.603173375,0.32717824,0.359896034,-2.650143623,0.948816895,1.505019784
0.108,-0.65435648,0.196306944,-1.603173375,1.046970248,0.916099012,0.556203008,-1.570455551,0.359896034,0.261742562,-3.042757511,1.374148488,1.243277192
0.11475,-1.930351615,-0.16358912,-1.275995135,0.785227776,0.752509892,0.556203008,-1.63589108,0.196306944,0.229024753,-2.551990271,1.406866312,1.079688072
0.1215,-3.631678104,-0.392613888,-1.177841544,0.621638596,0.65435648,0.621638596,-1.63589108,0.03271782,0.294460386,-1.832198024,1.243277192,1.046970248
