"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",1,-3.697113752,-5.823771954,-6.576282501,-4.515059471,-7.927855492,-3.991574287,-5.463876247,-5.758336544,-4.318752289,-7.623252869,-7.296073914,-5.758336544,-6.118233204,-4.613213062,-4.907673359
"PRE",2,-4.089727879,-5.758336544,-4.384188175,-6.052796841,-7.960082054,-3.958856583,-5.660182953,-5.758336544,-4.547777176,-7.132484913,-7.197920799,-6.2491045,-5.88920784,-4.515059471,-5.136698246
"PRE",3,-4.220599174,-5.333004951,-4.482341766,-5.398440838,-8.07287693,-3.958856583,-5.365722656,-5.692901134,-4.286034584,-7.328792095,-7.394227505,-6.674435616,-5.88920784,-4.318752289,-5.169415951
"PRE",4,-3.926138639,-5.88920784,-5.365722656,-5.267569542,-8.024536133,-3.827985287,-5.496593952,-5.562029839,-4.253316879,-7.590535164,-6.707153797,-5.88920784,-6.2491045,-4.449624062,-5.07126236
"PRE",5,-4.776802063,-5.692901134,-4.744084358,-4.842237473,-7.927855492,-3.86070323,-5.169415951,-5.398440838,-3.991574287,-7.296073914,-7.132484913,-5.856490135,-6.707153797,-4.155163288,-5.07126236
"PRE",6,-3.893420935,-5.921925545,-5.88920784,-5.202133656,-7.815060616,-3.86070323,-5.234851837,-5.529312134,-3.697113752,-7.655970573,-7.263356209,-6.314539909,-5.758336544,-4.515059471,-5.136698246
"PRE",7,-4.351469994,-5.88920784,-4.580495358,-4.678648472,-7.686152458,-3.958856583,-5.300287247,-5.692901134,-3.762549639,-7.263356209,-7.3615098,-6.47812891,-6.150950909,-4.515059471,-5.07126236
"PRE",8,-4.384188175,-5.562029839,-4.351469994,-6.020079136,-8.15344429,-3.958856583,-5.365722656,-5.333004951,-4.187880993,-7.590535164,-7.099767208,-5.95464325,-6.445411205,-4.482341766,-5.234851837
"PRE",9,-4.351469994,-5.692901134,-4.384188175,-7.492381573,-7.927855492,-4.351469994,-5.365722656,-5.692901134,-3.697113752,-7.426946163,-7.165203094,-6.150950909,-6.2491045,-5.005826473,-5.496593952
"PRE",10,-4.122445583,-5.725618839,-4.580495358,-4.155163288,-8.008422852,-4.089727879,-5.136698246,-5.987361431,-3.86070323,-7.590535164,-6.805306911,-6.183668613,-6.052796841,-4.318752289,-5.005826473
