Treatment,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,,,,,,,,,,,,,,,,
PRE,1,-4.874955654,-3.795267582,-4.089727879,-5.365722656,-7.492790222,-4.089727879,-4.809519768,-4.678648472,-5.038544655,-6.54356432,-6.183668613,-5.88920784,-5.463876247,-4.678648472,-4.286034584,,,,,,,,,,,,,,,,
PRE,2,-5.529312134,-3.697113752,-3.893420935,-5.365722656,-7.525017262,-3.991574287,-4.449624062,-4.776802063,-5.725618839,-6.54356432,-5.791054249,-6.150950909,-5.660182953,-4.678648472,-4.089727879,,,,,,,,,,,,,,,,
PRE,3,-5.921925545,-3.631678104,-3.729831934,-5.95464325,-7.734493256,-3.958856583,-4.384188175,-4.907673359,-5.431158543,-6.445411205,-5.856490135,-6.150950909,-5.660182953,-4.547777176,-4.089727879,,,,,,,,,,,,,,,,
PRE,4,-5.202133656,-3.86070323,-3.991574287,-5.95464325,-7.815060616,-4.318752289,-4.547777176,-4.776802063,-5.758336544,-6.54356432,-5.660182953,-5.987361431,-5.398440838,-4.645930767,-4.580495358,,,,,,,,,,,,,,,,
PRE,5,-5.463876247,-3.86070323,-4.286034584,-5.562029839,-7.62169838,-3.893420935,-4.547777176,-4.842237473,-5.791054249,-6.54356432,-5.660182953,-6.2491045,-5.365722656,-4.645930767,-4.580495358,,,,,,,,,,,,,,,,
PRE,6,-5.005826473,-4.253316879,-4.286034584,-5.562029839,-7.26720047,-4.187880993,-4.449624062,-4.842237473,-5.529312134,-6.445411205,-6.2491045,-6.2491045,-5.562029839,-4.580495358,-4.580495358,,,,,,,,,,,,,,,,
PRE,7,-4.940391064,-4.253316879,-4.024291992,-5.562029839,-7.460563183,-4.122445583,-4.645930767,-4.842237473,-5.921925545,-6.445411205,-6.085515022,-5.529312134,-5.562029839,-4.482341766,-4.384188175,,,,,,,,,,,,,,,,
PRE,8,-5.005826473,-3.5989604,-4.187880993,-5.856490135,-7.798947334,-3.795267582,-4.645930767,-4.874955654,-5.365722656,-6.609000206,-6.216386318,-6.150950909,-5.627465248,-4.482341766,-4.384188175,,,,,,,,,,,,,,,,
PRE,9,-4.940391064,-3.533524752,-4.449624062,-5.856490135,-7.702265739,-4.155163288,-4.482341766,-5.234851837,-5.758336544,-6.609000206,-6.281822205,-6.2491045,-5.758336544,-4.678648472,-4.220599174,,,,,,,,,,,,,,,,
PRE,10,-5.300287247,-3.795267582,-4.449624062,-5.300287247,-8.056763649,-4.057010174,-4.711366177,-5.234851837,-6.020079136,-6.47812891,-6.052796841,-5.88920784,-5.758336544,-4.678648472,-4.351469994,,,,,,,,,,,,,,,,
