"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",1,1.439584136,1.406866312,1.439584136,1.406866312,0.660654604,1.63589108,1.079688072,0.81794554,1.374148488,2.061222792,1.406866312,1.275995135,1.832198024,1.046970248,1.046970248
"PRE",2,1.243277192,1.308712959,1.046970248,1.406866312,0.563973427,1.7994802,1.341430664,0.81794554,1.832198024,2.061222792,1.308712959,1.47230196,1.766762376,1.243277192,1.046970248
"PRE",3,1.63589108,1.243277192,1.341430664,1.668608904,0.692881644,2.061222792,0.948816895,0.883381188,1.505019784,1.96306932,1.406866312,1.341430664,1.766762376,1.177841544,1.112406015
"PRE",4,1.275995135,1.243277192,1.439584136,1.570455551,0.531746387,1.603173375,0.948816895,0.81794554,1.275995135,1.96306932,1.406866312,1.570455551,1.734044552,1.046970248,1.014252543
"PRE",5,1.308712959,1.210559368,1.243277192,1.603173375,0.692881644,2.453836679,0.948816895,0.81794554,1.63589108,2.159376144,1.275995135,1.47230196,1.7994802,1.112406015,1.014252543
"PRE",6,1.734044552,1.243277192,1.177841544,1.406866312,0.644541085,1.734044552,0.948816895,0.883381188,1.406866312,2.028505087,1.374148488,1.374148488,1.701326728,1.177841544,0.883381188
"PRE",7,1.537737727,1.341430664,1.177841544,1.63589108,0.660654604,1.7994802,1.014252543,0.81794554,1.47230196,1.96306932,1.537737727,1.308712959,1.832198024,0.98153466,1.046970248
"PRE",8,1.537737727,1.439584136,1.439584136,1.374148488,0.45117873,2.061222792,1.014252543,0.81794554,1.374148488,2.159376144,1.537737727,1.439584136,1.734044552,1.177841544,0.948816895
"PRE",9,1.766762376,1.308712959,1.046970248,1.537737727,0.547859907,2.322965384,0.916099012,0.850663364,1.177841544,1.864915967,1.406866312,1.439584136,1.897633791,1.046970248,1.079688072
"PRE",10,1.570455551,1.374148488,1.177841544,1.341430664,0.41895169,2.028505087,0.916099012,0.916099012,1.210559368,2.061222792,1.406866312,1.505019784,1.832198024,1.079688072,1.046970248
"PRE",11,1.570455551,1.145123839,1.505019784,1.505019784,0.596200466,2.748296976,0.948816895,0.916099012,1.341430664,2.061222792,1.374148488,1.505019784,1.864915967,1.112406015,1.046970248
