Treatment,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
PRE,1,-969.4291069,-339.3001754,-576.8103468,-218.121553,-651.7108505,-770.6961011,-315.0644655,-445.9373532,-1173.009135,-581.6574571,-945.1933788,-368.3830585,-445.9373841,-373.2302041,-683.4475019
PRE,2,-1042.136221,-368.3830585,-315.0644456,-290.828733,-759.1356931,-436.2430884,-227.8158531,-489.5616903,-911.2633771,-591.3517483,-862.7918767,-426.5487618,-654.3646414,-252.0515558,-533.1860229
PRE,3,-654.3646414,-237.5101179,-276.2872961,-407.1602147,-809.2671992,-475.0202534,-247.2044091,-392.6187955,-761.0017877,-620.4345868,-634.9760589,-421.7016515,-523.4916898,-305.3701566,-392.618769
PRE,4,-940.3461802,-232.6629899,-266.5930004,-353.8416481,-945.3387255,-431.3959229,-179.3443869,-373.2301953,-998.5119277,-547.7274201,-683.4474975,-368.3830673,-712.5303801,-305.3701566,-615.58745
PRE,5,-741.6132428,-256.8987004,-402.3130779,-378.0773409,-709.0040457,-412.0073515,-237.5101355,-285.9815741,-882.1804504,-479.8673902,-848.2503957,-334.4530303,-634.9760236,-266.5930137,-402.3130337
PRE,6,-1022.747673,-300.5230104,-315.0644478,-285.9815741,-823.5905068,-479.8673968,-242.3572635,-431.3959251,-639.8231604,-659.2117694,-799.7789748,-353.8415775,-693.1417711,-542.8803098,-693.1418064
PRE,7,-615.5874411,-508.9502551,-494.4088359,-203.5801029,-694.6807734,-625.2817854,-324.7587214,-378.0773586,-824.0147206,-494.4088535,-848.2504399,-353.8416128,-416.8544971,-290.8287197,-402.3130508
PRE,8,-1560.780749,-285.9815746,-247.2043914,-344.1473216,-711.3912637,-499.2559594,-242.3572834,-479.8673814,-998.5119277,-576.8103468,-988.8176718,-455.6316444,-596.1989094,-271.440156,-445.937415
PRE,9,-1517.156474,-368.3830585,-319.9116288,-402.3130337,-706.6167837,-504.1031006,-310.2173066,-339.3001892,-998.5119277,-407.1601617,-610.7403838,-528.3388199,-504.1031183,-513.7974007,-494.4088182
PRE,10,-1163.314914,-237.5101311,-247.2044179,-339.3001715,-697.0679737,-586.5046049,-329.6058847,-470.1730724,-1114.843458,-634.9760501,-683.4474799,-455.6316179,-504.1031095,-290.828733,-344.1473348
