Treatment,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
PRE,1,130.8729362,203.5801162,121.1786323,237.510109,171.8797799,276.2872917,121.178645,295.6758742,140.5672231,106.6371949,145.414351,106.6371949,126.0257774,106.6372037,208.427253
PRE,2,126.0258039,213.2744074,121.1786362,300.5230198,195.7519416,242.3572811,96.94291687,237.5101179,126.0257509,116.3315126,121.1786406,111.4843361,126.0257774,189.038644,271.4401328
PRE,3,155.1086423,189.0386528,121.1786317,324.7587302,193.3647237,208.4272265,116.3314856,179.3443792,135.7200774,111.4843582,121.1786229,111.4843405,87.24861238,159.9558056,290.8287153
PRE,4,121.1786406,150.2615055,116.3315038,324.7587302,179.0414514,261.7458371,111.4843399,189.0386705,140.5671877,126.0257774,121.1786229,116.3314773,63.0128931,130.8729318,159.9557967
PRE,5,150.2615143,145.414351,121.1786362,290.8287109,190.9775058,179.3443704,121.1786323,218.1215332,145.4143687,126.0257774,130.8729318,106.6371949,92.09576684,169.6500791,222.9686898
PRE,6,130.8729318,145.414351,126.0257774,329.6059024,155.1692367,281.1344274,121.1786406,208.4272397,121.1786317,130.8729142,116.3314994,121.1786273,87.2486168,179.344388,184.1915248
PRE,7,184.191516,169.6500836,155.1086489,329.6059024,138.4587111,310.2172857,121.178645,189.0386611,150.2614967,130.8729142,116.3314773,140.5672142,87.24860797,150.2614967,140.5672242
PRE,8,208.4272265,218.121531,111.4843317,261.7458592,233.947464,426.5487707,116.3314872,140.5672148,164.8029379,140.5672231,121.1786229,101.7900669,77.55433438,121.1786406,261.7458548
PRE,9,159.9557879,159.9558045,179.3443792,237.510109,188.5903231,218.1215354,121.1786251,164.8029379,116.3314596,140.5672054,135.7200642,145.4143775,77.55433438,145.4143687,184.191516
PRE,10,203.5801162,184.1915204,111.4843493,281.1344196,195.7519416,203.5801162,145.4143709,261.7458416,130.8728965,116.3315038,145.4143599,96.94290363,77.55433438,169.6500968,213.2743897
PRE,11,179.344388,130.8729318,155.1086511,247.2044091,159.9436549,256.8987004,101.7900493,198.7329485,145.414351,145.414351,135.7200598,87.24863004,92.09576684,155.1086423,174.4972336
PRE,12,174.4972424,126.0257685,135.7200686,222.968681,193.3647414,203.5801073,150.2614978,261.7458548,159.9557702,101.7900493,155.1086599,87.24860355,111.4843361,174.4972424,189.0386705
PRE,13,184.1915337,150.2614972,126.0257785,295.6758742,181.4286517,324.7587567,155.108661,169.6500791,106.6372037,121.1786317,130.8729495,140.5672142,111.4843361,155.1086423,179.3443704
PRE,14,159.9558056,135.7200774,135.7200598,295.6758742,212.4624849,208.4272794,130.8729219,111.4843405,159.9557879,121.1786317,150.2615231,111.4843499,96.94290804,116.331495,164.8029335
PRE,15,150.2615231,145.414351,135.7200598,261.7458548,212.4624672,290.8287197,121.1786251,174.4972292,184.1915204,130.872923,189.0386616,111.4843405,77.55432997,159.9558232,189.0386749
PRE,16,174.4972248,164.802933,155.1086467,271.4401549,186.2030875,247.2043914,101.7900493,208.4272618,121.1786053,126.0257685,135.7200774,82.4014778,87.24860355,164.8029688,213.274403
PRE,17,193.8858073,184.1915204,150.2615055,271.4401549,167.1053264,252.0515569,96.94290473,222.9686942,130.8729142,106.6372037,130.8729407,111.4843493,121.178645,179.3443527,227.8158266
PRE,18,155.1086953,145.414351,150.2615055,203.5801073,174.2669802,290.8287197,106.6372026,213.2743942,169.6500791,101.7900493,121.1786317,72.70719317,126.0257685,121.1786406,159.9558067
PRE,19,198.7329529,189.0386793,135.7200774,203.5801073,155.1692367,329.6059024,116.331495,174.4972292,155.1086467,111.4843317,145.4143599,92.09576242,126.0257685,189.038644,213.2743986
PRE,20,174.4972513,179.344388,184.191516,387.7716233,148.0075829,324.7587302,126.0257768,126.0257796,184.1915337,121.1786317,145.4143599,92.09575801,72.70716668,145.414351,193.8858161
PRE,21,155.1086599,126.0257862,184.191516,387.7716233,193.3647237,261.7458681,111.4843383,213.274403,116.331495,121.1786317,130.8729495,101.7900515,82.40147559,150.2615143,198.7329529
PRE,22,198.7329705,184.191516,126.0257818,324.7587391,186.2030875,300.5230198,135.7200686,130.8729296,121.1786406,121.1786406,130.8729142,116.3314861,72.70717551,135.7200598,203.5801162
PRE,23,189.0386705,155.1086489,130.8729186,227.8158354,219.624121,247.2044091,140.5672231,169.6500836,155.1086423,145.4143599,111.4843361,135.7200642,92.09576684,164.8029512,256.8986959
