Treatment,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,
PRE,1,673.7532239,247.2044091,353.8416481,717.3775169,809.2672345,358.6887673,513.7974007,315.0644346,911.2633595,1308.729283,945.19337,397.4658704,596.198841,285.9815763,484.714527,
PRE,2,693.1417888,392.6187999,353.8416128,693.1418241,816.4288707,290.8287374,310.2173028,363.5359129,654.3646238,1148.77346,794.9318314,441.0902694,925.804761,271.4401372,358.6887606,
PRE,3,668.9060253,392.6187999,353.8416128,678.600374,935.7898206,353.8416128,489.5616638,290.8287021,634.9760236,1245.716372,1046.983384,426.5488148,1046.983437,271.4401361,247.2044091,
PRE,4,683.4474799,227.8158266,305.3701742,630.1289133,675.5829946,358.6887496,445.9373438,305.3701654,761.001801,1245.716372,1022.747656,421.701656,1046.983437,363.5359041,412.0073603,
PRE,5,756.1546686,227.8158266,460.4788347,891.874724,737.6506544,319.9116111,329.6058759,407.1602323,542.8802391,799.7790101,697.9888814,538.0331244,809.4732661,470.1730813,392.618791,
PRE,6,731.9189019,310.2173022,460.4788347,891.874724,680.3574172,334.4530215,465.3259798,412.0073603,809.4732837,993.6648306,945.1933082,392.618791,702.8360977,436.2430619,504.103136,
PRE,7,717.3775345,310.2173022,445.9373841,717.3775169,651.7107931,445.9373752,319.9116023,421.7016427,659.2117341,998.5119277,804.6261381,436.2431061,683.4475063,436.2430707,392.618769,
PRE,8,358.6887629,169.6500836,426.5487624,673.7532239,868.9477183,334.4530568,295.6758565,397.4659499,862.7918458,1017.90051,1260.257791,470.1730989,683.4475063,407.160197,484.7145446,
PRE,9,455.6316715,271.440135,426.5487624,896.7218519,938.1770915,319.9115957,431.395934,310.2173022,571.9631394,1017.90051,731.9189891,412.0074309,765.8489378,295.6758653,460.4788165,
PRE,10,460.4788077,271.440135,416.8545412,862.7918679,940.5643624,339.3001583,508.9502551,407.1602147,853.0975634,1197.244881,1085.760549,324.7587302,697.9889388,412.0073603,344.1473392,
PRE,11,397.4659058,184.1915248,533.1860053,950.0405068,568.158099,315.0644478,499.2559594,412.0073691,853.0975678,1197.244881,1032.441929,290.8287021,668.906043,392.6187601,436.2430707,
PRE,12,339.3001671,222.9686854,533.1860053,950.0405068,783.0078372,324.7587612,513.7973985,445.9373797,872.4861592,1299.034956,887.0275607,484.7145402,959.7347627,402.3130668,465.3259798,
PRE,13,489.5616748,222.9686854,518.6445287,673.7532239,835.5266495,344.1473216,334.453048,402.3130602,935.4990611,1299.034956,1221.480662,562.2688923,765.8489201,324.7587479,508.9502551,
PRE,14,315.0644567,290.8287285,518.6445287,1042.136221,962.0492532,319.9116089,470.1731078,315.0644302,785.2375114,1216.633463,775.5432732,290.8287374,504.1031095,397.4659234,489.5616858,
PRE,15,436.243084,290.8287285,431.3959417,1042.136221,646.936344,348.9944849,373.2301776,348.9944672,867.6390312,1076.066258,872.4861945,378.0773498,833.7089765,421.7016604,455.6316532,
PRE,16,683.4474799,256.8987004,431.3959417,935.4990699,706.6167925,373.2302108,392.6187557,387.7716123,824.0147029,1105.149149,906.4161962,305.3701301,664.0589062,402.3130779,499.2559815,
PRE,17,591.351713,261.7458504,407.16025,969.4291069,582.481495,353.8415957,513.7973836,363.5358952,993.6647909,1105.149149,1017.900528,445.9373267,843.4032854,305.3701395,489.5616682,
PRE,18,305.3701301,179.344388,470.1730857,969.4291069,661.259687,373.2301953,436.2430796,412.0073603,920.957611,896.7218696,1129.384877,445.9373797,843.4032854,470.1730901,319.9115747,
PRE,19,552.5745657,184.191516,470.1730857,935.4990258,742.4251322,368.3830497,353.8415952,295.675883,993.6647821,751.3075186,857.9447223,538.0331465,518.644564,339.3001759,319.9115935,
PRE,20,649.5174782,252.0515569,523.4917118,761.0017745,720.9401354,348.9944628,479.8674167,373.2302218,857.9446693,833.7089765,819.1675926,334.453048,1066.371966,382.9244689,431.3959428,
PRE,21,363.5358952,189.038697,523.4917118,761.0018231,608.740857,378.07731,484.7145446,445.9373984,809.4732638,901.5690506,678.6003607,470.173068,1066.371966,232.6629767,334.452995,
PRE,22,412.0073603,266.5929872,387.7716366,761.0018231,1028.891356,339.3001936,479.8673814,344.1473216,857.9447399,1129.384877,1163.314844,455.6316886,998.5119277,373.2301942,407.1602147,
PRE,23,295.6758664,266.5929872,315.0644832,930.6519243,1021.729737,392.6187999,465.3259445,382.9245042,601.0460219,1129.384877,993.6647821,450.78449,964.581926,513.7974007,416.8545059,
PRE,24,542.8802921,290.8287368,436.2431083,930.6519243,716.1657172,353.8415863,475.0202528,470.1730857,547.7274024,1066.372002,993.6647821,586.5045674,1332.964923,494.4088006,533.185992,
PRE,25,504.1031404,310.2172845,436.2431083,930.6519243,754.3612219,426.5487817,295.6758609,499.2559638,1013.053329,945.1933082,1003.359091,334.4530127,1332.964923,465.3259577,416.8545059,
PRE,26,513.797436,310.2172845,508.9502904,930.6519243,1117.21849,387.771641,281.1344461,373.2301953,959.7347892,945.1933082,1003.359109,426.5488148,1429.907835,460.4788165,368.3830409,
PRE,27,494.4088094,281.1344329,508.9502904,804.6261381,892.819933,363.5359041,402.3130514,378.0773321,494.4088271,1066.371966,940.3462155,421.7015809,1429.907835,436.2430884,421.701625,
PRE,28,504.103136,281.1344329,484.7145711,702.8360977,814.0417057,378.0773409,533.1859788,378.0773387,882.1804504,1100.301968,887.027596,373.2301953,877.3333048,329.6058648,508.9502728,
PRE,29,475.0202357,310.2173022,484.7145711,993.664835,773.4589301,368.3830673,445.9373973,329.6058847,853.0975855,1129.384895,828.8618485,659.2117341,853.097559,300.5230021,479.867399,
PRE,30,358.6887584,465.3259357,460.4788336,993.664835,1040.82741,339.3001671,465.3259445,489.561672,702.836027,1129.384895,882.1804504,358.6887673,523.491692,242.3572635,484.7145446,
PRE,31,436.2430707,465.3259357,460.4788336,916.1105051,1090.959093,373.23016,528.3388288,402.3130646,576.8102585,954.8876701,906.4161962,538.0331112,571.9631305,416.8545059,528.3388111,
PRE,32,363.5358996,305.3701544,426.5487966,799.7789748,833.1394316,441.0902473,504.1031271,426.5487624,838.5561552,862.7918856,630.1288957,392.6187866,557.4216937,261.7458813,368.3830497,
PRE,33,387.7716498,300.5230286,450.78449,925.804761,701.8423566,441.0901976,479.867399,319.9115935,862.7918856,1153.620552,950.0405068,518.6445441,630.1289133,416.8545147,450.7845209,
PRE,34,436.2430619,300.5230286,450.78449,925.804761,778.2333307,353.8416305,513.7973786,445.9373609,872.4861244,1153.620552,1153.620623,290.8287197,1017.900563,339.3001583,460.4788033,
PRE,35,586.5045851,310.2173243,431.3959295,862.7919209,756.7483692,290.8287374,436.2430707,358.6887408,455.6316356,983.9705438,935.4990876,412.0073956,887.027649,513.7974095,460.478843,
PRE,36,392.618769,324.7587302,392.6187778,862.7919209,957.274814,339.3001759,528.3388685,412.0073691,843.4032501,983.9705438,1255.410663,334.4530281,887.0276313,436.2430884,436.2430619,
PRE,37,625.2817324,324.7587302,455.6316797,804.6261558,1000.244776,285.9815741,610.7403485,382.9244998,601.046044,1182.703461,1139.079168,310.2172845,727.0718059,421.7016295,436.2430619,
PRE,38,591.3517483,339.3001671,576.8102894,940.3461802,580.094277,358.6887496,426.5488148,NaN,838.5561575,1182.703461,954.8876524,392.6188131,775.543229,431.3959428,475.0202357,
PRE,39,310.2172934,339.3001671,576.8102894,940.3461802,864.1732824,324.7587567,431.3959251,NaN,790.0846659,964.5819436,1013.053382,455.6316532,363.5358511,315.0644434,475.0202357,
PRE,40,285.9815829,344.1473304,339.3001583,717.3774816,642.1619081,373.2301821,499.2559638,NaN,862.7918502,843.4033296,1303.88212,465.3259616,625.2817412,504.1031448,436.2430796,
PRE,41,489.5617079,344.1473304,339.3001583,814.3204293,704.2296099,334.4530127,382.9245042,NaN,775.5432644,857.9447223,1022.747673,387.771641,809.4732263,344.1473127,407.1602147,
PRE,42,538.0331465,373.2301821,630.128931,824.0146853,723.3273534,315.0644478,305.3701698,NaN,634.9760236,857.9447223,974.2762084,358.6887761,809.4732263,222.9686898,392.6187778,
PRE,43,484.714527,450.7845253,630.128931,824.0146853,1071.861349,334.4530215,368.3830497,NaN,848.250431,761.0018451,756.1546819,470.1731078,475.0202534,508.9502728,441.0902164,
PRE,44,508.9502463,450.7845253,475.0202534,814.3204448,828.365084,344.1473392,518.6445287,NaN,804.6261381,761.0018451,1109.996295,290.8287021,499.2559462,329.6058659,523.491692,
PRE,45,310.217311,407.1602147,392.6187601,814.3204448,706.6168631,392.6187955,504.1031271,NaN,702.8360712,775.5432644,964.5819613,436.2430536,421.701625,479.8673814,252.0515636,
PRE,46,271.4401461,416.8545103,392.6187601,862.7918856,899.9815515,363.5359217,518.6445817,NaN,940.3462067,819.1676103,954.8876524,329.6058317,1255.410663,324.7587214,421.7016692,
PRE,47,523.4916743,475.0202159,416.8544971,862.7918856,931.01542,382.9244711,392.6187949,NaN,824.0146676,819.1676103,930.651889,300.523011,688.2946255,261.745846,363.5359041,
PRE,48,252.0515812,475.0202159,455.6316886,518.6445463,938.1770738,392.6187557,470.1731078,NaN,465.3259533,770.6961011,1027.594801,334.4530127,1105.149131,266.5929916,542.8802745,
PRE,49,NaN,NaN,455.6316886,NaN,685.1319017,363.5359217,NaN,NaN,NaN,751.3075186,1008.206219,305.3701919,1105.149131,353.8416128,339.3001848,
POST,1,534.7370656,237.5101355,407.1602191,741.6131832,1324.906557,407.1602147,601.0460219,334.4530392,785.2375644,1056.677684,1250.563535,562.2689276,872.4862121,445.9373576,504.1031095,
POST,2,673.195759,285.9815785,407.1602191,712.5303624,1033.665849,344.1473216,625.2817412,421.7016383,673.7531886,1236.022081,717.3774992,305.3701566,882.1804681,227.8158443,601.0460396,
POST,3,627.8386115,344.1473017,344.1473127,838.5561575,603.9664211,368.383032,329.6059024,373.2301644,731.918967,1236.022081,746.4603906,353.8416128,1032.442,416.854486,601.0460396,
POST,4,315.1128916,344.1473017,266.5929916,838.5561575,1241.353823,392.6187646,397.4659234,465.3259621,683.4475019,1192.397717,979.1233275,494.4088889,731.9189184,324.7587567,601.0460396,
POST,5,568.1581167,261.745846,324.7587391,639.8231869,809.2672168,324.7587214,513.7974184,397.4659234,649.5174517,1192.397717,804.6261822,426.5487817,906.4161609,203.5800996,625.28175,
POST,6,403.4400436,261.745846,373.2301865,639.8231869,587.2558779,315.0644296,620.4345868,334.4530215,717.3775158,1076.066258,983.970557,450.7845076,1124.537714,421.7016427,625.28175,
POST,7,792.5567222,334.4530215,373.2301865,998.5118835,1043.214698,368.3830409,426.5487927,334.4530392,799.7789483,833.7090207,979.1233805,436.2430354,1197.244898,339.3001671,557.4217113,
POST,8,718.5529528,334.4530215,305.3701566,1119.690621,816.4288442,382.9244777,455.6316709,295.6758653,959.7347539,959.7347809,848.2505105,329.6058847,552.5745834,281.1344461,455.6316709,
POST,9,539.5115014,353.841604,329.6058847,1119.690621,857.0116286,334.4530127,445.9373708,489.5616682,780.3903482,1022.747682,1008.206201,596.1988586,877.3332695,276.2872828,475.0202269,
POST,10,630.2258482,353.841604,329.6058847,828.8618662,902.3688048,407.1602058,615.5874411,358.6887739,741.6131743,1022.747682,1076.066222,285.9815388,1255.410699,252.0515591,562.2688746,
POST,11,484.6054535,353.8416216,324.7587214,790.0846747,997.8575223,344.1473216,605.8931499,256.8987357,882.1804813,1177.856298,1134.231952,436.2431061,421.7016648,310.2173022,562.2688746,
POST,12,773.4589124,353.8416216,324.7587214,741.6132185,1033.665862,363.5358864,538.0331288,344.1473481,901.5690329,1177.856298,1100.302039,416.8545236,668.906096,300.5230021,373.2301942,
POST,13,630.2257655,285.9815962,319.9115935,741.6132185,833.1394492,436.2430619,479.867399,339.3001936,731.9189184,1139.079186,969.4290893,484.7145446,1056.67764,368.3830491,576.8102938,
POST,14,286.466294,348.994476,348.994465,707.6832521,1021.729755,363.5359195,334.4530485,407.1601882,547.7274289,1139.079186,1013.053382,484.7144917,1153.620641,344.1473216,576.8102938,
POST,15,424.9249344,348.994476,348.994465,891.8747063,952.5003727,392.618769,562.2688569,295.6758653,547.7274223,1134.23204,940.3462155,348.9944142,988.8176364,242.3572811,557.4216892,
POST,16,670.8085587,285.9815564,319.9116111,891.8747063,1079.023021,402.3130536,562.2688481,475.0202357,552.5745657,1124.537749,882.1804681,397.4659058,1546.23933,382.9245042,489.5616638,
POST,17,613.5152929,266.5930093,300.5230198,819.1675882,1298.647124,441.0902208,615.5874588,416.8544894,814.320394,1124.537749,751.3074921,416.8544529,974.2762349,344.1473216,489.5616638,
POST,18,577.7070591,339.3001671,300.5230198,819.1675882,990.6958332,387.7716278,484.714527,378.0773453,673.7531356,1100.302056,1051.830565,402.313069,644.6703414,324.7587347,562.2688923,
POST,19,601.5792032,397.46594,295.6758819,533.1859965,845.0755257,378.07731,441.090234,319.9115935,969.4290098,1046.983366,935.4990876,610.7403132,1202.092044,339.3001848,571.9631658,
POST,20,374.793393,397.46594,305.370161,538.0331101,1265.226108,373.2301953,538.0331465,310.2173552,693.1417888,940.3461802,1197.244881,324.7587567,896.7218873,397.4659058,571.9631658,
POST,21,448.7971491,397.4659411,382.9244821,804.6261248,661.2596516,358.6887938,315.0644302,431.395934,1143.926243,950.0405244,1071.219094,285.9815918,717.3774992,421.7016515,508.9502904,
POST,22,269.7557684,397.4659411,426.5487707,804.6261248,1100.507929,358.6887408,596.1988763,324.7587479,974.2762349,950.0405244,930.6518713,601.0460572,639.8232046,397.4659278,470.1730989,
POST,23,685.1318752,489.5617123,426.5487707,508.950286,1169.73732,387.7716145,329.6058841,591.3517307,911.2632712,877.3333269,1211.786335,601.0460926,664.058915,222.9686804,528.3388729,
POST,24,525.1881585,489.5617123,324.7587479,887.0275784,713.778443,421.7016736,470.1730923,436.2430663,1022.747603,1129.384912,1308.729212,421.7016515,707.6832433,436.2430796,625.2817854,
POST,25,623.0641337,353.8415946,397.4659058,901.5690594,804.4927986,339.3001759,533.1859655,441.090234,819.1675573,1129.384912,1177.856333,649.5175311,528.3388288,387.7716322,625.2817854,
POST,26,510.8648509,353.8415946,397.4659058,1076.066258,1088.571892,416.8545054,470.1730901,378.0773409,746.4603288,930.6519419,998.5119542,397.4659411,673.7531974,276.2872652,412.0073603,
POST,27,348.534031,441.0902429,339.3001583,1076.066258,725.7145426,518.6445596,426.5487795,402.3130514,746.4603818,930.6519419,1095.454875,353.8415775,838.5561398,382.9244689,586.5045851,
POST,28,444.0227132,441.0902429,445.9373797,654.3646238,656.4852334,407.1602147,450.7845253,513.7973996,824.0146842,853.0975855,794.9318822,484.7145137,673.7532372,310.2173199,586.5045851,
POST,29,434.4738415,416.8544883,445.9373797,654.3646238,1291.48547,334.4530127,484.7145446,412.0073382,736.766117,1003.359091,1003.359073,567.1159849,1139.079133,407.1602147,412.0073515,
POST,30,572.9325393,484.7145535,426.5488237,654.3645885,1069.474166,416.8544883,601.0460396,387.7716145,654.3645708,1003.359091,727.0718081,697.988952,678.6003342,300.5230286,523.4917008,
POST,31,656.4852423,523.4916566,426.5488237,901.5690329,911.91765,334.4530215,421.7016648,305.3701742,722.2246493,1114.843458,1051.830512,465.3259092,988.8175923,378.0773233,523.4917008,
POST,32,386.729465,523.4916566,363.5358908,901.5690329,833.1394845,450.784512,436.2430531,421.7016427,838.5561575,1114.843458,891.874799,300.5230286,668.906043,392.6187513,431.3959428,
POST,33,656.4852158,392.6187601,344.1473216,494.4088359,1155.414012,441.090287,421.7016427,542.8802921,659.2117517,1192.39777,1085.760549,339.3001583,804.6261028,305.3701478,436.2430796,
POST,34,563.3836676,397.4659234,324.7587567,547.7274377,1086.184621,455.6316709,416.8545236,552.5745646,814.3204117,1192.39777,853.097559,678.6004049,557.4217202,358.6887452,508.9502374,
POST,35,577.7070348,397.4659234,276.2872652,940.3462155,871.3349009,402.3130381,702.8361153,368.3830364,707.6832212,1003.359091,1090.607695,518.6445817,513.7974007,290.8287203,508.9502374,
POST,36,398.6655547,523.491714,339.3001495,940.3462155,907.1432053,445.9373609,630.1289133,494.4088193,959.7347495,954.8876524,1109.996259,479.8674012,523.4917449,378.0773586,416.8545103,
POST,37,656.4852158,523.491714,339.3001495,988.8176364,993.0831218,358.6887761,460.4788342,518.6445298,911.2633065,1071.219147,1066.372019,227.8158399,431.3959428,276.287274,571.9631482,
POST,38,599.1919852,562.268879,271.4401549,988.8176364,904.7560227,353.8416481,586.5045851,436.2430796,717.3774987,1071.219147,1260.257756,402.3130823,736.7660839,315.0644478,571.9631482,
POST,39,432.0865882,562.268879,344.1473348,547.7274333,907.1432053,416.8544883,620.4345868,NaN,741.6132317,1027.594775,1265.104919,339.3001765,605.8931499,339.300198,533.1859832,
POST,40,415.3761333,659.2117429,344.1473348,712.5303735,852.2371751,397.4659146,465.3259445,NaN,727.0718346,1056.677675,901.5690506,625.281803,605.8931499,339.3001759,576.8102938,
POST,41,544.2859726,659.2117429,334.453048,712.5303735,814.0416527,445.937362,538.0331465,NaN,1003.359038,1056.677675,1032.442018,387.7716145,741.6132671,276.2873005,576.8102938,
POST,42,625.4513826,484.7145358,334.453048,625.2817147,993.0830688,460.4788033,557.4217113,NaN,605.8931411,775.5432997,1056.677693,538.0331465,547.7274377,222.968681,571.9631835,
POST,43,415.3761333,615.5874588,237.5101157,625.2817147,892.8198977,528.3388597,363.5359041,NaN,513.7974184,901.5690726,945.1933082,639.8231869,625.2817191,387.7716322,528.3388376,
POST,44,608.7408217,620.4345691,363.5359041,591.3517307,780.6206192,373.2301964,368.3830629,NaN,465.3259445,901.5690726,1090.607659,353.8416481,571.9631482,256.8987136,528.3388376,
POST,45,613.5152752,620.4345691,363.5359041,877.3332959,981.1469791,508.9502286,489.5616682,NaN,465.3259445,833.7089765,959.7348157,630.1288957,445.937362,213.2743853,581.6574571,
POST,46,732.876234,557.4216937,358.6887496,877.3332959,988.3086506,NaN,518.6445287,NaN,339.3001715,969.4290716,828.8619104,475.0203064,528.3388376,373.2301953,581.6574571,
POST,47,539.5114705,668.9060518,358.6887496,542.8803054,687.5190843,NaN,547.7274377,NaN,373.2301776,969.4290716,804.6261469,426.5488148,538.0331288,324.7587302,557.421729,
POST,48,689.9063067,NaN,353.8415952,NaN,790.169491,NaN,436.2430531,NaN,368.3830497,901.5690329,1332.964923,387.7715792,484.714527,261.7458371,NaN,
POST,49,NaN,NaN,353.8415952,NaN,1064.699695,NaN,567.1160026,NaN,NaN,828.8618927,891.8747593,373.2301953,678.6003188,392.6187778,NaN,
