"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",1,-2.12665844,-2.093940496,-1.995787144,-3.075475454,-3.625543356,-0.98153466,-0.458049506,-3.075475454,-1.308712959,-3.566242456,-5.267569542,-5.431158543,-6.085515022,-0.359896034,-2.421118736
"PRE",2,-3.27178216,-2.551990271,-1.995787144,-4.220599174,-3.899473667,-0.556203008,-0.458049506,-2.617425919,-2.911885977,-3.893420935,-6.020079136,-5.660182953,-4.711366177,-0.32717824,-2.846450567
"PRE",3,-2.519272327,-1.864915967,-2.093940496,-3.337217808,-3.496635199,-0.458049506,-0.294460386,-3.729831934,-2.290247679,-4.580495358,-5.95464325,-5.88920784,-6.052796841,-0.359896034,-1.570455551
"PRE",4,-4.089727879,-2.257529736,-2.682861328,-4.122445583,-4.576241493,-0.392613888,-0.392613888,-3.533524752,-2.192094088,-4.253316879,-5.823771954,-6.052796841,-5.791054249,-0.16358912,-2.290247679
"PRE",5,-2.879168272,-2.682861328,-2.682861328,-4.122445583,-4.560128212,-0.588920772,-0.49076733,-3.402653456,-2.061222792,-3.729831934,-5.300287247,-5.95464325,-5.136698246,-0.392613888,-1.406866312
"PRE",6,-4.253316879,-2.486554384,-2.617425919,-3.239064455,-4.721263409,-0.588920772,-0.392613888,-3.042757511,-1.7994802,-4.580495358,-6.118233204,-5.95464325,-5.987361431,-0.392613888,-2.584707975
"PRE",7,-5.594747543,-2.355683088,-2.257529736,-2.94460392,-4.012268066,-0.523485124,-0.392613888,-3.010039568,-1.374148488,-2.94460392,-6.052796841,-5.005826473,-5.791054249,-0.196306944,-2.257529736
"PRE",8,-4.416906357,-2.551990271,-2.257529736,-3.631678104,-2.723186016,-0.523485124,-0.359896034,-3.337217808,-1.439584136,-4.057010174,-5.005826473,-6.020079136,-5.267569542,-0.32717824,-1.864915967
"PRE",9,-4.973108768,-2.453836679,-2.192094088,-5.169415951,-3.641656876,-0.425331682,-0.32717824,-2.846450567,-2.846450567,-3.795267582,-5.431158543,-4.842237473,-6.150950909,-0.359896034,-2.584707975
"PRE",10,-4.874955654,-2.421118736,-2.12665844,-2.486554384,-3.899473667,-1.341430664,-0.49076733,-2.977321625,-2.192094088,-3.795267582,-5.038544655,-5.169415951,-5.627465248,-0.065435641,-2.093940496
