"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",1,-499.255955,-256.8986871,-281.1344285,-814.3204293,-763.9100583,-576.8102673,-252.0515746,-247.2044047,-475.0202181,-1211.786317,-1337.812121,-1628.640859,-1667.417988,-281.1344461,-426.5487795
"PRE",2,-930.6519155,-285.9815741,-334.4530215,-1289.3407,-933.402638,-285.9815608,-203.5800897,-324.7587567,-712.5303492,-1313.576433,-1875.845215,-1604.405114,-1008.206254,-281.1344285,-620.4346132
"PRE",3,-683.4475323,-252.0515724,-373.2302041,-1357.200704,-919.0792774,-319.9115935,-271.4401505,-290.8287197,-567.1160191,-1366.894924,-1444.44936,-1691.65384,-1032.441929,-261.745846,-538.0331421
"PRE",4,-896.7218608,-285.9815741,-324.7587258,-1337.812121,-771.0717475,-256.898718,-237.5101201,-324.7587744,-678.6003872,-1294.187758,-1478.379327,-1667.418094,-1294.187837,-266.5930269,-387.7715969
"PRE",5,-688.2946774,-300.5230065,-353.8415957,-1328.117759,-749.586786,-397.4659411,-247.2044179,-247.2044268,-673.7531886,-1342.659338,-1492.920781,-1827.373812,-1347.506333,-189.0386616,-465.3259644
"PRE",6,-916.1105095,-290.8287285,-344.1473436,-1308.729248,-990.6958685,-305.3701478,-208.4272662,-222.968681,-523.4916566,-1541.392202,-1827.373679,-1425.06069,-1245.716301,-213.2743986,-639.8232046
"PRE",7,-1056.67764,-382.9244866,-334.453048,-1202.092044,-1074.248532,-218.1215265,-261.7458504,-378.0773586,-625.2817324,-1197.244969,-1997.023767,-1512.309364,-1609.252276,-227.8158266,-620.4345956
"PRE",8,-1177.856382,-256.8987357,-315.0644296,-1628.640894,-689.9063022,-387.7716498,-271.4401461,-358.6887231,-499.2559815,-1168.162042,-848.2505017,-1623.793677,-1153.620535,-242.3572723,-324.7587391
"PRE",9,-853.097559,-363.5359041,-465.3259798,-1279.6464,-766.2972763,-150.2615143,-276.2872823,-295.6758918,-615.5874588,-1279.646409,-974.2761907,-1803.138136,-1614.099369,-499.2559727,-562.2688752
"PRE",10,-678.6003431,-295.6758521,-421.7016339,-736.766064,-890.4326797,-378.0773233,-276.287274,-261.7458636,-533.1860009,-920.9575977,-1022.747673,-1555.933727,-1667.41805,-189.0386705,-644.6703149
"PRE",11,-780.39041,-295.6758653,-363.5359052,-1618.946497,-1224.643332,-373.2302041,-256.8987158,-266.5930093,-664.0588885,-1090.607659,-1711.042352,-1497.767856,-1691.65369,-208.4272441,-426.5487795
"PRE",12,-814.3204117,-368.3830144,-295.6758477,-1085.760514,-740.0379463,-358.6887584,-227.8158178,-310.2173221,-571.9631658,-1502.615046,-1512.309346,-1488.073574,-1260.257862,-198.7329882,-378.0773498
"PRE",13,-887.0276137,-412.0073603,-276.2872917,-862.7918502,-899.9815603,-276.287274,-179.344388,-358.6887452,-489.5616549,-1517.156492,-1240.869138,-1444.449325,-1444.44929,-237.5101002,-683.4474799
