"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",1,872.4861415,441.0902164,305.3701566,1400.824961,756.7484398,397.4659058,542.8802877,431.3959428,775.543282,983.9705261,988.8176364,1046.98341,1648.029441,305.3701566,334.4530303
"PRE",2,877.3333401,441.0902164,300.5230286,1405.672125,985.9214679,193.8858117,261.7458504,426.5487795,790.0846836,954.8876347,1308.729212,1100.302003,1648.029441,475.020249,465.3259621
"PRE",3,959.734745,494.4088094,285.9815653,1405.672125,1203.158406,431.3959251,227.8158443,392.6187778,974.2762526,945.1933435,1405.67216,1076.066293,1449.296418,358.6887364,324.7587391
"PRE",4,1017.90051,494.4088094,237.5101355,1449.296418,1036.053045,266.5930048,348.9944716,523.4917361,610.7403485,1022.747656,1357.200704,862.7918149,1599.55795,222.9686804,232.6629943
"PRE",5,664.0588974,392.6187767,237.5101355,1449.296418,840.3011163,382.9244777,310.217311,310.2172934,843.4033031,1022.747656,1299.034939,1182.703461,1778.90232,310.2172934,290.8287109
"PRE",6,838.5561751,368.3830409,310.2173199,1841.915195,1174.511791,281.1344241,319.9116133,465.325971,1066.371931,930.6519425,809.4732837,848.2504045,1803.138101,290.8287153,295.675883
"PRE",7,848.2504222,518.6445463,310.2173199,1841.915337,966.8237244,407.1602147,315.0644478,407.1602147,843.4031971,930.6519425,1308.729283,1255.410663,1803.138101,421.7016427,329.6059024
"PRE",8,1100.301968,518.6445463,193.8858073,1841.915337,1215.094496,261.7458681,252.0515503,421.7016339,1095.454856,1236.022081,848.250431,1027.594854,1381.436344,436.2430685,247.2044179
"PRE",9,1255.410628,412.0073691,310.2172857,1870.998175,1320.132121,305.3701742,319.9115846,436.2430884,950.0404715,1236.022081,1420.213615,983.9704908,1832.22094,649.5174472,397.4658881
"PRE",10,1706.195118,445.9373995,310.2172857,1744.972283,1327.293739,266.5929916,281.1344196,329.6058847,867.6390224,1051.830583,959.734798,853.0975767,1832.22094,285.9815829,421.7016515
"PRE",11,1148.773495,528.3388552,198.7329705,1851.609451,1031.278576,353.8416128,247.2044268,407.1601882,1124.537656,983.9705085,1085.760567,1056.67771,1686.806606,232.6629855,242.3572591
"PRE",12,1560.780749,528.3388552,179.3443726,1851.609451,1119.605673,344.1473387,252.0515542,615.5874676,853.0975943,1003.359056,1454.143616,1003.359091,1730.430899,344.1473216,348.9944584
"PRE",13,974.2761643,426.5488148,334.4530215,1754.66661,995.4703397,334.453048,227.8158178,421.7016339,1109.996237,1003.359056,819.167575,1565.628054,1730.430899,378.0773498,368.3830364
"PRE",14,1289.340647,436.2430884,334.4530215,1769.208064,809.2672698,295.6758565,334.4530259,523.4916743,838.5561751,838.5561751,1105.149131,964.5819746,1609.252276,310.2172845,378.0773255
"PRE",15,1478.379327,450.7845209,213.2743986,1769.208064,1174.51172,329.6059024,324.758738,416.8545103,1197.244889,838.5561751,848.2504487,756.1546819,1497.767945,465.3259621,290.8287374
"PRE",16,1623.79366,450.7845209,300.5230198,1681.959408,962.0492532,426.5487795,266.5930137,402.3130779,780.3903747,935.4990523,1192.397717,1027.594815,1366.89503,387.7716322,387.7716322
"PRE",17,1681.959478,416.8544927,300.5230198,1846.762323,1415.620874,242.3572591,290.8287241,445.937362,1090.607695,935.4990523,1260.257827,882.1804327,1633.487987,489.5616814,358.6887584
"PRE",18,1206.939269,426.5487972,266.5930269,1846.762323,1303.42156,450.7845253,300.5230154,412.0073691,998.511963,746.4603641,751.3075716,1085.760602,1706.195118,416.854486,339.3001759
"PRE",19,1754.666539,460.4787944,305.3701566,1759.513808,1215.094461,358.6887584,179.344388,445.9373609,1158.467769,790.0846791,1192.39777,1080.913399,1706.195118,416.8544971,479.867399
"PRE",20,1168.161972,489.5616903,305.3701566,1749.819482,1107.669583,348.9944628,305.3701698,465.3259975,1124.537714,790.0846791,1313.576376,896.7219138,1003.359056,339.3001759,412.0073515
"PRE",21,1507.462165,499.2559727,285.9815653,1434.754998,1117.218455,276.2872828,295.6758653,431.3959604,727.071817,896.7218696,1284.493555,1051.830609,1003.359056,523.4917096,445.9373443
"PRE",22,1148.773429,513.7974007,358.6887761,1822.526613,1310.583249,329.6058759,285.9815907,567.1160202,848.2504487,896.7218696,1066.372015,1076.066328,930.6518934,353.8416128,538.0331465
