"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",1,2.322965384,3.27178216,4.286034584,1.897633791,3.238818884,1.832198024,1.439584136,2.715579271,2.617425919,2.421118736,1.668608904,1.439584136,1.570455551,1.701326728,3.533524752
"PRE",2,2.355683088,2.519272327,4.286034584,1.766762376,3.190478325,1.897633791,1.603173375,2.650143623,3.337217808,2.519272327,1.701326728,1.47230196,1.505019784,1.734044552,1.995787144
"PRE",3,3.108193159,3.239064455,3.762549639,1.832198024,3.222705364,1.864915967,1.570455551,2.584707975,2.453836679,2.617425919,1.537737727,1.864915967,1.7994802,2.028505087,2.879168272
"PRE",4,2.748296976,3.239064455,3.762549639,2.224812031,3.480521679,1.832198024,1.668608904,2.290247679,2.551990271,2.453836679,1.47230196,1.832198024,1.897633791,1.7994802,3.140911102
"PRE",5,2.257529736,3.631678104,3.20634675,1.603173375,2.981002331,1.897633791,1.603173375,2.519272327,2.813732624,2.650143623,1.63589108,2.028505087,1.930351615,2.682861328,3.795267582
"PRE",6,2.388401031,3.631678104,3.20634675,1.864915967,3.577202797,1.832198024,1.668608904,2.682861328,2.846450567,2.617425919,1.668608904,1.930351615,1.439584136,1.897633791,4.286034584
"PRE",7,2.290247679,3.108193159,3.664396048,1.897633791,3.367727041,1.930351615,1.505019784,2.584707975,2.551990271,2.290247679,1.701326728,1.734044552,1.63589108,2.028505087,3.762549639
"PRE",8,2.486554384,3.108193159,3.108193159,1.701326728,3.061570168,1.930351615,1.406866312,2.290247679,2.813732624,2.421118736,1.537737727,2.192094088,1.537737727,1.701326728,3.631678104
"PRE",9,3.239064455,2.486554384,3.958856583,1.766762376,3.641656876,2.192094088,1.439584136,2.781014919,2.486554384,2.584707975,1.701326728,2.290247679,1.766762376,1.995787144,2.650143623
"PRE",10,2.682861328,2.617425919,3.762549639,2.093940496,3.126024246,1.832198024,1.734044552,2.617425919,2.192094088,2.453836679,1.7994802,1.439584136,1.832198024,2.028505087,2.781014919
"PRE",11,2.453836679,2.617425919,3.762549639,1.701326728,2.819867134,1.63589108,1.766762376,3.075475454,2.617425919,2.421118736,1.734044552,1.766762376,1.930351615,1.897633791,3.5989604
"PRE",12,3.173628807,2.355683088,4.482341766,1.766762376,3.512748718,1.832198024,1.243277192,2.519272327,2.453836679,2.453836679,1.701326728,2.322965384,1.897633791,1.897633791,2.879168272
"PRE",13,2.421118736,2.355683088,4.482341766,1.766762376,3.287159443,3.369935751,1.668608904,2.192094088,2.486554384,2.355683088,1.897633791,2.093940496,1.7994802,1.766762376,2.290247679
"PRE",14,2.715579271,2.12665844,3.795267582,1.406866312,3.061570168,2.028505087,1.47230196,2.355683088,2.421118736,2.584707975,1.766762376,2.322965384,1.505019784,2.290247679,1.864915967
