"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",1,-3.729831934,-1.603173375,-2.453836679,-2.290247679,-2.868207693,-1.341430664,-1.014252543,-1.341430664,-1.897633791,-1.079688072,-1.47230196,-1.505019784,-2.257529736,-1.47230196,-1.668608904
"PRE",2,-2.781014919,-1.734044552,-2.650143623,-1.930351615,-2.658731937,-1.145123839,-0.81794554,-1.374148488,-1.930351615,-1.210559368,-1.47230196,-1.046970248,-2.355683088,-1.63589108,-1.47230196
"PRE",3,-4.057010174,-1.603173375,-2.617425919,-2.879168272,-3.44829464,-1.243277192,-1.439584136,-1.341430664,-1.7994802,-1.275995135,-1.766762376,-1.210559368,-1.995787144,-1.832198024,-1.897633791
"PRE",4,-3.239064455,-1.570455551,-2.977321625,-2.682861328,-3.238818884,-0.948816895,-1.341430664,-1.079688072,-1.897633791,-1.275995135,-1.47230196,-1.112406015,-1.734044552,-1.930351615,-2.290247679
"PRE",5,-2.12665844,-2.093940496,-2.551990271,-2.388401031,-2.594277859,-0.948816895,-1.014252543,-1.505019784,-2.028505087,-1.079688072,-1.210559368,-1.145123839,-2.061222792,-1.570455551,-2.12665844
"PRE",6,-2.486554384,-1.832198024,-2.192094088,-2.159376144,-2.803753614,-0.687074244,-1.112406015,-1.505019784,-3.042757511,-1.275995135,-1.275995135,-0.883381188,-2.093940496,-1.995787144,-2.093940496
"PRE",7,-1.897633791,-1.537737727,-2.192094088,-2.093940496,-2.320347786,-0.883381188,-1.210559368,-1.63589108,-1.864915967,-1.079688072,-1.374148488,-1.145123839,-2.290247679,-1.734044552,-2.028505087
"PRE",8,-1.701326728,-2.453836679,-2.617425919,-1.701326728,-2.964888811,-1.275995135,-0.916099012,-1.537737727,-2.846450567,-1.210559368,-1.63589108,-1.210559368,-1.864915967,-1.275995135,-2.421118736
"PRE",9,-2.911885977,-1.734044552,-2.421118736,-2.421118736,-2.400915384,-0.65435648,-1.145123839,-1.439584136,-2.388401031,-1.701326728,-2.028505087,-0.98153466,-1.275995135,-1.537737727,-1.832198024
"PRE",10,-2.290247679,-1.832198024,-2.12665844,-1.603173375,-3.077683687,-1.439584136,-1.112406015,-1.47230196,-2.028505087,-1.406866312,-1.832198024,-0.98153466,-1.897633791,-1.63589108,-1.832198024
"PRE",11,-2.028505087,-1.701326728,-2.617425919,-2.911885977,-2.932661772,-0.98153466,-1.177841544,-1.341430664,-1.897633791,-1.275995135,-1.374148488,-1.603173375,-1.995787144,-1.701326728,-2.551990271
"PRE",12,-3.86070323,-1.603173375,-2.061222792,-1.537737727,-2.368688345,-1.014252543,-1.47230196,-1.47230196,-2.355683088,-0.916099012,-1.406866312,-1.177841544,-1.897633791,-1.995787144,-2.12665844
"PRE",13,-3.369935751,-0.948816895,-2.257529736,-1.734044552,-2.51371026,-1.47230196,-1.112406015,-1.406866312,-2.879168272,-1.046970248,-1.668608904,-1.570455551,-2.846450567,-1.406866312,-1.701326728
"PRE",14,-1.341430664,-0.752509892,-2.355683088,-2.322965384,-2.787640095,-0.850663364,-0.98153466,-1.570455551,-2.355683088,-1.177841544,-1.275995135,-1.406866312,-1.864915967,-1.570455551,-1.701326728
"PRE",15,-1.995787144,-1.079688072,-2.388401031,-3.108193159,-1.466330886,-1.734044552,-0.98153466,-1.406866312,-1.864915967,-1.243277192,-0.98153466,-1.014252543,-1.668608904,-1.63589108,-2.093940496
"PRE",16,-2.584707975,-1.177841544,-2.12665844,-1.734044552,-2.336461306,-1.275995135,-1.275995135,-1.603173375,-2.290247679,-1.374148488,-1.243277192,-1.079688072,-2.257529736,-1.734044552,-2.028505087
"PRE",17,-3.533524752,-1.7994802,-2.028505087,-1.570455551,-3.254932404,-1.832198024,-1.406866312,-1.374148488,-2.879168272,-1.145123839,-1.505019784,-1.210559368,-2.12665844,-1.603173375,-2.388401031
"PRE",18,-2.388401031,-1.079688072,-2.388401031,-2.486554384,-2.884321213,-1.145123839,-1.145123839,-1.406866312,-3.20634675,-0.883381188,-1.63589108,-1.210559368,-2.192094088,-1.47230196,-2.12665844
"PRE",19,-2.355683088,-1.406866312,-2.224812031,-2.715579271,-2.497596741,-1.930351615,-1.014252543,-1.570455551,-3.533524752,-0.81794554,-1.570455551,-1.046970248,-2.421118736,-1.995787144,-1.832198024
"PRE",20,-3.27178216,-1.995787144,-2.584707975,-2.879168272,-3.029343128,-0.98153466,-1.046970248,-1.570455551,-2.453836679,-0.556203008,-1.374148488,-1.145123839,-1.930351615,-1.734044552,-1.734044552
"PRE",21,-2.192094088,-1.275995135,-2.257529736,-2.911885977,-3.287159443,-1.275995135,-1.177841544,-1.570455551,-2.879168272,-1.014252543,-1.505019784,-0.81794554,-1.734044552,-1.308712959,-1.766762376
"PRE",22,-3.5989604,-2.224812031,-2.813732624,-1.7994802,-2.433142424,-0.883381188,-1.537737727,-1.537737727,-2.486554384,-1.243277192,-1.374148488,-1.668608904,-1.897633791,-2.224812031,-1.832198024
"PRE",23,-3.369935751,-1.177841544,-2.650143623,-1.668608904,-2.400915384,-1.63589108,-1.014252543,-1.505019784,-2.061222792,-1.341430664,-1.439584136,-1.210559368,-1.734044552,-1.766762376,-1.734044552
"PRE",24,-3.27178216,-1.63589108,-2.388401031,-2.355683088,-2.272007227,-1.046970248,-1.439584136,-1.668608904,-2.682861328,-1.079688072,-1.374148488,-1.668608904,-2.486554384,-1.930351615,-2.617425919
"PRE",25,-2.94460392,-1.243277192,-2.388401031,-2.682861328,-2.674845457,-1.112406015,-1.014252543,-1.570455551,-2.748296976,-0.81794554,-1.537737727,-1.832198024,-1.7994802,-1.930351615,-1.96306932
"PRE",26,-1.668608904,-0.621638596,-2.486554384,-1.766762376,-2.610391378,-0.948816895,-0.850663364,-1.603173375,-1.832198024,-1.210559368,-1.63589108,-2.192094088,-2.159376144,-1.406866312,-2.061222792
"PRE",27,-3.010039568,-1.603173375,-2.290247679,-2.486554384,-2.852094173,-1.112406015,-0.916099012,-1.47230196,-2.879168272,-1.210559368,-1.63589108,-1.112406015,-1.63589108,-2.224812031,-1.570455551
"PRE",28,-2.813732624,-1.243277192,-2.257529736,-1.701326728,-3.303272963,-1.046970248,-1.145123839,-1.406866312,-2.977321625,-1.177841544,-1.014252543,-0.948816895,-1.603173375,-1.766762376,-1.832198024
"PRE",29,-2.748296976,-0.916099012,-2.715579271,-2.486554384,-2.916548252,-1.046970248,-1.112406015,-1.374148488,-2.846450567,-0.883381188,-1.766762376,-1.112406015,-2.355683088,-1.341430664,-2.290247679
"PRE",30,-3.500806808,-1.668608904,-2.355683088,-1.897633791,-2.497596741,-0.98153466,-1.243277192,-1.341430664,-2.94460392,-0.98153466,-1.046970248,-1.177841544,-1.308712959,-1.505019784,-1.701326728
"PRE",31,-2.322965384,-0.850663364,-2.421118736,-2.257529736,-2.239780188,-1.734044552,-1.63589108,-1.47230196,-1.505019784,-1.505019784,-1.406866312,-1.537737727,-1.243277192,-1.668608904,-1.734044552
"PRE",32,-1.96306932,-1.668608904,-2.584707975,-2.453836679,-2.417028904,-1.406866312,-1.046970248,-1.668608904,-2.290247679,-1.243277192,-1.145123839,-1.014252543,-1.537737727,-1.570455551,-2.061222792
"PRE",33,-3.500806808,-1.734044552,-2.584707975,-2.061222792,-2.030304432,-1.046970248,-0.948816895,-1.275995135,-1.570455551,-1.374148488,-1.341430664,-1.63589108,-2.519272327,-1.766762376,-1.7994802
"PRE",34,-3.435371399,-2.028505087,-2.093940496,-2.192094088,-2.223666668,-1.079688072,-0.948816895,-1.63589108,-1.96306932,-1.177841544,-1.701326728,-1.145123839,-2.093940496,-1.701326728,-1.7994802
"PRE",35,-2.486554384,-1.275995135,-2.12665844,-2.584707975,-2.562050819,-1.668608904,-1.275995135,-1.374148488,-1.701326728,-1.210559368,-1.374148488,-1.570455551,-1.537737727,-1.668608904,-1.701326728
"PRE",36,-2.519272327,-1.570455551,-2.813732624,-2.257529736,-2.771526575,-1.046970248,-1.734044552,-1.406866312,-1.505019784,-1.406866312,-1.308712959,-1.406866312,-2.159376144,-1.864915967,-2.061222792
"PRE",37,-2.911885977,-1.734044552,-2.290247679,-1.701326728,-2.578164339,-1.079688072,-1.832198024,-1.603173375,-2.159376144,-1.079688072,-1.341430664,-1.341430664,-1.7994802,-1.275995135,-2.322965384
"PRE",38,-1.63589108,-1.7994802,-2.94460392,-2.584707975,-2.642618418,-1.406866312,-1.046970248,NA,-3.991574287,-1.112406015,-1.406866312,-1.243277192,-2.093940496,-1.930351615,-1.930351615
"PRE",39,-1.701326728,-2.159376144,-2.584707975,-2.617425919,-3.029343128,-1.47230196,-0.785227776,NA,-3.304500103,-1.177841544,-1.275995135,-1.112406015,-2.061222792,-1.668608904,-2.388401031
"PRE",40,-1.570455551,-1.439584136,-2.159376144,-2.715579271,-2.835980654,-1.603173375,-1.406866312,NA,-2.453836679,-1.210559368,-1.505019784,-0.883381188,-2.192094088,-1.47230196,-2.159376144
"PRE",41,-1.7994802,-2.224812031,-1.995787144,-2.846450567,-2.562050819,-0.81794554,-1.406866312,NA,-2.551990271,-1.079688072,-1.374148488,-1.275995135,-2.224812031,-2.093940496,-2.192094088
"PRE",42,-2.911885977,-0.98153466,-1.603173375,-2.257529736,-2.964888811,-1.177841544,-1.374148488,NA,-2.061222792,-1.406866312,-1.374148488,-1.63589108,-2.977321625,-1.668608904,-2.257529736
"PRE",43,-2.781014919,-1.7994802,-2.192094088,-1.603173375,-2.304234266,-1.014252543,-0.719792068,NA,-1.7994802,-0.98153466,-1.406866312,-1.275995135,-2.421118736,-1.668608904,-1.766762376
"PRE",44,-1.668608904,-1.897633791,-2.159376144,-2.519272327,-3.077683687,-1.112406015,-1.112406015,NA,-1.832198024,-1.177841544,-1.537737727,-1.341430664,-2.257529736,-1.897633791,-1.864915967
"PRE",45,-1.832198024,-1.570455551,-2.192094088,-2.355683088,-2.497596741,-0.883381188,-1.046970248,NA,-1.7994802,-1.243277192,-1.341430664,-1.308712959,-1.995787144,-1.995787144,-1.832198024
"PRE",46,-1.537737727,-1.439584136,-2.257529736,-1.701326728,-2.5459373,-1.734044552,-1.079688072,NA,-1.7994802,-1.079688072,-1.079688072,-1.243277192,-2.12665844,-2.12665844,-2.192094088
"PRE",47,-2.519272327,-2.519272327,-2.093940496,-2.224812031,-1.627466202,-0.850663364,-1.079688072,NA,-1.7994802,-1.374148488,-1.177841544,-1.145123839,-1.96306932,-1.668608904,-1.701326728
"PRE",48,-3.075475454,-1.570455551,-2.421118736,-1.995787144,-2.433142424,-1.243277192,-1.112406015,NA,-1.63589108,-1.275995135,-1.406866312,-1.112406015,-1.930351615,-2.028505087,-2.257529736
"PRE",49,NA,NA,-2.322965384,NA,-2.739299536,-0.81794554,NA,NA,NA,-1.079688072,-1.406866312,-1.439584136,-1.341430664,-2.322965384,-1.603173375
"POST",1,-6.058686256,-1.275995135,-2.584707975,-1.897633791,-2.771526575,-0.98153466,-1.374148488,-1.374148488,-1.96306932,-1.537737727,-1.63589108,-1.570455551,-2.551990271,-1.766762376,-2.748296976
"POST",2,-5.285236835,-1.668608904,-2.617425919,-2.159376144,-2.594277859,-1.47230196,-1.341430664,-1.505019784,-1.374148488,-1.374148488,-1.864915967,-0.883381188,-1.995787144,-1.832198024,-2.650143623
"POST",3,-5.14021492,-1.63589108,-2.486554384,-1.668608904,-2.755413055,-0.883381188,-1.210559368,-1.439584136,-3.239064455,-1.63589108,-1.701326728,-1.406866312,-2.715579271,-1.668608904,-2.781014919
"POST",4,-4.898511887,-1.96306932,-2.486554384,-2.322965384,-2.642618418,-1.341430664,-1.243277192,-1.701326728,-2.813732624,-1.603173375,-1.603173375,-1.014252543,-2.061222792,-2.224812031,-2.650143623
"POST",5,-5.962004662,-1.406866312,-2.453836679,-2.192094088,-2.255893707,-0.883381188,-1.47230196,-1.47230196,-2.879168272,-1.406866312,-2.192094088,-1.308712959,-2.12665844,-2.159376144,-2.846450567
"POST",6,-6.477637768,-1.864915967,-2.911885977,-2.388401031,-3.44829464,-1.374148488,-1.243277192,-1.47230196,-2.584707975,-1.439584136,-1.701326728,-1.275995135,-2.159376144,-2.12665844,-2.584707975
"POST",7,-6.107027054,-1.243277192,-2.257529736,-1.995787144,-2.481482983,-0.719792068,-1.374148488,-1.603173375,-1.47230196,-1.537737727,-1.603173375,-1.112406015,-1.864915967,-2.028505087,-2.846450567
"POST",8,-5.704188347,-1.832198024,-2.224812031,-2.355683088,-2.578164339,-1.7994802,-1.014252543,-1.374148488,-2.192094088,-1.439584136,-1.63589108,-2.061222792,-2.12665844,-2.192094088,-3.042757511
"POST",9,-5.671961308,-1.766762376,-2.519272327,-2.12665844,-2.255893707,-0.850663364,-1.308712959,-1.406866312,-2.421118736,-1.603173375,-1.406866312,-1.046970248,-2.519272327,-1.96306932,-2.846450567
"POST",10,-5.671961308,-1.439584136,-2.093940496,-1.96306932,-1.885282755,-1.177841544,-1.341430664,-1.374148488,-1.897633791,-1.603173375,-1.995787144,-1.210559368,-2.650143623,-2.224812031,-2.519272327
"POST",11,-5.655847549,-1.63589108,-2.486554384,-1.7994802,-2.336461306,-1.47230196,-1.275995135,-1.406866312,-2.911885977,-1.47230196,-1.439584136,-1.046970248,-2.355683088,-1.897633791,-3.140911102
"POST",12,-5.833096504,-1.7994802,-1.995787144,-1.63589108,-2.690958977,-1.079688072,-1.243277192,-1.864915967,-2.12665844,-1.734044552,-1.832198024,-1.243277192,-2.421118736,-1.897633791,-2.846450567
"POST",13,-6.252048492,-1.275995135,-2.519272327,-1.995787144,-2.52982378,-1.014252543,-1.47230196,-1.275995135,-1.275995135,-1.406866312,-1.603173375,-1.668608904,-1.7994802,-1.7994802,-2.846450567
"POST",14,-5.865323544,-1.668608904,-2.453836679,-1.537737727,-2.497596741,-1.603173375,-1.275995135,-1.505019784,-2.846450567,-1.570455551,-1.668608904,-1.439584136,-2.486554384,-1.570455551,-2.781014919
"POST",15,-6.34872961,-1.275995135,-1.995787144,-2.061222792,-2.352574825,-1.47230196,-1.701326728,-1.603173375,-3.140911102,-1.668608904,-1.47230196,-1.308712959,-1.7994802,-1.995787144,-2.879168272
"POST",16,-7.106065273,-1.603173375,-2.486554384,-1.439584136,-2.916548252,-1.308712959,-1.406866312,-1.505019784,-3.566242456,-1.7994802,-1.63589108,-1.046970248,-2.584707975,-1.537737727,-2.715579271
"POST",17,-6.010345936,-1.505019784,-2.421118736,-1.406866312,-3.303272963,-1.210559368,-1.374148488,-1.47230196,-2.879168272,-1.374148488,-1.505019784,-1.079688072,-2.977321625,-1.7994802,-2.322965384
"POST",18,-6.429297447,-1.96306932,-2.650143623,-1.603173375,-2.578164339,-0.785227776,-1.210559368,-1.570455551,-3.010039568,-1.7994802,-1.505019784,-1.734044552,-1.96306932,-2.290247679,-3.042757511
