Treatment,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
PRE,1,155.1086511,72.70718876,106.6372125,116.3314872,121.7481723,145.4143554,92.09576021,43.62430178,111.4843493,222.968681,101.7900493,48.4714474,92.09575801,53.31860185,63.01288868
PRE,2,77.55432224,72.70718876,92.09576573,96.94291687,107.4248426,193.8858244,295.6758565,58.16574306,106.6371949,222.968681,111.4843416,38.77717381,48.47145844,43.62431944,77.5543388
PRE,3,169.6501012,58.16574085,101.7900404,96.94291687,183.8158685,135.7200642,184.1915337,33.93001936,106.6371949,130.8729362,150.2615132,38.77716498,87.24861459,58.16575631,92.09576242
PRE,4,116.3314861,82.40148001,101.7900537,87.24861238,105.0376313,121.1786251,242.3572767,38.77716222,48.47145237,116.3314927,150.2615049,43.62431502,58.16574748,38.77716498,67.86004314
PRE,5,101.7900448,43.62431116,87.24862121,116.3314861,124.1353858,135.7200697,155.1086423,43.62430619,77.5543388,126.0257851,67.86003872,53.31860185,77.55433218,38.77715615,58.16572981
PRE,6,116.3314861,82.40148442,87.24862121,116.3314861,179.0414249,150.2614967,179.3443836,38.77717381,82.40146786,126.0257851,63.01288427,58.16574748,77.55433218,63.01287544,87.24862121
PRE,7,121.1786273,101.7900669,106.6372037,101.7900404,126.5226104,111.4843493,159.9557873,38.77716057,155.1086423,130.8729407,101.7900625,67.86004755,67.86002989,58.16573865,106.6371905
PRE,8,116.331495,106.6371993,67.86002989,101.7900404,152.7820187,261.745846,174.4972424,29.08287208,96.94292129,150.2615011,164.8029357,48.47146064,72.70717551,29.08286491,106.6371949
PRE,9,121.1786273,121.178645,140.5672231,96.9428948,193.3647303,213.2743903,203.5800985,43.62430619,116.3314861,150.2615011,155.1086423,48.47145623,92.09575801,63.01290193,48.47145623
PRE,10,121.1786406,150.2615033,87.24860355,106.6371971,155.1692455,145.414351,193.8858073,29.08287815,126.0257774,179.3443682,63.01290193,38.77716498,63.01289531,29.08287374,82.40145793
PRE,11,203.5801073,96.94290804,82.40147118,106.6371971,162.3308905,111.4843499,145.4143554,48.47145181,101.7900669,140.5672231,92.09576684,116.3315038,82.40147338,43.62430178,92.09575801
PRE,12,130.872923,184.1915342,82.40147118,135.7200642,136.0714821,145.4143554,208.4272441,33.93001053,87.24861238,169.6500968,116.3314817,53.31859302,53.31859744,53.31861068,87.24860355
PRE,13,164.8029357,67.8600321,72.70717551,135.7200642,155.1692433,213.274403,189.0386661,33.93001936,111.4843405,169.6500968,164.8029401,53.31859302,63.01289089,48.47146506,77.55432114
PRE,14,63.01288427,150.2614967,87.2486168,126.0257785,90.71432252,116.3314861,135.7200642,29.08286932,63.01288979,135.7200863,48.47145623,63.01289751,63.01290193,48.4714474,43.62431061
PRE,15,179.3443836,87.24860797,101.7900493,126.0257785,71.61657349,135.7200598,198.7329727,29.08287374,184.1915293,126.0257906,101.7900515,58.16575631,53.3186024,92.09575801,82.40145793
PRE,16,130.8729407,208.4272706,116.3314817,87.24862563,50.13160321,82.40148442,145.4143554,29.08287374,126.0257768,126.0257906,63.01289751,63.01290193,82.40147559,48.47145623,92.09575801
PRE,17,92.09576242,82.40148001,87.24863004,92.09575801,155.1692323,106.6371949,106.6371949,33.93001936,72.70717551,116.3314883,87.24861238,43.62429295,48.47146064,43.62431061,72.70717551
PRE,18,140.5672231,106.6372081,92.09576739,92.09575801,109.8120738,135.7200686,189.0386793,58.16573865,121.1786273,135.7200774,150.2614972,43.62431061,82.40147118,24.23573695,53.31859302
PRE,19,72.70718434,150.2615143,96.94290363,87.24861459,121.7481679,164.8029357,145.4143554,43.62431061,72.70717551,135.7200774,121.1786273,48.47145623,72.70716668,58.16576514,48.47146506
PRE,20,126.0257862,116.3314861,111.4843405,106.6371993,145.6203605,116.3315038,164.8029556,38.77717381,106.6371905,150.2614972,101.7900515,72.70717551,77.55432224,48.47145623,43.62431061
PRE,21,106.6371993,145.4143532,77.5543388,106.6371993,124.1353858,130.8729362,218.121553,33.93001715,106.6372037,150.2614972,63.01288427,53.31859744,67.86003651,43.62430619,92.09577125
PRE,22,87.24861459,135.720062,101.7900493,87.24863004,105.0376368,213.2744096,101.7900404,33.93001936,130.872934,121.1786328,140.5672076,77.55432114,96.94291246,48.47145623,63.01290193
PRE,23,121.1786317,116.3314872,130.8729186,87.24863004,159.9436725,111.4843361,150.2615143,29.08287319,116.3314927,184.191516,101.7900581,58.16574306,72.70718434,38.77715615,67.86003872
PRE,24,82.40146234,87.2486168,87.24861238,87.2486168,128.9098173,179.3443792,189.0386616,33.93001936,106.6372081,184.191516,111.4843493,67.86002989,67.86003431,53.31858419,87.24861238
PRE,25,77.55432555,130.8729142,92.09576242,87.24861238,183.8158519,96.94290363,145.4143577,38.77715615,63.01289751,155.1086423,121.1786362,48.47145237,63.01289531,29.08287374,96.94291687
PRE,26,101.7900515,101.7900625,87.24863004,87.24860797,152.7820143,203.5801073,159.9557879,48.47145623,77.55432114,150.2615011,121.1786406,53.31860185,101.7900669,58.16573865,33.93001053
PRE,27,67.86003872,208.4272485,96.94290253,116.3314856,250.6579862,121.1786229,179.3443726,38.77716057,92.09576684,150.2615011,150.2614972,58.16575631,53.31859744,33.93003702,53.31860185
PRE,28,159.9558144,77.55432334,87.24861459,116.3314856,155.1692278,203.5801073,174.4972336,33.93001826,87.24862563,135.7200774,126.0257752,43.62431061,72.70717993,53.31861068,101.7900493
PRE,29,116.3314861,169.6500836,101.7900493,96.94290363,210.0752669,121.1786229,145.4143599,33.93001936,145.414351,150.2614978,135.7200686,63.01288427,48.47145844,63.01290193,92.09575359
PRE,30,77.55432334,82.40147118,101.7900515,135.7200686,207.6880534,208.427253,159.9557967,58.16573865,92.09574918,150.2614978,63.01288427,48.47145623,72.70717993,33.93001053,48.4714474
PRE,31,116.3314861,135.7200697,92.09576463,135.7200686,241.1091134,111.4843493,145.4143599,43.62431061,96.94290363,169.650088,164.802933,121.1786494,67.86002989,58.16572981,53.31860185
PRE,32,179.3443748,58.16574748,126.0257818,87.24860797,179.0414337,189.0386616,150.2615011,38.77716057,72.70719317,126.025795,77.55433438,67.86003872,63.01288648,58.16573865,53.31859302
PRE,33,72.70717993,150.2615011,63.01288427,82.40146676,155.1692367,179.3443836,208.4272485,43.62431061,111.4843493,159.9557923,96.94291246,63.01290193,43.62431502,33.93003702,53.31859302
PRE,34,126.0257685,87.24861238,106.6371949,96.9428948,190.9775234,96.94291687,179.3443726,67.86003431,126.0257752,159.9557923,218.1215354,43.62431061,92.09576242,53.31859302,77.5543388
PRE,35,140.5672098,174.4972253,106.6371949,96.9428948,159.943677,145.4143692,179.3443892,38.77716609,140.567212,164.8029512,111.4843427,53.31860185,48.47145237,38.77714732,82.40146676
PRE,36,53.31859744,106.6371949,155.1086599,82.40146676,212.462486,150.2614967,130.872923,43.62430178,116.3314861,164.8029512,252.0515503,53.31859854,72.70719317,53.31860185,77.55432114
PRE,37,96.94291687,189.0386771,82.40146676,106.6371993,171.8797733,164.8029556,159.9557873,38.77716498,87.24861128,169.6500946,116.3314861,48.47146064,48.47145126,58.16573865,63.01290193
PRE,38,82.40147118,145.4143687,116.3314905,106.6371993,131.2970551,174.4972468,150.2615143,NaN,96.94290804,174.4972402,121.1786317,63.01290193,67.86003431,63.01290193,87.24862121
PRE,39,38.77716498,169.6500968,77.55432114,77.55432555,112.1992873,111.4843493,140.567212,NaN,145.4143687,174.4972402,82.40146897,53.31860627,33.93001936,77.55431231,53.31859744
PRE,40,135.7200686,140.5672231,96.94290253,101.7900537,152.7820143,126.0257906,169.650088,NaN,72.70716668,135.7200598,130.872934,48.47146064,77.55433438,38.77715615,106.6372125
PRE,41,174.4972292,169.6501012,67.8600321,101.7900537,155.1692278,116.3314773,208.4272452,NaN,145.4143554,150.2615231,77.55432114,33.93001936,63.01288427,72.70719317,72.70717993
PRE,42,63.01288427,53.31860185,101.7900493,126.0257774,88.32710789,179.3443892,96.94290363,NaN,135.7200664,150.2615231,169.650088,53.31861068,67.86003375,43.62431944,63.01290193
PRE,43,140.5672231,58.16574748,77.55432555,126.0257774,81.16544524,92.09577567,208.4272436,NaN,92.09576463,169.6500802,96.94291246,77.55432114,53.31859744,33.9300017,43.62431944
PRE,44,87.24862563,58.16575189,82.40146676,121.1786406,83.55265435,135.7200774,193.8858249,NaN,82.40147118,203.5801162,126.0257685,38.77717381,58.16574527,63.01287544,72.70720201
PRE,45,58.16575631,58.16575189,92.09576739,121.1786406,102.6504155,276.2872828,150.2614967,NaN,72.70718434,203.5801162,96.94291467,63.01290193,43.62431061,58.16574748,87.24863004
PRE,46,101.7900493,87.24863004,72.70718876,87.24862563,109.8120782,208.4272441,169.650078,NaN,96.94290363,150.2615143,63.01287544,58.16574085,48.47146064,92.09577567,106.6372037
PRE,47,130.872923,87.24863004,92.09575801,77.55432555,190.9775124,159.9557923,164.8029379,NaN,135.7200598,198.7329727,67.86003872,38.77716057,63.01289089,38.77716222,67.86002989
PRE,48,106.6371949,116.3314872,77.55433438,63.0128931,138.4586968,174.4972513,208.4272618,NaN,96.94291246,198.7329727,72.70718434,38.77716498,72.70717993,58.16573865,63.0128931
PRE,49,NaN,NaN,77.55433438,NaN,169.4925443,145.414351,NaN,NaN,NaN,130.872934,130.872934,48.47145126,72.70717772,67.86002989,38.77717381
POST,1,179.0414426,48.47145181,169.6501012,106.6372037,305.5640375,96.94291687,169.650099,38.77716112,116.331495,310.2172978,140.5672076,58.16574306,67.86002989,43.6243073,87.24860797
POST,2,124.1353946,53.31860627,72.70717551,96.94290363,162.3309015,106.6371905,130.872934,53.3186013,184.1915248,159.9558045,290.8287109,72.70717993,72.70717993,63.01288427,92.09576684
POST,3,248.2707716,53.31860627,140.5672231,106.6371905,207.6880666,130.8729318,116.3314861,38.77716057,116.3314817,159.9557879,77.55433438,63.01290193,77.55432555,43.62431061,130.872923
POST,4,200.5263996,43.62430564,135.7200774,106.6371905,157.556459,121.1786494,121.1786306,53.31859744,77.55432555,155.1086599,159.95581,82.40148442,53.31859965,43.62431061,96.9428948
POST,5,155.1692345,38.77716057,135.7200686,82.40147118,114.5865052,213.2743897,111.4843537,43.62431061,237.5101184,130.8729186,242.3572723,53.31859302,77.55432114,43.62430619,63.01291076
POST,6,164.7181151,53.31860185,135.7200686,121.1786306,145.6203539,164.8029335,155.10865,38.77716498,140.5672098,174.4972336,174.4972248,126.025773,72.70717772,38.77716498,53.31858419
POST,7,124.135377,82.40147559,121.1786406,111.4843427,243.4963181,208.4272618,92.09576242,43.62430564,145.4143554,155.1086599,164.8029401,38.77715615,87.24861238,29.08288257,63.01290193
POST,8,188.5903231,121.1786273,92.09575801,87.24863004,93.10154156,179.3443748,101.7900669,77.55432555,135.7200774,140.5672319,290.8287374,77.55433438,96.9428948,38.77717381,92.09577567
POST,9,205.3008344,106.6371943,121.1786273,130.8729296,245.8835713,189.0386798,126.0257774,72.70717772,101.7900493,213.2743721,155.1086599,82.40146676,82.40146897,48.47143857,92.09574918
POST,10,179.0414161,48.47145402,155.1086467,130.8729296,281.6918316,111.4843493,72.70718434,58.16575631,96.94290804,140.567212,285.9815752,58.16574306,101.7900404,63.01288427,53.31858419
POST,11,214.8497149,33.93001495,155.1086467,116.3314861,162.3308905,189.0386611,96.94290363,48.47145071,135.7200686,169.6500968,159.9557873,77.5543388,63.01287544,33.93001495,58.16574748
POST,12,162.3309081,58.16574085,72.70719317,116.3314861,253.0452207,77.55433052,96.9428948,43.6243084,92.09575801,150.2615055,208.4272485,82.40148442,82.40147118,33.93003702,92.09574918
POST,13,205.3008277,63.01288868,82.40146676,101.7900493,121.748159,159.9557923,111.4843405,43.62430178,82.40148442,135.7200686,198.7329694,67.86004314,58.16574527,53.31860185,48.47145181
POST,14,162.3308905,63.01288868,87.24861238,111.4843493,255.4324254,126.0257785,116.3314972,67.86003431,116.3314861,135.7200598,227.8158266,67.86003872,77.55432555,43.62429295,82.40146676
POST,15,264.9812972,48.47145402,92.09575801,111.4843493,179.0414227,135.7200686,77.55432555,67.86003431,174.4972336,213.2743909,121.1786273,48.47146506,77.55432445,43.62429295,53.31861951
POST,16,205.3008355,87.24861238,126.0257774,92.09577567,133.6842576,159.9557967,82.40146676,58.16574306,159.9557879,213.2743909,184.1915248,43.62430178,67.86004314,63.01290193,67.86002989
POST,17,164.7181084,43.62431061,126.0257774,96.94290142,159.9436725,111.4843499,77.55431231,43.62431061,189.0386749,256.898718,174.4972292,67.86002989,179.3443969,48.47146064,43.62431061
