Treatment,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
PRE,1,-450.7845076,-445.9373664,-436.2430707,-334.4530485,-202.9136043,-198.7329705,-87.24862563,-184.1915149,-179.3443792,-169.6500791,-164.8029401,-242.3572723,-281.1344373,-130.872923,-596.1988719
PRE,2,-281.1344461,-261.7458548,-436.2430707,-368.383032,-276.9173869,-189.0386661,-77.55432114,-164.8029357,-193.8858205,-261.7458371,-179.3443748,-179.3443704,-189.0386611,-145.4143687,-285.9815697
PRE,3,-460.4788342,-363.5359041,-499.2559815,-402.3130514,-233.9474772,-222.968681,-87.24861459,-174.4972248,-169.6501056,-237.5101134,-208.4272441,-174.4972292,-184.1915204,-159.9558056,-295.675883
PRE,4,-353.8416117,-363.5359041,-499.2559815,-392.6187607,-231.5602284,-227.8158222,-87.24861238,-164.8029424,-227.8158266,-208.4272596,-213.2743903,-232.6629678,-135.7200598,-184.1915204,-523.4917273
PRE,5,-242.3572547,-533.1859661,-305.3701478,-344.1473227,-210.075268,-145.4143599,-77.55432114,-145.4143554,-222.9686788,-184.191516,-198.7329573,-169.6500791,-218.1215348,-150.2615055,-416.8545324
PRE,6,-305.3701478,-533.1859661,-261.7458813,-363.5358864,-267.3685151,-227.815831,-82.40147559,-150.2615055,-324.7587391,-213.2744074,-135.7200686,-150.2615011,-305.3701566,-169.6500791,-664.0588974
PRE,7,-213.2744118,-397.4659278,-518.6445463,-426.5487795,-233.9474551,-237.5101179,-77.55432114,-169.6500924,-227.8158222,-164.802933,-121.178645,-164.8029335,-227.8158354,-155.1086599,-562.2688741
PRE,8,-218.1215354,-397.4659278,-368.3830364,-441.0902164,-233.947464,-218.1215541,-77.55433438,-155.1086511,-285.9815719,-189.0386605,-155.1086511,-140.5672275,-179.3443698,-140.5672231,-363.5358858
PRE,9,-295.6758565,-271.4401372,-465.325971,-319.9115802,-250.6579918,-213.2743897,-96.94290584,-130.8729318,-256.8987136,-222.968681,-203.5801117,-121.1786317,-126.0257752,-169.6500924,-310.217311
PRE,10,-295.6758565,-276.2873093,-450.7845341,-324.7587391,-279.3046048,-203.5800996,-92.09576021,-150.2614967,-222.968681,-227.8158354,-256.8986915,-155.1086489,-155.1086467,-159.9557923,-266.5929922
PRE,11,-252.0515553,-276.2873093,-450.7845341,-397.4658903,-281.6918228,-232.6629722,-77.55432114,-203.5800963,-227.8158222,-198.7329694,-184.1915315,-184.1915204,-159.9557879,-164.8029512,-552.5745635
PRE,12,-436.2430862,-227.815831,-387.7716322,-397.4659058,-207.6880666,-164.8029335,-106.6371971,-164.8029401,-203.5800985,-169.650088,-159.9557923,-184.1915248,-145.4143775,-189.0386661,-339.3001715
PRE,13,-455.6316665,-208.4272265,-382.9244866,-368.3830409,-260.206879,-368.3830585,-82.40147118,-150.2614967,-281.1344329,-208.4272397,-179.3443704,-222.968681,-300.5230242,-135.7200686,-339.3001848
PRE,14,-189.0386793,-159.9558144,-300.5230463,-382.9244689,-243.4963357,-203.5801073,-77.55431231,-164.8029556,-222.9686942,-184.1915315,-135.7200686,-164.8029379,-159.9557967,-159.9558034,-329.6058847
PRE,15,-198.7329573,-247.2043959,-426.5487972,-445.9373797,-233.947464,-290.8287241,-87.24861238,-159.9557967,-227.8158443,-179.3443869,-77.55432114,-155.1086423,-155.108661,-179.344388,-348.9944672
PRE,16,-271.4401372,-421.7016493,-426.5487972,-324.7587567,-276.9173957,-227.8158354,-82.40146234,-150.2615011,-213.2744074,-213.274403,-82.40146897,-135.7200686,-271.4401416,-150.2615055,-310.2172978
PRE,17,-378.0773321,-348.994476,-431.3959295,-382.9245042,-307.9512554,-300.5230132,-87.24861238,-159.9557967,-300.5230021,-232.6629855,-184.1915204,-106.6371943,-237.5101179,-145.4143554,-407.160197
PRE,18,-329.605867,-348.994476,-499.2559815,-329.6058715,-274.5301954,-155.1086599,-82.40147118,-155.1086445,-353.8416084,-164.8029335,-179.3443704,-150.2615121,-213.2743897,-145.4143588,-324.7587347
PRE,19,-285.9815697,-164.8029512,-508.9502374,-319.9116023,-272.1429687,-300.5230286,-77.55432114,-222.9686898,-416.854486,-130.872923,-198.7329529,-174.4972292,-252.0515503,-184.1915248,-494.4088182
PRE,20,-353.8416305,-329.6058869,-508.9502374,-373.2301821,-248.2707893,-271.4401372,-87.24861459,-140.5672319,-300.5230198,-145.4143554,-208.4272441,-179.3443869,-232.6629905,-159.9557923,-465.3259627
PRE,21,-276.287274,-169.6500791,-489.5617256,-397.4658903,-243.4963302,-218.121553,-92.09575801,-208.4272618,-310.2172978,-208.4272618,-155.1086467,-135.7200664,-169.650078,-145.4143599,-421.701656
PRE,22,-382.9244777,-358.688759,-489.5617256,-387.7716322,-241.1091178,-232.6629711,-87.24862232,-159.9557879,-266.5930093,-203.5801117,-155.1086423,-184.191516,-164.8029335,-189.0386749,-528.3388354
PRE,23,-412.0073691,-242.3572723,-300.5230375,-319.9115846,-226.7857925,-169.6500836,-77.55432114,-155.1086467,-208.4272441,-213.2743897,-145.4143554,-169.6500858,-145.4143588,-155.1086445,-261.7458371
PRE,24,-368.3830409,-179.3443726,-445.9373708,-387.7716145,-186.2030875,-203.5800897,-77.55432555,-145.4143681,-247.2044091,-179.3443704,-126.0257774,-159.9557967,-276.2872828,-169.6501012,-484.7145402
