Treatment,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
PRE,1,-72.70718545,-82.40147007,-106.6371949,-72.70717551,-78.77822731,-334.4530215,-92.09576242,-43.62431061,-77.55432555,-150.2615033,-63.01288427,-63.01288427,-96.94290584,-29.08287043,-82.40147118
PRE,2,-96.94290142,-72.70717551,-135.7200686,-87.2486168,-152.7820176,-164.8029379,-101.7900493,-48.47145126,-77.55432776,-174.4972336,-67.86003872,-53.31860627,-58.16574085,-48.47145844,-63.01288427
PRE,3,-72.70717883,-72.70717772,-111.4843383,-116.3314861,-181.4286428,-169.6500858,-87.24860355,-38.77716388,-92.09576242,-164.8029379,-67.86002989,-43.62431061,-130.8729186,-43.62431061,-77.55433438
PRE,4,-77.55432445,-121.1786295,-121.1786362,-63.01288648,-114.586514,-106.6371949,-96.9428948,-48.47145237,-106.6371927,-155.1086688,-58.16573865,-82.40146731,-92.09575801,-33.93001495,-63.01288427
PRE,5,-77.55432445,-77.554325,-58.16574637,-106.6371949,-119.360961,-397.4659323,-77.55432114,-38.77716057,-96.94290253,-106.6371943,-48.47145733,-111.4843405,-111.4843394,-29.08287374,-43.6243073
PRE,6,-82.40147007,-72.70717551,-116.3314927,-116.3314972,-145.6203561,-218.1215348,-82.40148442,-48.47145623,-135.7200697,-126.0257685,-87.24862121,-116.3314994,-101.7900481,-43.62430619,-48.4714474
PRE,7,-77.55432555,-184.1915342,-101.7900515,-53.31860185,-162.3308949,-203.5800941,-67.86004755,-48.47145402,-77.55432555,-164.80296,-67.86003651,-92.09576684,-155.108661,-53.31859302,-38.77717381
PRE,8,-67.86003375,-101.7900515,-96.94290418,-145.4143681,-95.48875288,-397.4659323,-67.86003872,-63.01288648,-87.24861238,-140.5672131,-72.70717772,-33.93001936,-126.0257685,-29.08287043,-43.62431061
PRE,9,-145.4143687,-164.8029424,-155.1086511,-87.2486168,-126.5226037,-252.0515547,-67.86002989,-53.31860185,-72.70717772,-155.1086688,-63.01289531,-82.40147559,-203.580098,-48.47145623,-43.62431502
PRE,10,-92.09576573,-169.6500968,-92.09575801,-63.01288868,-95.4887882,-261.7458371,-67.86003431,-43.6243073,-72.70717772,-174.4972513,-53.31860185,-58.16574748,-87.2486168,-29.08287595,-53.31859744
PRE,11,-82.40147559,-92.09576463,-116.3314861,-87.24861238,-83.55266318,-305.3701478,-82.40146676,-53.31859633,-87.2486168,-135.720078,-82.40147559,-116.3315038,-87.24861459,-38.77715615,-87.24862066
PRE,12,-106.6371949,-285.9815741,-82.40146897,-174.4972253,-81.16544304,-256.8987136,-101.7900669,-38.77716498,-92.09576242,-174.4972292,-58.16572981,-58.16574306,-106.6371949,-33.9300017,-87.2486168
PRE,13,-82.40146676,-126.0257779,-87.24861238,-82.40147559,-112.1992917,-256.8987004,-87.24863004,-38.77716112,-106.6371971,-155.1086423,-53.31860627,-67.86003431,-72.70717772,-48.4714474,-77.55432555
PRE,14,-72.70717772,-247.2044097,-72.70717772,-116.3314861,-140.8459202,-193.8858028,-53.31861068,-38.77716388,-135.7200598,-92.09576242,-53.31859854,-72.70717993,-96.94291687,-29.08288257,-63.0128931
PRE,15,-101.7900515,-116.3314773,-140.5672098,-82.40146621,-145.6203682,-324.7587479,-77.55432114,-33.93001881,-101.7900515,-130.8729186,-121.1786317,-82.40147118,-63.01289751,-63.0128931,-58.16574361
PRE,16,-121.1786362,-169.6500836,-150.2615099,-72.70720201,-124.1353858,-179.344377,-77.55434763,-48.47145402,-82.40146786,-159.9557923,-72.70717993,-101.7900581,-82.4014778,-38.77718264,-58.16575189
PRE,17,-87.24861238,-77.55432997,-96.94290363,-111.4843399,-164.7181217,-315.064439,-96.94290363,-43.62430619,-101.7900515,-164.8029335,-58.16574637,-130.8729219,-38.77716057,-53.31860185,-43.62430619
PRE,18,-53.31860185,-111.4843361,-82.40145793,-53.31859633,-81.16544524,-193.8858117,-92.09576684,-48.47145071,-58.16574637,-159.9558011,-53.31860185,-63.01290193,-116.3314972,-43.62431061,-53.31861068
PRE,19,-101.7900493,-159.9558061,-77.55432114,-121.1786273,-148.007574,-319.9116067,-72.70717993,-43.62431116,-116.331495,-145.4143687,-82.40147118,-92.09576573,-58.16574085,-67.86003872,-33.93002819
PRE,20,-58.16574527,-106.6371943,-96.94290363,-82.40146731,-112.1993005,-174.4972336,-72.70718434,-53.31859744,-96.94291246,-106.6372214,-63.01288868,-145.414351,-67.86003431,-33.93003702,-29.08287208
PRE,21,-43.62431061,-281.1344152,-82.40146676,-72.70717772,-102.6504155,-252.0515547,-82.40146676,-43.62431061,-121.1786295,-164.80296,-77.55432224,-121.1786323,-72.70717772,-43.62429295,-53.31859854
PRE,22,-121.1786317,-106.6371949,-111.4843449,-116.3314905,-140.845929,-310.2172934,-77.55432114,-53.31859744,-92.09575745,-174.4972336,-63.01288924,-72.70717993,-82.40147559,-33.93001936,-106.6371949
PRE,23,-96.94290804,-150.2615187,-121.1786273,-92.09576242,-107.4248503,-203.5800985,-67.86002989,-48.47145402,-77.55432445,-155.1086555,-53.31859744,-77.55432334,-63.01288427,-43.62431061,-82.40147559
PRE,24,-140.5672142,-126.0257906,-77.55432114,-96.94290418,-119.3609455,-261.7458416,-72.70717551,-48.47145071,-82.40147559,-164.8029335,-53.31860185,-116.331495,-63.01289089,-38.77716498,-67.86003651
PRE,25,-67.86003431,-203.5801162,-126.0257774,-96.94290142,-124.1353858,-222.9686987,-82.40146676,-38.77716057,-111.4843383,-106.6372037,-63.01288427,-82.40146731,-72.70717551,-38.77716057,-48.47145733
PRE,26,-58.16574637,-53.31859302,-101.7900575,-77.55432997,-102.6504155,-213.2743853,-67.86003431,-29.08288257,-72.70717772,-140.5672231,-53.31858419,-96.94291687,-116.3314861,-43.62430564,-48.47145181
PRE,27,-82.40146897,-266.592996,-111.4843449,-72.70718545,-95.48875729,-203.5800985,-87.24861238,-43.6243084,-77.55432445,-150.2615011,-67.86003431,-116.331495,-159.9557967,-38.77716388,-53.31860627
PRE,28,-96.94290804,-96.94289921,-121.1786317,-53.31859744,-109.8120782,-159.9557923,-77.55432114,-38.77716498,-96.94290804,-135.720062,-92.09576242,-33.93001936,-174.4972226,-38.77718264,-77.55432445
PRE,29,-126.0257774,-227.8158354,-82.40147007,-101.7900493,-124.1353858,-271.4401461,-72.70716668,-63.01288758,-82.40146897,-150.2615121,-67.86003431,-116.3314817,-43.62430619,-53.31859965,-48.47145071
