Treatment,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
PRE,1,6.266450557,5.058806985,6.711279216,7.761659669,10.27307928,6.576489752,5.564470128,7.137600284,6.713638176,8.944173325,11.77139661,10.34100967,11.47596235,6.887166664,6.020927425
PRE,2,8.10555259,4.990578961,6.534126695,9.792220943,10.20062857,6.750947892,5.539391464,6.596314395,7.297823184,10.43411856,11.00886672,11.07677718,7.472905405,6.789659089,6.56694684
PRE,3,8.225323695,4.643231453,7.328919056,8.014635943,10.73507339,6.399582581,5.00797572,6.683395867,6.765848819,10.74150465,12.41334957,10.49108451,10.71773154,6.765228923,7.01546604
PRE,4,7.018269684,5.377373898,6.894763627,9.440933542,10.91670219,6.220638766,5.541355855,6.505513732,8.828915383,9.697127438,11.16495966,10.4838156,9.371756151,6.425359777,6.767709587
PRE,5,6.718771519,5.220345698,7.702878915,7.469619357,10.3362985,6.460022117,5.015899279,6.276755301,7.127596882,9.321992828,11.44494954,11.09254409,10.33217989,6.487164568,6.36507165
PRE,6,7.99621129,5.321401545,7.000159711,6.819696306,10.72097084,6.721614032,5.470771359,6.567229645,8.133899277,10.27526592,11.55277491,9.040960307,7.979119682,6.644006648,6.201638121
PRE,7,8.933995288,5.099395272,6.406234041,6.503588473,10.45351032,5.988147101,5.111580631,6.633496387,7.196777765,9.075229875,11.19927338,10.65934848,11.0561952,6.64918585,6.279697076
PRE,8,10.78881684,5.198192615,7.021740158,9.074805181,10.40111457,6.216115953,5.426783136,6.61208118,8.261860128,10.23532154,12.1262095,10.67875021,9.451180406,6.315488764,6.2979812
PRE,9,9.518003641,5.204838229,7.025942442,11.12971094,10.28280635,6.724039277,5.019812272,6.824623024,6.77039676,10.35383891,12.20917007,10.56495172,10.26377308,6.907227888,6.035549006
PRE,10,8.200866017,5.162860276,7.484520227,6.618827887,10.41785251,7.024542037,5.121031379,7.30452842,6.537535902,9.927410084,12.03566079,10.42489285,10.76450298,6.584397473,6.330690299
PRE,11,6.973622587,5.25766307,7.578123974,9.668919946,10.87108793,6.559799493,5.491169837,7.079447003,7.765018425,10.43262066,12.05637904,11.18588418,10.8629515,6.162289123,6.58249213
