Treatment,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,
PRE,1,3.524769564,4.730197431,6.354308344,6.382781758,7.337376264,6.043532403,2.042757575,6.323897396,3.654447665,5.207253288,5.749552949,3.601712441,5.49479686,2.576583295,5.813559954,
PRE,2,4.711485866,5.654921167,6.354308344,6.382781758,7.29300455,6.543923889,2.063268789,6.039427711,3.974184995,5.626388908,5.908498139,2.652252798,5.027631504,2.503863321,6.235152439,
PRE,3,3.777922422,5.654921167,6.342363138,5.800035618,7.657943847,6.10888337,2.38578085,6.296807695,3.249036208,4.358835653,6.179232286,2.863613443,5.892442153,3.104880638,6.300107619,
PRE,4,3.669029249,4.524373352,6.138935756,5.879617258,7.540670922,6.535831272,2.170254004,6.203718202,4.266756731,5.147730611,6.136536212,3.64108981,4.845146361,3.160312636,6.12557829,
PRE,5,3.367430881,5.665689269,6.477793846,5.778276993,7.067021365,5.640831504,1.999708733,6.193532285,4.829375678,4.419912343,5.93347715,2.825327545,4.84010843,4.708298971,6.185417673,
PRE,6,3.959422051,5.665689269,6.388869212,5.92420736,7.622362652,6.068337197,2.297365594,6.355399924,4.917043187,4.146275316,5.892209527,2.904677189,5.135355127,2.708099954,6.491023577,
PRE,7,2.927774391,4.879930479,6.829683256,6.295487151,7.287555469,6.872495231,1.972464004,6.121971432,3.922700262,4.925810764,5.723731368,2.633151581,4.463190492,2.735280656,5.972274742,
PRE,8,4.043322507,4.879930479,5.711540982,6.105494296,6.763927703,6.394951627,1.87786672,6.102480844,5.501797934,4.067989282,5.482258745,3.23338801,4.322557247,3.192479655,6.16116826,
PRE,9,4.059427945,5.33146908,6.18526898,6.176249558,7.076429785,6.218933734,1.975883262,5.774248831,4.36073307,3.934320761,5.510271381,2.929136745,5.894538502,2.819166249,6.320973386,
PRE,10,5.802396612,4.757407345,6.365580458,6.08890333,7.210960583,6.210773137,1.690431727,6.212257731,3.885703102,5.099395105,5.757161297,2.862643618,4.48235919,3.396379341,5.628811767,
PRE,11,4.21066613,4.377281145,6.163111369,6.253180168,7.46678062,6.397990535,2.043637002,6.409123591,2.80400093,4.695720577,5.119107253,3.253568409,5.647678811,2.56924312,6.092224635,
PRE,12,4.119163085,4.137635614,6.489022945,6.338498553,6.617813677,6.385971396,1.856961002,5.976572286,5.366875174,4.258213156,5.249703649,2.964800564,5.137536012,3.294144239,5.801924276,
PRE,13,3.997158505,4.840291247,6.384159219,6.380389115,7.489504816,5.947666264,1.828909507,6.065004464,4.50914117,4.679911765,5.641798503,2.936621585,4.925901327,2.760272759,6.071440703,
PRE,14,2.756000337,3.284036203,6.483803703,6.408040394,6.953457857,6.197994926,2.351621255,5.634380673,4.820187109,4.035143996,5.49075769,3.52902579,5.279947553,2.806673341,5.809159706,
PRE,15,3.316149309,4.142113308,5.918021011,6.22449228,6.932455115,6.64974569,2.179862784,6.203718202,5.674195256,4.485384807,5.485560515,2.753291765,4.12261188,3.309447877,6.165875346,
PRE,16,4.573373365,4.952396277,6.358092032,6.481586448,6.501811511,6.623813921,1.901390299,6.358673839,4.271936734,5.295269922,6.036461579,2.352419525,5.818271797,2.857096858,6.011468238,
PRE,17,4.39090025,5.46042383,6.598709681,6.481586448,7.757549892,6.823664967,1.971383653,6.192713696,4.428595436,4.545067671,4.76456059,3.158382509,4.562126184,2.63241524,6.319438133,
PRE,18,3.81930294,4.350239346,6.598709681,6.141634148,6.465885797,6.876301434,2.281583038,5.97442384,5.044302024,3.643625874,5.576933215,2.727535017,5.954904061,2.633593697,5.940112611,
PRE,19,4.386927452,4.387424271,6.31687827,6.402113666,6.40265322,6.374585428,2.487787291,5.776381746,5.197933532,3.733806551,5.020968256,3.178028613,4.955272526,3.174183983,6.026413839,
PRE,20,5.125576642,4.684433515,6.255172268,6.373206438,7.228649821,6.105494391,1.816964516,6.137586104,4.98888067,4.580666881,6.296220872,2.828684064,5.437101947,2.810748665,5.919335977,
PRE,21,3.205354111,3.765584352,6.326235458,6.373206438,7.732907231,6.501305081,1.76963658,6.282710933,3.948617706,4.617851288,5.238817824,2.728396503,4.150849649,2.474411084,5.495291295,
PRE,22,5.681969344,4.961560569,6.344185661,6.342654615,6.970399004,6.139235513,1.743033937,5.813638684,4.683962287,4.276097811,5.655805602,2.74915394,4.984946976,2.864998144,6.012078916,
PRE,23,4.378475886,4.051911587,6.344185661,6.342654615,6.485023508,5.458020853,1.696988676,5.770771543,4.094008173,4.753966193,6.110539455,2.597324107,3.95380677,2.826446924,6.142233678,
PRE,24,4.618517962,5.126537402,6.208769358,6.482158687,6.829084646,7.082626272,1.912069916,6.306263717,3.384920503,3.794919353,5.989218913,2.419599325,5.50130412,2.890257859,5.902995506,
PRE,25,5.297054423,4.671802034,6.369866409,6.217747378,6.074462412,6.172668901,1.974624098,6.044443868,5.04925862,3.073467632,5.741856634,2.945313758,3.852506284,2.661035099,5.379723621,
