Treatment,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
PRE,1,2.988623243,3.586217156,4.077590984,4.621565663,6.382897394,3.330386243,1.925090335,1.653978137,2.253573069,5.372924367,1.692619135,2.413646664,4.505350665,2.294930004,1.743033937
PRE,2,2.491621836,3.380035186,3.634973401,4.621565663,6.491022698,3.83803583,2.169578604,1.646101347,2.502182718,5.372924367,1.945694347,2.743439375,4.169519551,2.921910257,1.741081864
PRE,3,2.857513042,3.639243825,3.617040218,4.657440433,6.03142674,3.547894732,2.647560247,1.594834768,2.468706605,5.88545005,2.135794632,2.929136601,4.059745301,2.762122594,1.601426925
PRE,4,2.206513526,3.705114052,3.816525653,5.020434739,7.135671705,4.014693413,2.880339187,1.649537769,2.587938513,5.747808067,2.114386155,2.681154958,4.407949961,2.30611932,1.798282462
PRE,5,2.234599602,3.860331097,3.366205241,4.2879531,6.759060342,3.512925376,2.600447397,1.708672161,3.276533693,5.198969448,1.867806185,2.609059075,5.09579614,2.643890043,1.75568756
PRE,6,3.166098134,3.643165024,3.875833493,4.2879531,7.001676001,4.004971122,2.300123998,1.705310844,3.001885821,5.168502521,2.02033523,2.69030342,3.659964486,2.70073153,1.916477709
PRE,7,2.049083459,4.804809348,3.658011666,3.856585896,6.251033571,3.428523469,2.2568615,1.621920583,3.0766196,4.482163818,2.008260941,2.769655417,4.374194674,2.323074396,1.744594374
PRE,8,2.160446794,4.712516596,3.518140502,3.987187724,6.531638808,3.89380318,2.373904068,1.624165187,2.624154243,5.531201908,2.195310338,2.590026363,3.87682182,2.343786959,1.997566966
PRE,9,2.581368839,4.907899947,3.676360046,4.199766718,6.996255512,4.894295274,2.735710706,1.646910295,2.853764926,5.562513698,1.911150882,2.72997543,5.158081403,2.13562402,1.753355932
PRE,10,2.739147595,4.077696534,3.830285381,4.181515904,6.323079365,3.657436875,2.221335047,1.657605741,2.187259967,5.227826552,2.173122739,2.519866005,4.447001522,2.271782355,2.309840733
