TREATMENT,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
PRE,1,-6.510846615,-3.893420935,-5.987361431,-6.150950909,-7.460563183,-5.987361431,-4.351469994,-6.347257614,-6.052796841,-6.216386318,-5.987361431,-6.412693501,-5.987361431,-4.482341766,-4.973108768
PRE,2,-6.314539909,-4.678648472,-5.987361431,-6.150950909,-7.927855492,-5.529312134,-3.762549639,-5.88920784,-6.2491045,-6.085515022,-5.95464325,-5.987361431,-5.987361431,-5.88920784,-5.496593952
PRE,3,-6.412693501,-4.678648472,-5.758336544,-5.88920784,-7.99230957,-6.150950909,-3.827985287,-5.921925545,-5.95464325,-5.88920784,-6.052796841,-6.47812891,-5.88920784,-5.234851837,-5.496593952
PRE,4,-6.510846615,-3.893420935,-5.562029839,-5.627465248,-7.895627975,-5.496593952,-3.893420935,-5.987361431,-5.758336544,-6.150950909,-6.118233204,-6.216386318,-5.921925545,-5.169415951,-5.103980541
PRE,5,-6.347257614,-4.057010174,-6.052796841,-6.183668613,-7.525017262,-5.692901134,-3.893420935,-6.347257614,-6.281822205,-6.150950909,-6.020079136,-6.412693501,-5.398440838,-5.529312134,-5.562029839
PRE,6,-6.412693501,-4.057010174,-6.150950909,-6.183668613,-8.024536133,-5.791054249,-3.958856583,-6.2491045,-6.281822205,-6.314539909,-5.921925545,-6.216386318,-5.398440838,-5.791054249,-4.613213062
PRE,7,-6.314539909,-3.893420935,-6.216386318,-6.150950909,-7.766719818,-6.118233204,-3.729831934,-6.314539909,-6.281822205,-6.314539909,-5.95464325,-6.47812891,-6.020079136,-5.496593952,-4.744084358
PRE,8,-6.445411205,-3.402653456,-6.216386318,-6.150950909,-7.976195812,-5.562029839,-3.631678104,-6.183668613,-6.281822205,-6.2491045,-5.758336544,-6.445411205,-6.020079136,-5.202133656,-4.384188175
PRE,9,-6.576282501,-3.369935751,-5.921925545,-5.95464325,-8.137331009,-5.594747543,-3.795267582,-5.95464325,-6.2491045,-6.2491045,-5.431158543,-5.921925545,-5.758336544,-5.856490135,-5.202133656
PRE,10,-6.445411205,-3.762549639,-5.692901134,-6.183668613,-8.07287693,-5.987361431,-3.893420935,-6.150950909,-6.2491045,-6.085515022,-5.921925545,-6.412693501,-6.281822205,-5.07126236,-4.809519768
PRE,11,-6.54356432,-3.369935751,-6.216386318,-6.052796841,-8.024536133,-6.150950909,-3.435371399,-6.183668613,-6.085515022,-6.020079136,-6.052796841,-6.47812891,-6.281822205,-5.529312134,-4.874955654
PRE,12,-6.54356432,-3.20634675,-6.216386318,-6.052796841,-8.056763649,-5.529312134,-3.762549639,-6.412693501,-6.2491045,-6.150950909,-6.118233204,-6.445411205,-6.085515022,-5.823771954,-5.005826473
PRE,13,-6.609000206,-3.337217808,-6.118233204,-5.594747543,-7.750606537,-5.463876247,-3.762549639,-6.216386318,-6.216386318,-6.150950909,-5.692901134,-6.2491045,-5.88920784,-5.267569542,-4.449624062
PRE,14,-6.510846615,-3.337217808,-6.118233204,-5.463876247,-8.056763649,-5.921925545,-3.5989604,-5.856490135,-6.216386318,-6.150950909,-5.921925545,-5.791054249,-5.660182953,-5.07126236,-4.449624062
PRE,15,-6.510846615,-3.468089104,-6.216386318,-6.118233204,-8.137331009,-5.791054249,-3.827985287,-6.052796841,-6.183668613,-6.020079136,-6.020079136,-6.379975319,-5.758336544,-5.627465248,-4.613213062
PRE,16,-6.445411205,-3.468089104,-6.216386318,-6.118233204,-8.185671806,-6.085515022,-3.86070323,-6.379975319,-6.183668613,-5.987361431,-6.150950909,-6.412693501,-5.496593952,-5.627465248,-5.234851837
PRE,17,-6.347257614,-3.533524752,-5.856490135,-6.183668613,-8.105104446,-5.529312134,-3.86070323,-6.2491045,-6.347257614,-5.88920784,-6.150950909,-6.2491045,-5.660182953,-5.660182953,-5.463876247
PRE,18,-6.576282501,-3.5989604,-6.183668613,-6.183668613,-8.201785088,-5.562029839,-3.631678104,-6.183668613,-6.347257614,-5.823771954,-5.660182953,-6.216386318,-5.823771954,-4.711366177,-4.809519768
PRE,19,-6.412693501,-3.5989604,-6.183668613,-6.150950909,-8.105104446,-5.692901134,-3.664396048,-6.314539909,-6.347257614,-6.020079136,-5.758336544,-6.314539909,-5.95464325,-5.758336544,-5.725618839
PRE,20,-6.47812891,-3.468089104,-6.183668613,-5.856490135,-7.879514694,-5.95464325,-3.664396048,-6.281822205,-6.314539909,-6.150950909,-5.856490135,-6.412693501,-5.95464325,-5.202133656,-5.496593952
PRE,21,-6.576282501,-3.369935751,-6.183668613,-5.987361431,-8.056763649,-5.562029839,-3.533524752,-6.052796841,-6.118233204,-6.150950909,-6.183668613,-6.216386318,-5.823771954,-5.038544655,-5.365722656
PRE,22,-6.54356432,-3.27178216,-6.118233204,-5.987361431,-7.718379498,-6.150950909,-3.664396048,-6.020079136,-6.216386318,-5.921925545,-5.856490135,-6.445411205,-6.052796841,-5.594747543,-5.07126236
PRE,23,-6.445411205,-3.304500103,-6.118233204,-6.118233204,-7.782833576,-5.398440838,-3.991574287,-6.118233204,-6.118233204,-6.379975319,-5.856490135,-6.2491045,-6.052796841,-5.627465248,-4.874955654
PRE,24,-6.510846615,-3.402653456,-5.88920784,-6.118233204,-8.185671806,-5.496593952,-3.729831934,-6.379975319,-5.95464325,-6.379975319,-5.823771954,-6.445411205,-5.660182953,-5.791054249,-5.07126236
PRE,25,-6.576282501,-3.402653456,-6.118233204,-6.085515022,-8.07287693,-5.758336544,-3.729831934,-6.314539909,-6.052796841,-6.020079136,-6.020079136,-6.412693501,-5.88920784,-5.692901134,-5.594747543
PRE,26,-6.54356432,-3.664396048,-6.118233204,-6.085515022,-8.088990211,-5.88920784,-3.500806808,-5.921925545,-6.281822205,-6.216386318,-5.791054249,-6.281822205,-6.085515022,-5.88920784,-5.103980541
PRE,27,-6.510846615,-3.664396048,-6.085515022,-6.085515022,-8.201785088,-5.038544655,-3.991574287,-6.150950909,-6.281822205,-6.216386318,-5.791054249,-6.347257614,-5.823771954,-5.88920784,-3.86070323
PRE,28,-6.54356432,-3.239064455,-6.281822205,-6.052796841,-8.137331009,-5.005826473,-3.795267582,-6.347257614,-6.281822205,-5.88920784,-5.660182953,-6.2491045,-5.921925545,-5.169415951,-5.136698246
PRE,29,-6.347257614,-3.631678104,-6.281822205,-6.052796841,-8.169557571,-5.529312134,-3.762549639,-6.052796841,-6.281822205,-5.921925545,-5.758336544,-6.379975319,-5.921925545,-4.776802063,-5.365722656
PRE,30,-6.54356432,-3.631678104,-6.150950909,-6.183668613,-7.911741734,-5.823771954,-3.697113752,-6.314539909,-6.347257614,-6.2491045,-5.88920784,-6.445411205,-5.692901134,-4.449624062,-4.122445583
PRE,31,-6.54356432,-3.533524752,-6.150950909,-6.183668613,-8.15344429,-5.202133656,-3.926138639,-6.412693501,-6.118233204,-6.347257614,-6.150950909,-6.2491045,-5.856490135,-5.627465248,-4.874955654
PRE,32,-6.609000206,-3.566242456,-6.150950909,-6.118233204,-7.847287655,-5.95464325,-3.893420935,-6.281822205,-6.052796841,-6.347257614,-6.281822205,-6.379975319,-5.95464325,-5.823771954,-3.631678104
PRE,33,-6.609000206,-4.613213062,-6.150950909,-6.118233204,-8.056763649,-6.183668613,-3.566242456,-5.95464325,-5.856490135,-6.2491045,-6.020079136,-6.314539909,-5.95464325,-5.921925545,-4.253316879
PRE,34,-6.576282501,-4.613213062,-5.725618839,-6.085515022,-8.105104446,-6.183668613,-3.795267582,-6.183668613,-6.150950909,-6.2491045,-5.987361431,-6.47812891,-5.856490135,-5.660182953,-4.678648472
PRE,35,-6.54356432,-3.500806808,-6.2491045,-6.216386318,-7.976195812,-6.183668613,-3.762549639,-6.445411205,-6.314539909,-6.183668613,-5.88920784,-6.576282501,-5.856490135,-5.791054249,-4.809519768
PRE,36,-6.54356432,-3.533524752,-6.2491045,-6.216386318,-7.653925419,-6.020079136,-3.697113752,-6.085515022,-6.2491045,-6.085515022,-5.627465248,-6.412693501,-5.987361431,-5.365722656,-4.089727879
PRE,37,-6.47812891,-3.402653456,-6.085515022,-6.085515022,-7.99230957,-6.085515022,-4.122445583,-6.379975319,-6.2491045,-6.085515022,-5.88920784,-6.347257614,-5.562029839,-5.103980541,-4.318752289
PRE,38,-6.510846615,-3.402653456,-6.2491045,-6.020079136,-7.766719818,-5.496593952,-3.500806808,NaN,-6.347257614,-6.085515022,-6.216386318,-6.216386318,-6.020079136,-5.529312134,-5.038544655
