Treatment,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,
PRE,1,-252.0515371,-494.4088535,-324.7587391,-557.4217157,-296.0151657,-426.5487618,-184.1915425,-87.24863004,-242.35729,-542.8802568,-145.4143775,-145.4143521,-412.007325,-150.2615231,-111.4843405,
PRE,2,-208.4272265,-353.8416305,-305.3701389,-397.4659411,-319.8873804,-387.7716675,-252.0515547,-96.94290363,-203.580125,-542.8802568,-140.5672131,-189.0386705,-315.0644302,-150.2615143,-164.8029335,
PRE,3,-213.2743809,-523.4916478,-305.3701919,-571.9631482,-327.0489636,-382.9244512,-252.0515547,-87.2486168,-252.0515371,-412.0072896,-150.2615187,-213.2743721,-358.6887584,-135.7200774,-155.1086467,
PRE,4,-174.4972513,-368.3830696,-319.9115935,-504.103136,-412.98888,-431.3959428,-271.4401549,-92.09575801,-242.3572458,-552.574601,-198.7329529,-159.9557879,-305.3701566,-135.7200774,-179.3443892,
PRE,5,-174.4972513,-484.7145535,-232.6629546,-542.8802656,-358.0827968,-348.9945025,-266.5930093,-92.09576242,-319.9116288,-479.8673637,-111.4843405,-174.4972248,-436.2430354,-135.7200598,-159.9557879,
PRE,6,-310.2173375,-412.0073603,-348.9944319,-542.8802656,-393.8912072,-397.4658881,-242.3572679,-96.94290363,-295.6758742,-475.0202357,-155.1086423,-213.2744074,-285.9815564,-150.2615143,-164.8029335,
PRE,7,-193.8858249,-407.1602323,-285.9815918,-416.8544883,-307.9512907,-324.7587214,-198.7329705,-101.7900404,-242.3572458,-363.5358864,-164.8029517,-198.7329705,-426.5487618,-121.1786317,-126.0257685,
PRE,8,-179.3443792,-528.3388552,-295.6758477,-378.0773409,-386.7294827,-402.313069,-276.2873093,-96.94291687,-203.5801073,-450.7845253,-213.2743897,-155.1086511,-295.6758565,-140.5672142,-203.5801162,
PRE,9,-213.2743897,-436.2430354,-319.9115935,-397.4659278,-386.729518,-508.9502728,-305.3701919,-82.40146676,-222.9686633,-421.7016869,-174.4972248,-184.1915182,-538.0331112,-140.5672231,-145.4143599,
PRE,10,-203.5801162,-504.1031448,-315.0644832,-470.1731122,-315.1129092,-450.7845341,-213.2744074,-106.6372125,-198.7329441,-445.937362,-111.4843537,-150.2615143,-319.9115758,-145.414351,-227.8158266,
PRE,11,-295.6758742,-397.4659499,-295.6758477,-407.160144,-346.1467424,-455.6316709,-271.4401637,-130.8729186,-261.7458371,-445.937362,-150.2615055,-213.2743721,-353.8415598,-155.1086467,-213.2744118,
PRE,12,-329.6058847,-620.4346265,-310.2172845,-460.4788033,-436.8610947,-310.2173022,-247.2044179,-92.09574918,-169.6500791,-358.6887761,-121.178645,-184.191516,-402.313069,-155.1086776,-150.2614967,
PRE,13,-402.3130602,-358.6887055,-222.9686987,-450.7844944,-353.3084316,-416.8544883,-242.3572723,-92.09575745,-252.0515812,-465.3259798,-169.650088,-189.038644,-373.2301953,-130.872923,-130.872923,
PRE,14,-203.5801162,-412.0073757,-300.5229933,-450.7844944,-198.1391949,-348.9944849,-218.1215177,-106.6371949,-237.5101355,-499.2559638,-164.80296,-159.9557879,-324.7587214,-169.6500615,-193.8858117,
PRE,15,-344.1473039,-392.6187822,-256.8987092,-484.7145005,-355.6956142,-426.5487707,-247.2044091,-77.55433218,-344.1473216,-368.383032,-208.4272618,-164.8029379,-276.2873182,-169.6500968,-174.4972292,
PRE,16,-285.9815388,-470.1730901,-397.4658881,-484.7145005,-439.2483127,-339.3001671,-295.675883,-87.24862563,-179.3443616,-620.4346397,-135.7200686,-184.1915204,-285.9815918,-164.8029688,-179.3443726,
PRE,17,-189.0386705,-528.3388552,-208.4272441,-475.0202269,-389.1166653,-353.8416305,-218.121553,-96.94290363,-237.5101002,-392.6187955,-159.95581,-271.4401196,-368.3830673,-126.0257862,-242.3572679,
PRE,18,-232.6629722,-475.0202534,-218.1215001,-475.0202269,-367.6317039,-392.6187601,-242.3572635,-101.7900493,-169.6500968,-339.300123,-198.7329617,-164.8029512,-378.0773763,-140.5672054,-155.1086467,
PRE,19,-232.6629722,-392.6188131,-252.0515371,-465.3259312,-365.2444859,-460.4788165,-266.5929828,-126.0257906,-189.0386793,-319.9116464,-130.8729362,-169.6501145,-344.1473039,-193.8858073,-208.4272353,
PRE,20,-193.8858249,-436.2430707,-290.8287374,-465.3259312,-334.2106527,-431.395934,-310.2173287,-87.2486168,-218.1215354,-305.3701566,-135.7200598,-179.344388,-281.1343755,-169.650088,-222.9686633,
PRE,21,-382.9244866,-673.753193,-315.0644302,-441.090234,-319.8874157,-460.4788342,-271.4401284,-96.94290308,-276.2873049,-305.3701213,-130.872923,-174.4972248,-315.0644478,-150.2615143,-164.8029379,
PRE,22,-271.4401284,-533.1860009,-305.3701566,-470.1730724,-343.7595245,-475.0202534,-252.0515371,-101.7900448,-232.6629811,-552.574601,-169.6500814,-232.6629987,-295.6759007,-164.8029424,-150.2615055,
PRE,23,-247.2043914,-416.8544529,-378.0773409,-470.1730724,-391.5038833,-378.0773056,-237.5101223,-101.7900493,-213.2744074,-412.007325,-145.4143692,-184.1915425,-339.3001583,-155.1086599,-174.4972601,
PRE,24,-237.5101002,-295.6758653,-218.121553,-455.6316908,-420.1505339,-426.5488325,-271.4401461,-101.7900625,-227.8158443,-339.3001936,-164.8029335,-169.6500968,-281.1344461,-135.7200774,-218.1215442,
PRE,25,-189.0386528,-576.810285,-285.9815741,-470.1730901,-379.5678289,-368.3830409,-266.5930004,-101.7900404,-227.8158354,-455.6316886,-145.414351,-232.6629899,-407.160197,-145.4143599,-130.8729142,
PRE,26,-281.1344461,-513.7974184,-315.0644655,-470.1730901,-346.1467777,-378.0773409,-256.8987268,-96.94291687,-189.0386661,-421.7016339,-145.4143687,-179.344388,-324.7587567,-179.3443704,-213.2743986,
PRE,27,-169.6501056,-581.6574571,-324.7587391,-455.6316797,-415.376098,-392.6187778,-222.9686854,-96.94291687,-290.8287197,-421.7016339,-174.4972248,-193.8858073,-315.0644478,-121.1786406,-169.6500791,
PRE,28,-222.9686987,-412.0073272,-281.1344108,-441.0901987,-422.5377165,-431.3959075,-247.2044135,-126.0257685,-213.2743986,-508.9502551,-116.3314861,-169.6500791,-533.1859655,-184.191516,-232.6629899,
PRE,29,-310.2173022,-664.0589327,-329.6059024,-450.7845518,-496.5414726,-387.7716322,-276.2872652,-111.4843405,-179.3443527,-445.9374326,-179.3443527,-232.6629899,-237.5101179,-198.7329705,-174.4972336,
PRE,30,-218.1215442,-368.3830585,-324.7587391,-450.7845518,-448.7971491,-426.5487795,-266.5929916,-135.7200686,-164.8029424,-455.6316886,-121.1786494,-203.5801338,-470.1730901,-164.8029335,-164.8029335,
PRE,31,-164.8029512,-421.7016515,-310.2173375,-402.3130514,-429.6993703,-392.6187513,-305.3701213,-106.6371949,-242.3572635,-518.6445287,-232.6629722,-169.6500615,-276.2872828,-164.8029335,-101.7900537,
PRE,32,-460.4787812,-402.3131044,-378.0773056,-504.1031315,-331.8234701,-392.618769,-227.8158487,-135.7200686,-203.5801162,-407.1602323,-189.0386616,-198.7329705,-344.1473216,-150.2615143,-126.0257862,
PRE,33,-276.2873182,-445.937362,-247.2044091,-504.1031315,-315.1129092,-567.1160202,-242.3572811,-92.09576242,-208.4272618,-581.6574394,-169.6500615,-203.5801162,-290.8287021,-145.4143687,-164.8029424,
PRE,34,-184.191516,-455.6316709,-334.453048,-348.9944849,-396.2783898,-518.6445463,-271.4401372,-116.3314861,-256.8986827,-431.3959428,-261.7458371,-193.8858249,-445.9373973,-135.7200598,-145.4143554,
PRE,35,-222.968681,-494.4088271,-266.5929739,-499.2559197,-422.5377871,-436.2430972,-290.8287285,-101.7900493,-242.3572282,-426.5487795,-198.7329794,-193.8858084,-281.1344196,-130.8729318,-169.6501056,
