Treatment,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
PRE,1,-504.103083,-392.6187778,-605.8931675,-809.4732307,-592.0302961,-639.8232046,-261.745846,-586.5045851,-300.5230021,-523.491692,-475.0202534,-571.9631482,-969.429054,-237.5100825,-334.452995
PRE,2,-382.9244866,-445.9373443,-634.9760236,-586.5045851,-520.4137447,-683.447524,-285.9815918,-557.4216937,-368.3830409,-523.4916743,-508.9502728,-664.058915,-969.429054,-416.8544529,-528.3388023
PRE,3,-479.8673814,-445.9373443,-634.9760413,-901.5690506,-635.0002543,-494.4088138,-222.9686992,-571.9631129,-508.9502556,-528.3388199,-644.6703193,-756.1546377,-484.7145446,-344.1472862,-382.9245042
PRE,4,-489.561672,-373.2301865,-659.2117517,-901.5690506,-539.5114838,-717.377539,-261.745846,-547.7274024,-242.3572834,-620.4346132,-567.1160467,-770.6960878,-523.4917096,-305.3701213,-295.67583
PRE,5,-412.0073603,-358.6887938,-659.2117517,-853.0975568,-513.2520633,-688.294652,-242.3572811,-528.3388288,-222.9686942,-620.4346132,-552.574601,-761.0018451,-523.4917096,-315.0644302,-344.1473039
PRE,6,-644.6703325,-358.6887938,-605.8931675,-838.5561486,-537.1242482,-630.1288427,-256.8986959,-581.6574394,-339.3001759,-664.0588974,-470.1731034,-557.421729,-712.5303713,-319.9115758,-271.4401725
PRE,7,-581.6574571,-353.8416305,-605.8931587,-838.5561486,-549.0603379,-591.3517263,-285.9816094,-615.5874411,-310.217311,-664.0588974,-659.2118047,-751.3075164,-712.5303713,-397.4659058,-281.1344461
PRE,8,-489.5616903,-276.2873093,-625.2817412,-891.8747681,-620.6769467,-722.2246713,-281.1344285,-450.7845253,-305.3701588,-630.1288692,-542.8802833,-722.2246537,-494.4088535,-290.8286667,-271.4401549
PRE,9,-513.7974007,-276.2873093,-639.8231516,-891.874777,-444.0227486,-688.2946255,-271.4401372,-567.1159849,-310.2173199,-630.1288692,-513.7973836,-513.7973654,-528.3388376,-489.5617256,-324.7587391
PRE,10,-441.090234,-266.5930115,-639.8231516,-770.6961011,-501.3160497,-664.0589498,-242.3572547,-504.1030741,-339.3001759,-504.1030741,-518.6445375,-814.3204426,-542.8802745,-285.9815388,-315.0644478
PRE,11,-416.8545589,-271.4401284,-620.4346221,-891.8747593,-417.7633159,-518.6445463,-276.2872828,-445.9373664,-465.3259401,-431.3959075,-586.5046027,-809.4732638,-542.8802745,-368.383032,-295.6758653
PRE,12,-586.5046027,-266.5930071,-547.7275084,-916.1104609,-553.8348091,-654.3646061,-261.7458813,-625.2817854,-300.5230286,-407.1602235,-533.1860229,-780.3904144,-504.1031095,-387.7716498,-387.7715792
PRE,13,-518.6445287,-266.5930071,-547.7275084,-916.1104609,-553.8348444,-673.7531974,-271.4401372,-436.2431061,-382.9244777,-465.3259268,-475.020249,-664.0588885,-504.103136,-232.6630252,-324.7587744
PRE,14,-770.6960834,-276.2872674,-620.4346397,-935.4990523,-549.0603732,-581.6574041,-285.9816094,-639.8231516,-285.9815564,-465.3259268,-673.7532107,-765.848929,-465.3259445,-271.4401196,-300.5230154
PRE,15,-571.9631835,-276.2872674,-620.4346397,-935.4990523,-553.8347738,-736.7660552,-271.4401549,-523.4916566,-416.8545081,-479.8673814,-528.3388376,-911.2633771,-542.8802921,-310.2173199,-334.4530656
PRE,16,-445.9373973,-271.4401284,-634.9760236,-727.0717905,-522.8009405,-552.574601,-252.0515746,-596.1988586,-319.9115758,-494.4087829,-596.198894,-857.9447135,-542.8802921,-295.675883,-305.3701919
PRE,17,-431.3959428,-300.5230104,-634.9760236,-824.0147206,-410.6016444,-727.0718346,-281.1344373,-649.5174782,-266.5929872,-533.1859655,-547.7274201,-678.6003784,-465.3259445,-426.5487795,-465.3259445
PRE,18,-668.9060783,-324.7587523,-630.1288648,-824.0147206,-515.6392867,-673.7532085,-252.0515569,-450.7845253,-392.6187756,-625.2817854,-542.8803009,-697.9888991,-601.0460484,-247.2043738,-315.0644478
PRE,19,-475.0202357,-324.7587523,-630.1288648,-683.4474799,-570.545317,-727.0718103,-271.4401367,-596.198894,-373.2301953,-625.2817854,-576.8103026,-625.2817147,-794.9318115,-436.2430707,-460.4787812
PRE,20,-421.7016869,-387.771641,-571.9631129,-756.154673,-496.5415256,-620.4345514,-310.2173022,-445.9373708,-261.7458636,-625.2817324,-499.2559484,-935.4990876,-489.5616196,-261.7458636,-591.351713
PRE,21,-596.1988763,-387.771641,-513.7974714,-756.154673,-594.417514,-678.6003696,-305.3701566,-465.3259268,-344.1473127,-547.7274112,-581.6574659,-833.7089936,-489.5616196,-261.7458636,-460.4787812
PRE,22,-610.7402955,-256.898718,-601.0460131,-780.3904188,-479.8310176,-499.2559644,-300.523011,-581.6574218,-344.1473348,-416.8545059,-552.5745613,-925.8047433,-475.0202181,-334.4530656,-445.937362
PRE,23,-610.740322,-252.051568,-601.0460131,-872.4861945,-532.3498476,-688.2946476,-285.9815741,-518.6445993,-290.8287197,-654.3645929,-596.1988542,-693.1418064,-518.6445287,-324.7587038,-378.0773586
PRE,24,-382.9245572,-285.9815697,-601.0460308,-872.4861945,-508.4776771,-673.7532107,-281.1344461,-605.8931234,-455.6316356,-654.3645929,-542.8802612,-804.6261381,-518.644564,-319.9115758,-344.1473216
PRE,25,-567.1159849,-285.9815697,-601.0460308,-916.1104168,-534.7370479,-697.9889167,-295.67583,-523.4916831,-290.8287043,-625.2817765,-542.8802612,-804.6260939,-538.0331332,-392.6188131,-348.9944495
PRE,26,-426.5488501,-329.6058847,-528.3388552,-916.1104168,-587.2558955,-596.1988918,-271.4401372,-518.6445287,-329.6058935,-625.2817765,-513.7974228,-683.447471,-538.0331332,-392.6187425,-344.1473569
PRE,27,-542.8802745,-329.6058847,-586.5045497,-838.5561216,-553.8347738,-736.7661005,-256.8987004,-620.4346221,-237.5100825,-542.8802656,-513.7974228,-649.5174605,-460.4787459,-344.1473392,-261.7458449
PRE,28,-392.6187601,-227.8158222,-586.5045497,-838.5561216,-754.3612307,-668.9060778,-300.5230198,-630.1288957,-285.9815741,-465.3259092,-426.5488148,-688.2946608,-504.1031271,-271.4401196,-450.7845606
PRE,29,-465.3259092,-324.7587479,-489.5616732,-906.4161609,-506.090415,-722.2246459,-232.6629905,-605.8931322,-436.2430707,-562.2688393,-436.2430884,-610.7403286,-484.714527,-252.0515547,-290.8287219
PRE,30,-615.5874411,-324.7587479,-513.7974714,-969.4291069,-525.1881938,-644.6703138,-252.0515547,-528.3388641,-348.9944716,-644.6703325,-499.255955,-819.1675418,-504.1031095,-252.0515547,-315.0644478
PRE,31,-654.3646061,-281.1344373,-625.2817765,-969.4291069,-522.8009428,-707.6832124,-285.9815741,-644.6703502,-252.0515371,-654.3646149,-547.7273936,-542.8802745,-654.3646149,-334.452995,-329.6059024
PRE,32,-562.2687863,-315.0644522,-625.2817765,-872.4861503,-467.894928,-605.8930969,-290.8287109,-479.8674211,-358.6887408,-654.3646326,-518.6445375,-862.7918326,-824.0147206,-387.7716498,-300.5229933
PRE,33,-571.9631482,-397.4659234,-620.4345868,-809.4732661,-527.5753764,-508.9502683,-310.2173022,-542.8802038,-373.2301953,-654.3646326,-450.7845253,-727.0717728,-513.7973654,-344.1473216,-295.6758565
PRE,34,-581.6574394,-397.4659234,-620.4345868,-843.4032495,-510.8649215,-533.1859832,-281.1344108,-504.1031117,-290.8287374,-649.5174428,-562.2688746,-838.5561751,-513.7973654,-324.7587744,-315.064439
PRE,35,-605.8932029,-324.7587258,-576.8102762,-935.4990346,-506.090415,-499.2559992,-324.7587391,-702.8360359,-412.007378,-649.5174428,-528.3388376,-668.9060077,-727.0717728,-363.5358687,-310.217289
PRE,36,-441.090234,-324.7587258,-542.8803363,-935.4990346,-496.5415256,-533.1859832,-305.3701389,-475.0202711,-305.3701919,-649.5174958,-557.421729,-906.4162315,-494.4088006,-402.3131044,-261.745846
PRE,37,-538.0331112,-295.6758521,-538.0331465,-761.0018098,-529.9625999,-533.1860185,-334.4530127,-605.8931322,-378.0773498,-649.5174958,-533.1859832,-920.9576242,-494.4088006,-363.5359394,-247.2044179
PRE,38,-586.5046204,-222.9687075,-538.0331465,-896.7218696,-582.4814243,-712.5303448,-276.2873005,NaN,-281.1344108,-470.1730724,-533.1859832,-862.7919209,-484.714527,-397.4659411,-281.1344461
PRE,39,-678.6003166,-281.1344296,-615.5874676,-896.7218696,-644.5491614,-639.8231339,-285.9816094,NaN,-363.5359041,-673.7532328,-518.6445596,-552.5745745,-484.714527,-402.313069,-271.4401372
PRE,40,-727.0717949,-281.1344296,-615.5874676,-887.027596,-477.443782,-693.1417534,-261.745846,NaN,-348.9944539,-673.7532328,-504.1031006,-571.9631394,-571.9631129,-305.3701919,-266.5930093
PRE,41,-731.9189714,-261.7458725,-605.8932029,-896.7219049,-525.1881938,-499.2559638,-290.8286844,NaN,-324.7587573,-668.9060871,-494.4088094,-814.3204475,-533.1859832,-295.6759007,-290.8287021
PRE,42,-523.491714,-218.121553,-605.8932029,-896.7219049,-549.0603379,-615.5874235,-310.2172845,NaN,-315.0644478,-659.2117738,-470.1730857,-775.5432732,-533.1859832,-266.5930269,-300.5230463
PRE,43,-571.9631923,-218.121553,-562.2688216,-756.1546377,-525.1881585,-712.5303536,-324.7587391,NaN,-305.3701566,-731.9189339,-518.6445508,-547.7274289,-552.5745834,-334.452995,-310.2173022
PRE,44,-630.128878,-285.9816094,-562.2688216,-756.1546377,-599.1919499,-678.6003166,-305.3701654,NaN,-353.8416128,-731.9189339,-630.1289486,-785.2375379,-756.1546642,-305.3701213,-290.8287374
PRE,45,-601.0459866,-285.9816094,-591.3517307,-615.5874588,-642.1619346,-644.6702972,-285.9815697,NaN,-455.6316532,-712.5303757,-630.1289486,-756.1546377,-504.1031624,-363.5359041,-484.714527
PRE,46,-630.1288957,-295.6759007,-591.3517307,-765.8489996,-560.9964629,-683.447481,-300.523011,NaN,-470.1730813,-712.5303536,-557.4217643,-838.5561729,-504.1031095,-407.1602323,-339.3001583
PRE,47,-460.4788518,-295.6759007,-639.8232046,-785.2375644,-544.2859285,-697.9888991,-247.2044091,NaN,-348.9944849,-741.6132273,-533.1859832,-867.6389959,-504.1031095,-285.9815918,-363.5358864
PRE,48,-634.9760236,-300.523011,-639.8232046,-785.2375644,-436.8610594,-465.3259798,-295.675883,NaN,-373.2301909,-741.6132273,-518.6445463,-828.8618618,-479.867399,-348.9945202,-276.2872917
