ITEM,SE_LTibX,SE_RTibX,DomIndicator,Dom_1_raw,Dom_2_Raw,Dom,Non_Dom
Pt_1,14.22,12.97,L,14.22,12.97,14.22,12.97
Pt_2,14.96,14.67,R,14.67,14.96,14.96,14.67
Pt_3,12.99,12.90,R,12.90,12.99,12.99,12.90
Pt_4,10.50,10.00,R,10.00,10.50,10.50,10.00
Pt_5,14.28,13.98,R,13.98,14.28,14.28,13.98
Pt_6,14.38,14.92,R,14.92,14.38,14.38,14.92
Pt_7,13.79,14.12,R,14.12,13.79,13.79,14.12
Pt_8,12.62,12.38,R,12.38,12.62,12.62,12.38
Pt_9,14.76,14.41,L,14.76,14.41,14.76,14.41
Pt_10,13.34,13.67,R,13.67,13.34,13.34,13.67
Pt_11,10.65,11.98,R,11.98,10.65,10.65,11.98
Pt_12,11.62,11.94,R,11.94,11.62,11.62,11.94
Pt_13,11.79,10.12,R,10.12,11.79,11.79,10.12
Pt_14,13.93,14.94,R,14.94,13.93,13.93,14.94
Pt_15,12.58,12.48,R,12.48,12.58,12.58,12.48
Pt_1,14.82,14.56,L,14.82,14.56,14.82,14.56
Pt_2,11.85,13.96,R,13.96,11.85,11.85,13.96
Pt_3,12.88,13.41,R,13.41,12.88,12.88,13.41
Pt_4,9.89,9.38,R,9.38,9.89,9.89,9.38
Pt_5,15.17,14.59,R,14.59,15.17,15.17,14.59
Pt_6,13.48,14.19,R,14.19,13.48,13.48,14.19
Pt_7,12.82,13.51,R,13.51,12.82,12.82,13.51
Pt_8,11.99,10.68,R,10.68,11.99,11.99,10.68
Pt_9,14.05,14.76,L,14.05,14.76,14.05,14.76
Pt_10,12.28,12.70,R,12.70,12.28,12.28,12.70
Pt_11,9.35,11.59,R,11.59,9.35,9.35,11.59
Pt_12,11.33,11.79,R,11.79,11.33,11.33,11.79
Pt_13,12.38,9.14,R,9.14,12.38,12.38,9.14
Pt_14,13.41,13.95,R,13.95,13.41,13.41,13.95
Pt_15,12.41,12.58,R,12.58,12.41,12.41,12.58
