CI_LTibX,CI_RTibX,CI_PelvisX,CI_ThorX
14.22,12.97,11.53,11.92
14.96,14.67,8.39,8.31
12.99,12.90,10.46,8.72
10.50,10.00,6.70,8.23
14.28,13.98,11.53,10.44
14.38,14.92,7.31,7.93
13.79,14.12,11.92,10.76
12.62,12.38,7.47,12.49
14.76,14.41,10.46,12.05
13.34,13.67,9.84,9.81
10.65,11.98,9.35,14.42
11.62,11.94,13.89,12.99
11.79,10.12,10.76,10.01
13.93,14.94,13.98,13.13
12.58,12.48,8.61,13.26
0.78,12.14,0.60,12.61
0.68,10.37,0.51,11.87
14.82,14.56,9.87,11.52
11.85,13.96,8.62,9.64
12.88,13.41,10.80,9.06
9.89,9.38,6.32,8.91
15.17,14.59,12.95,10.10
13.48,14.19,7.35,8.28
12.82,13.51,13.03,11.78
11.99,10.68,7.26,13.48
14.05,14.76,10.15,10.34
12.28,12.70,10.42,9.69
9.35,11.59,9.36,13.97
11.33,11.79,14.75,11.94
12.38,9.14,11.85,9.99
13.41,13.95,13.92,13.69
12.41,12.58,9.41,9.56
0.78,11.18,0.55,12.47
0.69,10.05,0.54,11.37
