"Stride","Phase","Stride.Time","Time","RTx","RTy","RTz","LTx","LTy","LTz","Px","Py","Pz","Tx","Ty","Tz"
1,1,0,0,0.621638596,-0.425331682,-2.093940496,-2.551990271,-0.65435648,1.374148488,0.916099012,0.556203008,-0.03271782,1.112406015,0.294460386,0.458049506
1,1,0.00675,0.00675,0.196306944,-1.439584136,-1.079688072,-2.159376144,-0.719792068,1.243277192,0.752509892,0.458049506,0.196306944,1.145123839,0.359896034,0.556203008
1,1,0.0135,0.0135,-0.359896034,-2.781014919,-0.359896034,-1.930351615,-0.850663364,1.145123839,0.687074244,0.359896034,0.49076733,1.145123839,0.359896034,0.65435648
1,1,0.02025,0.02025,-2.781014919,0.229024753,-0.32717824,-1.930351615,-0.98153466,1.079688072,0.65435648,0.359896034,0.948816895,1.145123839,0.359896034,0.752509892
1,1,0.027,0.027,-3.958856583,0.523485124,-1.046970248,-2.093940496,-1.145123839,1.014252543,0.458049506,0.458049506,1.766762376,0.98153466,0.359896034,1.145123839
1,1,0.03375,0.03375,-3.337217808,-1.570455551,-1.668608904,-2.322965384,-1.275995135,0.916099012,-0.65435648,1.374148488,2.551990271,0.719792068,0.458049506,1.701326728
1,1,0.0405,0.0405,-2.257529736,-1.079688072,-0.425331682,-2.355683088,-1.341430664,0.752509892,-4.580495358,3.337217808,1.046970248,0.261742562,0.65435648,1.995787144
1,1,0.04725,0.04725,-1.570455551,-1.308712959,-0.392613888,-2.159376144,-1.341430664,0.588920772,-3.762549639,0.621638596,-0.196306944,-1.046970248,0.523485124,1.7994802
1,1,0.054,0.054,-1.243277192,1.341430664,-1.897633791,-1.897633791,-1.308712959,0.49076733,-1.341430664,0.752509892,0.719792068,-4.253316879,0.49076733,1.308712959
1,1,0.06075,0.06075,0.229024753,1.897633791,-1.930351615,-1.63589108,-1.112406015,0.523485124,-1.63589108,0.425331682,0.850663364,-3.010039568,0.523485124,0.425331682
1,1,0.0675,0.0675,0.98153466,-0.687074244,-2.257529736,-1.406866312,-0.916099012,0.49076733,-1.505019784,-0.425331682,0.65435648,-0.32717824,0.81794554,0.556203008
1,1,0.07425,0.07425,0.850663364,-1.308712959,-1.603173375,-1.046970248,-0.752509892,0.523485124,-0.81794554,-0.752509892,0.425331682,0,0.98153466,1.63589108
1,1,0.081,0.081,1.046970248,-0.261742562,-0.81794554,-0.32717824,-0.785227776,0.588920772,-1.079688072,-0.556203008,0.294460386,-0.556203008,0.98153466,2.061222792
1,1,0.08775,0.08775,0.49076733,-0.196306944,-0.458049506,0.229024753,-0.850663364,0.556203008,-1.603173375,-0.49076733,0.458049506,-0.687074244,0.850663364,2.12665844
1,1,0.0945,0.0945,-1.243277192,-0.81794554,-1.046970248,0.32717824,-0.850663364,0.392613888,-2.061222792,-0.458049506,0.523485124,-0.621638596,0.621638596,2.192094088
1,1,0.10125,0.10125,-1.014252543,-0.556203008,-0.916099012,0.261742562,-0.785227776,0.229024753,-2.093940496,-0.16358912,0.359896034,-0.752509892,0.458049506,2.159376144
1,1,0.108,0.108,0.03271782,-0.916099012,-0.883381188,0.229024753,-0.65435648,0.065435641,-2.028505087,0,0.229024753,-1.046970248,0.392613888,2.093940496
1,1,0.11475,0.11475,-0.261742562,-1.308712959,-0.81794554,0.392613888,-0.523485124,-0.03271782,-1.930351615,0.03271782,0.065435641,-1.47230196,0.458049506,1.897633791
1,1,0.1215,0.1215,-0.752509892,-0.719792068,-0.588920772,0.556203008,-0.556203008,-0.03271782,-1.734044552,0.130871281,0.065435641,-1.603173375,0.556203008,1.668608904
1,1,0.12825,0.12825,-1.177841544,-1.046970248,-0.425331682,0.719792068,-0.687074244,-0.098153472,-1.701326728,0.294460386,0.065435641,-1.275995135,0.556203008,1.63589108
1,1,0.135,0.135,-1.734044552,-0.948816895,-0.458049506,0.752509892,-0.81794554,-0.098153472,-1.505019784,0.49076733,-0.03271782,-0.916099012,0.49076733,1.603173375
1,1,0.14175,0.14175,-2.159376144,-0.752509892,-0.359896034,0.523485124,-0.883381188,-0.065435641,-1.341430664,0.556203008,-0.03271782,-0.785227776,0.425331682,1.505019784
1,1,0.1485,0.1485,-2.322965384,-0.556203008,-0.294460386,0.294460386,-0.948816895,0,-1.177841544,0.621638596,0,-0.752509892,0.458049506,1.308712959
1,1,0.15525,0.15525,-2.551990271,-0.49076733,-0.359896034,0.130871281,-0.883381188,0,-0.98153466,0.687074244,0.03271782,-0.65435648,0.49076733,1.177841544
1,1,0.162,0.162,-2.682861328,0,-0.32717824,-0.03271782,-0.785227776,0.03271782,-0.81794554,0.719792068,0.065435641,-0.49076733,0.556203008,1.046970248
1,1,0.16875,0.16875,-2.781014919,0.229024753,-0.098153472,-0.130871281,-0.588920772,0.065435641,-0.719792068,0.65435648,0.098153472,-0.359896034,0.556203008,0.948816895
1,1,0.1755,0.1755,-2.879168272,0.523485124,0.425331682,-0.196306944,-0.425331682,0.065435641,-0.687074244,0.523485124,0.098153472,-0.229024753,0.556203008,0.850663364
