"Stride","Phase","Stride.Time","Time","RTx","RTy","RTz","LTx","LTy","LTz","Px","Py","Pz","Tx","Ty","Tz"
1,1,0,0,0.03271782,1.275995135,0.458049506,-1.897633791,-0.229024753,1.603173375,1.112406015,0.229024753,0.229024753,0.752509892,0.392613888,0.229024753
1,1,0.00675,0.00675,0,2.159376144,-1.439584136,-1.7994802,-0.294460386,1.63589108,0.883381188,0.130871281,0.81794554,0.621638596,0.32717824,0.32717824
1,1,0.0135,0.0135,-5.169415951,-1.275995135,-4.220599174,-1.7994802,-0.425331682,1.63589108,0.49076733,0.196306944,1.275995135,0.425331682,0.261742562,0.588920772
1,1,0.02025,0.02025,-4.449624062,-0.588920772,-2.650143623,-1.766762376,-0.785227776,1.505019784,-0.065435641,0.098153472,1.177841544,0.229024753,0.229024753,0.948816895
1,1,0.027,0.027,-3.010039568,1.046970248,-1.275995135,-1.537737727,-1.014252543,1.243277192,-0.16358912,-0.458049506,1.177841544,-0.065435641,0.196306944,1.341430664
1,1,0.03375,0.03375,-1.374148488,-0.523485124,0.850663364,-1.341430664,-0.948816895,0.883381188,-0.392613888,-0.65435648,1.341430664,-1.210559368,-0.03271782,1.930351615
1,1,0.0405,0.0405,-0.32717824,0.523485124,-0.392613888,-1.145123839,-0.719792068,0.785227776,-0.687074244,0.16358912,0.916099012,-3.762549639,0.883381188,1.897633791
1,1,0.04725,0.04725,-0.196306944,1.177841544,-2.453836679,-0.850663364,-0.687074244,0.81794554,-1.995787144,0.687074244,1.046970248,-4.253316879,1.406866312,0.687074244
1,1,0.054,0.054,0.719792068,0.49076733,-3.304500103,-0.49076733,-0.687074244,0.883381188,-6.674435616,1.734044552,0.294460386,-2.879168272,0.98153466,0.719792068
1,1,0.06075,0.06075,0.948816895,0.588920772,-2.879168272,-0.229024753,-0.621638596,0.850663364,-6.085515022,1.341430664,-1.341430664,-1.406866312,1.079688072,1.145123839
1,1,0.0675,0.0675,0.16358912,0.130871281,-0.261742562,-0.03271782,-0.523485124,0.752509892,-1.341430664,-0.130871281,0.425331682,0.065435641,0.752509892,1.439584136
1,1,0.07425,0.07425,-0.261742562,0,0.883381188,0.49076733,-0.65435648,0.752509892,-0.588920772,-0.03271782,-0.196306944,0.687074244,0.49076733,1.864915967
1,1,0.081,0.081,-0.556203008,0.03271782,0.294460386,1.210559368,-0.850663364,0.588920772,-1.63589108,-0.588920772,-0.458049506,0.556203008,0.523485124,2.257529736
1,1,0.08775,0.08775,-0.098153472,-0.392613888,-0.03271782,1.63589108,-0.785227776,0.261742562,-1.766762376,-0.49076733,-0.621638596,-0.065435641,0.752509892,2.421118736
1,1,0.0945,0.0945,0,-0.425331682,-1.177841544,2.290247679,-0.752509892,0.32717824,-1.406866312,-0.130871281,-0.49076733,-0.785227776,0.916099012,2.257529736
1,1,0.10125,0.10125,0.130871281,0.03271782,-1.406866312,1.96306932,-0.916099012,0.49076733,-1.210559368,-0.03271782,-0.621638596,-1.308712959,1.112406015,1.930351615
1,1,0.108,0.108,0,0,-0.916099012,1.145123839,-1.145123839,0.556203008,-1.439584136,0.03271782,-0.621638596,-1.537737727,1.046970248,1.766762376
1,1,0.11475,0.11475,-0.065435641,-1.112406015,-0.16358912,0.719792068,-1.079688072,0.556203008,-1.668608904,0.196306944,-0.719792068,-1.406866312,0.752509892,1.63589108
1,1,0.1215,0.1215,-0.359896034,-1.505019784,-0.261742562,0.49076733,-0.81794554,0.458049506,-1.7994802,0.32717824,-0.687074244,-1.210559368,0.458049506,1.63589108
1,1,0.12825,0.12825,-1.275995135,-1.112406015,-0.687074244,0.32717824,-0.65435648,0.359896034,-1.570455551,0.359896034,-0.458049506,-1.079688072,0.294460386,1.63589108
1,1,0.135,0.135,-2.322965384,-1.014252543,-0.850663364,0.098153472,-0.621638596,0.294460386,-1.374148488,0.392613888,-0.458049506,-0.916099012,0.261742562,1.570455551
1,1,0.14175,0.14175,-2.486554384,-1.079688072,-0.916099012,-0.098153472,-0.687074244,0.261742562,-1.308712959,0.425331682,-0.621638596,-0.719792068,0.32717824,1.439584136
1,1,0.1485,0.1485,-2.617425919,-0.556203008,-0.65435648,-0.261742562,-0.785227776,0.261742562,-1.177841544,0.425331682,-0.523485124,-0.556203008,0.458049506,1.308712959
1,1,0.15525,0.15525,-3.075475454,0.229024753,-0.948816895,-0.425331682,-0.752509892,0.359896034,-1.046970248,0.458049506,-0.32717824,-0.425331682,0.556203008,1.145123839
1,1,0.162,0.162,-3.631678104,1.112406015,-0.752509892,-0.588920772,-0.719792068,0.359896034,-0.883381188,0.588920772,-0.130871281,-0.32717824,0.621638596,1.014252543
1,1,0.16875,0.16875,-3.697113752,1.275995135,-0.098153472,-0.621638596,-0.850663364,0.359896034,-0.850663364,0.719792068,0.03271782,-0.261742562,0.621638596,0.883381188
1,1,0.1755,0.1755,-3.762549639,1.668608904,0.850663364,-0.621638596,-0.916099012,0.229024753,-0.81794554,0.81794554,0.130871281,-0.196306944,0.621638596,0.752509892
1,1,0.18225,0.18225,-3.5989604,1.734044552,1.47230196,-0.556203008,-1.210559368,0.261742562,-0.752509892,0.81794554,0.294460386,-0.130871281,0.588920772,0.65435648
1,1,0.189,0.189,-3.402653456,1.668608904,2.257529736,-0.588920772,-1.177841544,0.03271782,-0.719792068,0.81794554,0.458049506,-0.03271782,0.556203008,0.523485124
1,1,0.19575,0.19575,-3.108193159,1.47230196,2.911885977,-0.49076733,-1.243277192,-0.196306944,-0.588920772,0.81794554,0.392613888,0.03271782,0.49076733,0.458049506
1,1,0.2025,0.2025,-2.388401031,0.752509892,2.94460392,-0.621638596,-1.079688072,-0.523485124,-0.425331682,0.752509892,0.32717824,0.065435641,0.458049506,0.392613888
1,1,0.20925,0.20925,-1.603173375,0.261742562,2.093940496,-0.687074244,-0.948816895,-0.948816895,-0.196306944,0.588920772,0.359896034,0.098153472,0.425331682,0.359896034
1,1,0.216,0.216,-1.275995135,-0.392613888,2.421118736,-0.81794554,-0.81794554,-1.374148488,-0.03271782,0.458049506,0.523485124,0.130871281,0.392613888,0.32717824
1,1,0.22275,0.22275,-1.177841544,-0.883381188,3.075475454,-0.98153466,-0.719792068,-1.701326728,0.065435641,0.32717824,0.588920772,0.196306944,0.359896034,0.294460386
1,1,0.2295,0.2295,-0.458049506,-0.98153466,2.355683088,-1.210559368,-0.719792068,-1.995787144,0.16358912,0.294460386,0.458049506,0.229024753,0.359896034,0.261742562
1,1,0.23625,0.23625,0.196306944,-0.916099012,1.046970248,-1.341430664,-1.079688072,-2.192094088,0.261742562,0.294460386,0.523485124,0.294460386,0.392613888,0.229024753
1,1,0.243,0.243,0.261742562,-0.81794554,0.130871281,-1.406866312,-1.7994802,-2.421118736,0.392613888,0.32717824,0.687074244,0.359896034,0.392613888,0.196306944
1,1,0.24975,0.24975,0.752509892,-1.079688072,-0.229024753,-1.341430664,-2.290247679,-2.813732624,0.49076733,0.359896034,0.719792068,0.425331682,0.458049506,0.130871281
1,1,0.2565,0.2565,0.392613888,-0.948816895,-0.850663364,-1.63589108,-2.388401031,-3.27178216,0.588920772,0.32717824,0.621638596,0.458049506,0.49076733,0.098153472
1,1,0.26325,0.26325,-1.374148488,-1.406866312,-1.995787144,-2.12665844,-2.650143623,-3.762549639,0.687074244,0.294460386,0.556203008,0.49076733,0.523485124,0.098153472
1,1,0.27,0.27,-1.7994802,-1.603173375,0.130871281,-2.290247679,-3.075475454,-4.187880993,0.785227776,0.261742562,0.588920772,0.49076733,0.588920772,0.065435641
1,1,0.27675,0.27675,-1.930351615,-1.406866312,1.079688072,-2.12665844,-3.304500103,-4.351469994,0.916099012,0.261742562,0.621638596,0.49076733,0.621638596,0.065435641
1,1,0.2835,0.2835,-2.355683088,-1.079688072,1.47230196,-1.668608904,-2.715579271,-4.351469994,1.079688072,0.294460386,0.65435648,0.458049506,0.65435648,0.065435641
1,1,0.29025,0.29025,-3.239064455,-0.359896034,1.341430664,-0.916099012,-1.930351615,-4.089727879,1.275995135,0.294460386,0.65435648,0.49076733,0.621638596,0.065435641
1,1,0.297,0.297,-3.5989604,0.098153472,1.145123839,-0.49076733,-1.96306932,-3.697113752,1.47230196,0.294460386,0.556203008,0.49076733,0.621638596,0.065435641
1,1,0.30375,0.30375,-3.337217808,0.261742562,1.177841544,-0.523485124,-2.617425919,-3.468089104,1.570455551,0.32717824,0.359896034,0.556203008,0.588920772,0.065435641
1,1,0.3105,0.3105,-3.042757511,0.065435641,1.406866312,-0.229024753,-2.584707975,-3.402653456,1.603173375,0.392613888,0.098153472,0.621638596,0.556203008,0.065435641
1,1,0.31725,0.31725,-2.813732624,-0.130871281,1.63589108,0.458049506,-2.12665844,-3.369935751,1.570455551,0.523485124,0,0.719792068,0.523485124,0.098153472
1,1,0.324,0.324,-2.650143623,-0.130871281,1.668608904,0.621638596,-1.832198024,-3.042757511,1.47230196,0.65435648,0,0.81794554,0.458049506,0.16358912
1,1,0.33075,0.33075,-2.519272327,-0.098153472,1.63589108,0.229024753,-1.505019784,-2.617425919,1.374148488,0.687074244,0.03271782,0.883381188,0.425331682,0.130871281
1,1,0.3375,0.3375,-2.224812031,0.196306944,1.63589108,0.03271782,-1.145123839,-2.224812031,1.308712959,0.65435648,0.098153472,0.948816895,0.392613888,0.098153472
1,1,0.34425,0.34425,-1.96306932,0.392613888,1.734044552,-0.81794554,-1.046970248,-1.046970248,1.210559368,0.65435648,0.03271782,0.916099012,0.359896034,0.130871281
1,1,0.351,0.351,-1.734044552,0.49076733,1.7994802,-0.098153472,-1.47230196,0.098153472,1.112406015,0.556203008,0,0.883381188,0.359896034,0.32717824
1,1,0.35775,0.35775,-1.603173375,0.458049506,1.7994802,-1.603173375,-1.341430664,0.752509892,1.014252543,0.359896034,0.32717824,0.785227776,0.392613888,0.588920772
