Time,RTx,RTy,RTz,LTx,LTy,LTz,Px,Py,Pz,Tx,Ty,Tz
0,-0.392613888,-2.879168272,-0.425331682,-1.668608904,-0.883381188,1.243277192,0.32717824,0.294460386,1.112406015,0.523485124,0.458049506,0.588920772
0.00675,-0.294460386,-4.253316879,-4.122445583,-1.63589108,-0.65435648,1.308712959,0.16358912,0,1.374148488,0.130871281,0.425331682,0.719792068
0.0135,-3.762549639,-2.846450567,-3.369935751,-1.832198024,-0.425331682,1.341430664,0.16358912,-0.03271782,1.505019784,-0.49076733,0.359896034,0.916099012
0.02025,-6.216386318,0.130871281,-2.682861328,-1.995787144,0,1.374148488,0.065435641,0.065435641,1.341430664,-1.145123839,0.359896034,1.145123839
0.027,-4.678648472,0.32717824,-0.32717824,-1.995787144,0.294460386,1.243277192,-0.392613888,0.16358912,1.177841544,-1.668608904,0.588920772,1.47230196
0.03375,-0.359896034,2.617425919,-0.16358912,-1.864915967,0.588920772,1.079688072,-1.341430664,0.261742562,0.81794554,-1.505019784,0.785227776,1.701326728
0.0405,3.991574287,3.795267582,-1.668608904,-1.734044552,0.81794554,0.98153466,-4.613213062,0.130871281,0.687074244,-0.850663364,0.752509892,1.7994802
0.04725,5.562029839,0.65435648,-1.734044552,-1.406866312,0.98153466,0.98153466,-7.296073914,-0.392613888,-1.766762376,-0.261742562,0.752509892,1.897633791
0.054,2.192094088,-2.290247679,-1.701326728,-1.014252543,1.145123839,0.916099012,-2.388401031,0.425331682,-0.16358912,0,0.752509892,1.897633791
0.06075,0.359896034,-0.81794554,-0.719792068,-0.425331682,1.145123839,0.621638596,-2.682861328,-1.046970248,0.392613888,0.065435641,0.752509892,1.96306932
0.0675,-0.719792068,-0.196306944,-0.588920772,0.16358912,0.98153466,0.523485124,-1.439584136,-1.308712959,0.425331682,-0.425331682,0.719792068,2.061222792
0.07425,-1.275995135,-0.196306944,-1.145123839,0.752509892,1.014252543,0.458049506,-0.687074244,-0.948816895,0.556203008,-1.079688072,0.719792068,2.12665844
0.081,-1.995787144,0.03271782,-1.570455551,1.47230196,1.7994802,0.196306944,-0.752509892,-0.65435648,0.458049506,-1.63589108,0.752509892,2.093940496
0.08775,-3.369935751,0.229024753,-1.603173375,2.159376144,2.257529736,-0.098153472,-1.406866312,-0.49076733,0.196306944,-1.7994802,0.883381188,2.061222792
0.0945,-2.879168272,-0.621638596,-1.210559368,2.093940496,1.995787144,0,-1.995787144,-0.294460386,-0.065435641,-1.537737727,0.98153466,2.028505087
0.10125,-1.112406015,-0.850663364,-0.850663364,1.243277192,1.701326728,-0.196306944,-1.995787144,-0.03271782,-0.16358912,-1.177841544,1.014252543,1.995787144
0.108,-0.065435641,-0.16358912,-0.948816895,0.49076733,1.603173375,-0.03271782,-1.96306932,0.065435641,-0.196306944,-0.948816895,0.948816895,1.96306932
0.11475,-0.49076733,0.261742562,-1.177841544,-0.03271782,1.505019784,0.130871281,-1.537737727,0.098153472,-0.098153472,-0.81794554,0.883381188,1.832198024
0.1215,-1.734044552,0.49076733,-1.046970248,-0.261742562,1.341430664,0.065435641,-1.177841544,0.098153472,0,-0.719792068,0.785227776,1.668608904
0.12825,-4.024291992,1.079688072,-0.65435648,-0.261742562,0.948816895,0,-1.177841544,0.098153472,0,-0.65435648,0.752509892,1.505019784
0.135,-5.562029839,1.210559368,-0.785227776,-0.458049506,0.392613888,0,-1.177841544,0.196306944,0,-0.588920772,0.719792068,1.341430664
0.14175,-4.351469994,0.32717824,-0.294460386,-0.392613888,0.261742562,0.03271782,-1.112406015,0.359896034,0.03271782,-0.49076733,0.687074244,1.177841544
0.1485,-3.533524752,0.458049506,0.458049506,-0.883381188,-0.16358912,0.03271782,-1.079688072,0.523485124,0.065435641,-0.392613888,0.621638596,1.014252543
0.15525,-3.664396048,1.079688072,1.046970248,-0.916099012,0,0.03271782,-0.916099012,0.687074244,0.098153472,-0.294460386,0.588920772,0.850663364
0.162,-3.991574287,1.63589108,1.47230196,-0.883381188,0.32717824,-0.065435641,-0.719792068,0.752509892,0.16358912,-0.16358912,0.523485124,0.687074244
0.16875,-3.795267582,2.257529736,1.864915967,-1.079688072,0.621638596,-0.32717824,-0.621638596,0.785227776,0.196306944,-0.03271782,0.458049506,0.49076733
0.1755,-2.748296976,2.224812031,2.061222792,-1.177841544,0.523485124,-0.588920772,-0.49076733,0.719792068,0.196306944,0.130871281,0.392613888,0.32717824
0.18225,-1.341430664,1.995787144,2.061222792,-1.112406015,0.458049506,-0.621638596,-0.425331682,0.65435648,0.16358912,0.294460386,0.359896034,0.16358912
0.189,-0.294460386,1.439584136,1.995787144,-1.243277192,0.458049506,-0.752509892,-0.359896034,0.556203008,0.294460386,0.458049506,0.32717824,0.03271782
0.19575,-0.065435641,0.850663364,1.897633791,-1.537737727,0.588920772,-1.014252543,-0.229024753,0.458049506,0.49076733,0.588920772,0.32717824,-0.065435641
0.2025,-0.556203008,0.196306944,1.701326728,-1.7994802,0.65435648,-1.210559368,-0.130871281,0.392613888,0.556203008,0.687074244,0.32717824,-0.16358912
0.20925,-1.046970248,-0.719792068,1.406866312,-1.897633791,0.687074244,-1.374148488,0.098153472,0.458049506,0.687074244,0.687074244,0.32717824,-0.229024753
0.216,-1.210559368,-1.570455551,0.883381188,-1.864915967,0.850663364,-1.668608904,0.294460386,0.458049506,0.719792068,0.621638596,0.359896034,-0.196306944
0.22275,-0.948816895,-2.617425919,0.130871281,-1.766762376,0.948816895,-1.96306932,0.458049506,0.458049506,0.719792068,0.523485124,0.425331682,-0.098153472
0.2295,0.458049506,-3.500806808,-0.621638596,-1.766762376,1.308712959,-2.257529736,0.687074244,0.425331682,0.752509892,0.392613888,0.458049506,0
0.23625,0.621638596,-3.239064455,-0.98153466,-1.995787144,1.374148488,-2.748296976,0.81794554,0.359896034,0.916099012,0.261742562,0.458049506,0.065435641
0.243,-0.32717824,-1.63589108,-1.701326728,-2.650143623,0.948816895,-3.075475454,1.112406015,0.196306944,0.81794554,0.098153472,0.458049506,0.098153472
0.24975,-1.177841544,0.065435641,-1.243277192,-3.010039568,0.588920772,-3.697113752,1.374148488,0.098153472,0.621638596,0.03271782,0.425331682,0.065435641
0.2565,-1.930351615,1.570455551,-0.49076733,-3.140911102,0.065435641,-4.744084358,1.570455551,0.196306944,0.81794554,0,0.425331682,0.065435641
0.26325,-3.042757511,3.239064455,0.065435641,-2.781014919,1.014252543,-5.365722656,1.701326728,0.359896034,0.850663364,0.098153472,0.49076733,0.065435641
0.27,-3.991574287,5.038544655,0.687074244,-1.864915967,1.897633791,-5.169415951,1.930351615,0.458049506,0.850663364,0.261742562,0.523485124,0.098153472
0.27675,-3.010039568,4.874955654,1.439584136,-0.556203008,1.308712959,-4.907673359,2.061222792,0.425331682,0.719792068,0.458049506,0.588920772,0.130871281
